key_id,innings_no,team,bowler,non_striker,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,batter,runs_batter,over,n_ball
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,1,,,,,,Mohammad Nawaz (3),1.0,9.0,3.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Mohammad Nawaz (3),0,0,4,,,,,,LJ Wright,4.0,9.0,4.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,9.0,5.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,4,,,,,,Mohammad Nawaz (3),4.0,9.0,6.0
psl0001,2,Quetta Gladiators,Imran Khalid,Mohammad Nawaz (3),0,0,6,,,,,,LJ Wright,6.0,10.0,1.0
psl0001,2,Quetta Gladiators,Imran Khalid,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,10.0,2.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,Mohammad Nawaz (3),0.0,10.0,3.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,1,,,,,,Mohammad Nawaz (3),1.0,10.0,4.0
psl0001,2,Quetta Gladiators,Imran Khalid,Mohammad Nawaz (3),0,0,0,,,,,,LJ Wright,0.0,10.0,5.0
psl0001,2,Quetta Gladiators,Imran Khalid,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,10.0,6.0
psl0001,2,Quetta Gladiators,SR Watson,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,11.0,1.0
psl0001,2,Quetta Gladiators,SR Watson,LJ Wright,0,0,1,,,,,,Mohammad Nawaz (3),1.0,11.0,2.0
psl0001,2,Quetta Gladiators,SR Watson,Mohammad Nawaz (3),0,0,0,,,,,,LJ Wright,0.0,11.0,3.0
psl0001,2,Quetta Gladiators,SR Watson,Mohammad Nawaz (3),0,0,0,,,,,,LJ Wright,0.0,11.0,4.0
psl0001,2,Quetta Gladiators,SR Watson,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,11.0,5.0
psl0001,2,Quetta Gladiators,SR Watson,LJ Wright,0,0,2,,,,,,Mohammad Nawaz (3),2.0,11.0,6.0
psl0001,2,Quetta Gladiators,S Badree,Mohammad Nawaz (3),0,0,0,,,,,,LJ Wright,0.0,12.0,1.0
psl0001,2,Quetta Gladiators,S Badree,Mohammad Nawaz (3),0,0,4,,,,,,LJ Wright,4.0,12.0,2.0
psl0001,2,Quetta Gladiators,S Badree,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,12.0,3.0
