key,toss_winner,toss_decision,decision,winner
wbb0264,,,bat,Melbourne Stars
wbb0265,,,field,Sydney Sixers
wbb0266,,,field,Sydney Thunder
wbb0267,,,bat,Hobart Hurricanes
wbb0268,,,field,Sydney Sixers
wbb0269,,,field,Brisbane Heat
wbb0270,,,field,Perth Scorchers
wbb0271,,,field,Melbourne Stars
wbb0272,,,field,Sydney Sixers
wbb0273,,,bat,Melbourne Renegades
wbb0274,,,field,Adelaide Strikers
wbb0275,,,field,Sydney Thunder
wbb0276,,,field,Melbourne Renegades
wbb0277,,,field,Adelaide Strikers
wbb0278,,,field,Brisbane Heat
wbb0279,,,bat,Melbourne Stars
wbb0280,,,field,Hobart Hurricanes
wbb0281,,,bat,Melbourne Renegades
wbb0282,,,field,Hobart Hurricanes
wbb0283,,,bat,Perth Scorchers
wbb0284,,,bat,Sydney Thunder
wbb0285,,,field,Sydney Sixers
wbb0286,,,bat,Sydney Sixers
wbb0287,,,bat,Brisbane Heat
wbb0288,,,bat,Adelaide Strikers
wbb0289,,,bat,Sydney Thunder
wbb0290,,,bat,Perth Scorchers
wbb0291,,,field,Hobart Hurricanes
wbb0292,,,bat,Hobart Hurricanes
wbb0293,,,field,Adelaide Strikers
wbb0294,,,field,Brisbane Heat
wbb0295,,,bat,Hobart Hurricanes
wbb0296,,,bat,Melbourne Stars
wbb0297,,,bat,Sydney Thunder
wbb0298,,,bat,Adelaide Strikers
wbb0299,,,bat,Sydney Sixers
wbb0300,,,bat,Sydney Sixers
wbb0301,,,bat,Melbourne Stars
wbb0302,,,bat,Perth Scorchers
wbb0303,,,field,Brisbane Heat
wbb0304,,,field,Hobart Hurricanes
wbb0305,,,bat,Sydney Sixers
wbb0306,,,bat,Brisbane Heat
wbb0307,,,field,Sydney Thunder
wbb0308,,,bat,Perth Scorchers
wbb0309,,,bat,Sydney Thunder
wbb0310,,,field,Melbourne Renegades
wbb0311,,,bat,Brisbane Heat
wbb0312,,,bat,Hobart Hurricanes
wbb0313,,,bat,Sydney Sixers
wbb0314,,,field,Perth Scorchers
wbb0315,,,bat,Adelaide Strikers
wbb0316,,,bat,Sydney Sixers
wbb0317,,,field,Adelaide Strikers
wbb0318,,,field,Adelaide Strikers
wbb0319,,,field,Adelaide Strikers
wbb0320,,,field,Sydney Sixers
wbb0321,,,field,Sydney Thunder
wbb0322,,,bat,Sydney Sixers
wbb0323,,,bat,Sydney Thunder
wbb0324,,,field,Melbourne Stars
wbb0325,,,field,Melbourne Renegades
wbb0326,,,field,Perth Scorchers
wbb0327,,,field,Sydney Thunder
wbb0328,,,field,Melbourne Renegades
wbb0329,,,field,Perth Scorchers
wbb0330,,,field,Perth Scorchers
wbb0331,,,field,Sydney Sixers
wbb0332,,,field,Melbourne Renegades
wbb0333,,,field,Perth Scorchers
wbb0334,,,field,Melbourne Stars
wbb0335,,,field,Adelaide Strikers
wbb0336,,,bat,Sydney Thunder
wbb0337,,,field,Brisbane Heat
wbb0338,,,bat,Perth Scorchers
wbb0339,,,bat,Perth Scorchers
wbb0340,,,field,Melbourne Stars
wbb0341,,,field,Sydney Sixers
wbb0342,,,field,Melbourne Renegades
wbb0343,,,field,Melbourne Stars
wbb0344,,,bat,Sydney Sixers
wbb0345,,,field,Adelaide Strikers
wbb0346,,,field,Hobart Hurricanes
wbb0347,,,bat,Brisbane Heat
wbb0348,,,bat,Sydney Sixers
wbb0349,,,field,Adelaide Strikers
wbb0350,,,bat,Perth Scorchers
wbb0351,,,bat,Sydney Thunder
wbb0352,,,field,Brisbane Heat
wbb0353,,,field,Hobart Hurricanes
wbb0354,,,field,Perth Scorchers
wbb0355,,,field,Sydney Sixers
wbb0356,,,field,Adelaide Strikers
wbb0357,,,field,Hobart Hurricanes
wbb0358,,,field,Melbourne Stars
wbb0359,,,field,Melbourne Renegades
wbb0360,,,field,Sydney Thunder
wbb0361,,,field,Melbourne Stars
wbb0362,,,field,Sydney Sixers
wbb0363,,,bat,Brisbane Heat
wbb0364,,,field,Melbourne Renegades
wbb0365,,,field,Melbourne Stars
wbb0366,,,field,Sydney Sixers
wbb0367,,,field,Melbourne Stars
wbb0368,,,field,Sydney Thunder
wbb0369,,,field,Adelaide Strikers
wbb0370,,,field,Perth Scorchers
wbb0371,,,field,Sydney Thunder
wbb0372,,,field,Melbourne Stars
wbb0373,,,field,Sydney Sixers
wbb0374,,,field,Melbourne Renegades
wbb0375,,,field,Hobart Hurricanes
