key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
wbb0139,Sydney,Women's Big Bash League,2019-01-02,female,T20,,20,L Griffith,Sydney Showground Stadium
wbb0140,Geelong,Women's Big Bash League,2019-01-03,female,T20,,20,S Molineux,"Simonds Stadium, South Geelong, Victoria"
wbb0141,Mackay,Women's Big Bash League,2019-01-05,female,T20,,20,JE Dooley,Harrup Park
wbb0142,Sydney,Women's Big Bash League,2019-01-05,female,T20,,20,,Blacktown International Sportspark
wbb0143,Mackay,Women's Big Bash League,2019-01-06,female,T20,,20,S Molineux,Harrup Park
wbb0144,Sydney,Women's Big Bash League,2019-01-06,female,T20,,20,NJ Carey,Bankstown Oval
wbb0145,Adelaide,Women's Big Bash League,2019-01-08,female,T20,,20,SFM Devine,Karen Rolton Oval
wbb0146,Sydney,Women's Big Bash League,2019-01-08,female,T20,,20,AJ Blackwell,Sydney Showground Stadium
wbb0147,Adelaide,Women's Big Bash League,2019-01-09,female,T20,,20,TM McGrath,Karen Rolton Oval
wbb0148,Brisbane,Women's Big Bash League,2019-01-10,female,T20,,20,SJ Johnson,"Brisbane Cricket Ground, Woolloongabba"
wbb0149,Cairns,Women's Big Bash League,2019-01-12,female,T20,,20,BL Mooney,Cazaly's Stadium
wbb0150,Melbourne,Women's Big Bash League,2019-01-12,female,T20,,20,AE Satterthwaite,Junction Oval
wbb0151,Alice Springs,Women's Big Bash League,2019-01-12,female,T20,,20,SFM Devine,Traeger Park
wbb0152,Geelong,Women's Big Bash League,2019-01-13,female,T20,,20,EA Burns,"Simonds Stadium, South Geelong, Victoria"
wbb0153,Alice Springs,Women's Big Bash League,2019-01-13,female,T20,,20,AE Jones,Traeger Park
wbb0154,Melbourne,Women's Big Bash League,2019-01-14,female,T20,,20,A King,Melbourne Cricket Ground
wbb0155,Sydney,Women's Big Bash League,2019-01-19,female,T20,,20,EA Perry,Drummoyne Oval
wbb0156,Sydney,Women's Big Bash League,2019-01-19,female,T20,,20,SJ Johnson,Drummoyne Oval
wbb0157,Sydney,Women's Big Bash League,2019-01-26,female,T20,,20,BL Mooney,Drummoyne Oval
wbb0158,Sydney,Women's Big Bash League,2019-10-18,female,T20,,20,EA Perry,North Sydney Oval
wbb0159,Sydney,Women's Big Bash League,2019-10-19,female,T20,,20,L Harris,North Sydney Oval
wbb0160,Melbourne,Women's Big Bash League,2019-10-19,female,T20,,20,B Vakarewa,Junction Oval
wbb0161,Adelaide,Women's Big Bash League,2019-10-19,female,T20,,20,SFM Devine,Karen Rolton Oval
wbb0162,Sydney,Women's Big Bash League,2019-10-20,female,T20,,20,P Litchfield,North Sydney Oval
wbb0163,Melbourne,Women's Big Bash League,2019-10-20,female,T20,,20,NJ Carey,Junction Oval
wbb0164,Adelaide,Women's Big Bash League,2019-10-20,female,T20,,20,DN Wyatt,Karen Rolton Oval
wbb0165,Melbourne,Women's Big Bash League,2019-10-23,female,T20,,20,S Molineux,Junction Oval
wbb0166,Sydney,Women's Big Bash League,2019-10-26,female,T20,,20,S Ismail,Blacktown International Sportspark
wbb0167,Brisbane,Women's Big Bash League,2019-10-26,female,T20,,20,AE Jones,Allan Border Field
wbb0168,Sydney,Women's Big Bash League,2019-10-26,female,T20,,20,M Kapp,Hurstville Oval
wbb0169,Brisbane,Women's Big Bash League,2019-10-26,female,T20,,20,SJ Coyte,Allan Border Field
wbb0170,Brisbane,Women's Big Bash League,2019-10-27,female,T20,,20,JL Jonassen,Allan Border Field
wbb0171,Sydney,Women's Big Bash League,2019-10-27,female,T20,,20,AJ Blackwell,Bankstown Oval
wbb0172,Brisbane,Women's Big Bash League,2019-10-27,female,T20,,20,TM McGrath,Allan Border Field
wbb0173,Perth,Women's Big Bash League,2019-11-01,female,T20,,20,MM Lanning,W.A.C.A. Ground
wbb0174,Mackay,Women's Big Bash League,2019-11-02,female,T20,,20,BE Patterson,Harrup Park
