key,team
wsl0060,Surrey Stars
wsl0061,Yorkshire Diamonds
wsl0061,Loughborough Lightning
wsl0062,Lancashire Thunder
wsl0062,Southern Vipers
wsl0063,Surrey Stars
wsl0063,Loughborough Lightning
wsl0064,Surrey Stars
wsl0064,Western Storm
wsl0065,Surrey Stars
wsl0065,Yorkshire Diamonds
wsl0066,Loughborough Lightning
wsl0066,Western Storm
wsl0067,Southern Vipers
wsl0067,Lancashire Thunder
wsl0068,Lancashire Thunder
wsl0068,Surrey Stars
wsl0069,Loughborough Lightning
wsl0069,Southern Vipers
wsl0070,Lancashire Thunder
wsl0070,Western Storm
wsl0071,Southern Vipers
wsl0071,Western Storm
wsl0072,Yorkshire Diamonds
wsl0072,Loughborough Lightning
wsl0073,Western Storm
wsl0073,Loughborough Lightning
wsl0074,Yorkshire Diamonds
wsl0074,Lancashire Thunder
wsl0075,Yorkshire Diamonds
wsl0075,Western Storm
wsl0076,Lancashire Thunder
wsl0076,Southern Vipers
wsl0077,Surrey Stars
wsl0077,Loughborough Lightning
wsl0078,Yorkshire Diamonds
wsl0078,Loughborough Lightning
wsl0079,Southern Vipers
wsl0079,Surrey Stars
wsl0080,Lancashire Thunder
wsl0080,Western Storm
wsl0081,Loughborough Lightning
wsl0081,Lancashire Thunder
wsl0082,Western Storm
wsl0082,Southern Vipers
wsl0083,Surrey Stars
wsl0083,Yorkshire Diamonds
wsl0084,Western Storm
wsl0084,Surrey Stars
wsl0085,Southern Vipers
wsl0085,Yorkshire Diamonds
wsl0086,Surrey Stars
wsl0086,Loughborough Lightning
wsl0087,Lancashire Thunder
wsl0087,Yorkshire Diamonds
wsl0088,Western Storm
wsl0088,Surrey Stars
wsl0089,Southern Vipers
wsl0089,Yorkshire Diamonds
wsl0090,Lancashire Thunder
wsl0090,Loughborough Lightning
wsl0091,Loughborough Lightning
wsl0091,Southern Vipers
wsl0092,Yorkshire Diamonds
wsl0092,Western Storm
wsl0093,Surrey Stars
wsl0093,Lancashire Thunder
wsl0094,Southern Vipers
wsl0094,Western Storm
wsl0095,Loughborough Lightning
wsl0095,Southern Vipers
