key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
odis0194,Antigua,2006-04-29,male,ODI,,,50,JE Taylor,"Antigua Recreation Ground, St John's"
odis0195,Antigua,2006-04-30,male,ODI,,,50,JE Taylor,"Antigua Recreation Ground, St John's"
odis0196,St Lucia,2006-05-10,male,ODI,,,50,CH Gayle,"Beausejour Stadium, Gros Islet"
odis0197,Trinidad,2006-05-13,male,ODI,,,50,,"Queen's Park Oval, Port of Spain"
odis0198,Trinidad,2006-05-14,male,ODI,,,50,RR Sarwan,"Queen's Park Oval, Port of Spain"
odis0199,Jamaica,2006-05-20,male,ODI,,,50,RR Sarwan,"Sabina Park, Kingston"
odis0200,St Kitts,2006-05-23,male,ODI,,,50,RR Sarwan,"Warner Park, Basseterre"
odis0201,Trinidad,2006-05-26,male,ODI,,,50,DJ Bravo,"Queen's Park Oval, Port of Spain"
odis0202,Trinidad,2006-05-28,male,ODI,,,50,DJ Bravo,"Queen's Park Oval, Port of Spain"
odis0203,Belfast,2006-06-13,male,ODI,,,50,ME Trescothick,"Civil Service Cricket Club, Stormont"
odis0204,London,2006-06-17,male,ODI,,,50,WU Tharanga,Lord's
odis0205,London,2006-06-20,male,ODI,,,50,ST Jayasuriya,Kennington Oval
odis0206,Chester-le-Street,2006-06-24,male,ODI,,,50,DPMD Jayawardene,Riverside Ground
odis0207,Manchester,2006-06-28,male,ODI,,,50,DPMD Jayawardene,Old Trafford
odis0208,Leeds,2006-07-01,male,ODI,,,50,ST Jayasuriya,Headingley
odis0209,,2006-08-06,male,ODI,,,50,Shahriar Nafees,Harare Sports Club
odis0210,Nairobi,2006-08-12,male,ODI,,,50,Mashrafe Mortaza,Gymkhana Club Ground
odis0211,Nairobi,2006-08-13,male,ODI,,,50,Mashrafe Mortaza,Gymkhana Club Ground
odis0212,Nairobi,2006-08-15,male,ODI,,,50,Mashrafe Mortaza,Gymkhana Club Ground
odis0213,Colombo,2006-08-18,male,ODI,,,50,,Sinhalese Sports Club Ground
odis0214,Cardiff,2006-08-30,male,ODI,,,50,,Sophia Gardens
odis0215,London,2006-09-02,male,ODI,,,50,Shoaib Akhtar,Lord's
odis0216,Southampton,2006-09-05,male,ODI,,,50,Younis Khan,The Rose Bowl
odis0217,Nottingham,2006-09-08,male,ODI,,,50,IR Bell,Trent Bridge
odis0218,Birmingham,2006-09-10,male,ODI,,,50,SI Mahmood,Edgbaston
odis0219,Kuala Lumpur,2006-09-14,male,ODI,,1.0,50,SR Tendulkar,Kinrara Academy Oval
odis0220,Bloemfontein,2006-09-15,male,ODI,,,50,HH Dippenaar,Goodyear Park
odis0221,Kuala Lumpur,2006-09-16,male,ODI,,1.0,50,,Kinrara Academy Oval
odis0222,East London,2006-09-18,male,ODI,,,50,AJ Hall,Buffalo Park
odis0223,Kuala Lumpur,2006-09-18,male,ODI,,1.0,50,MEK Hussey,Kinrara Academy Oval
odis0224,Potchefstroom,2006-09-20,male,ODI,,,50,MV Boucher,Sedgars Park
