key_id,data_version,created,revision
odis0141,0.91,2020-12-11,1
odis0142,0.91,2020-12-11,1
odis0143,0.91,2020-12-11,1
odis0144,0.91,2020-12-11,1
odis0145,0.91,2020-12-11,1
odis0146,0.91,2020-11-25,1
odis0147,0.91,2016-06-27,3
odis0148,0.91,2016-06-27,2
odis0149,0.91,2016-06-26,2
odis0150,0.91,2016-06-26,2
odis0151,0.91,2016-06-26,2
odis0152,0.91,2016-06-26,2
odis0153,0.91,2016-06-26,2
odis0154,0.91,2016-06-26,2
odis0155,0.91,2016-06-26,2
odis0156,0.91,2016-06-26,2
odis0157,0.91,2016-06-26,3
odis0158,0.91,2016-06-26,2
odis0159,0.91,2016-06-26,2
odis0160,0.91,2016-06-26,3
odis0161,0.91,2016-06-26,2
odis0162,0.91,2016-06-26,2
odis0163,0.91,2016-06-26,3
odis0164,0.91,2016-06-26,2
odis0165,0.91,2016-06-26,2
odis0166,0.91,2016-06-26,2
odis0167,0.91,2016-06-22,3
odis0168,0.91,2016-06-26,1
odis0169,0.91,2016-06-26,2
odis0170,0.91,2016-06-23,2
odis0171,0.91,2016-06-25,2
odis0172,0.91,2016-06-23,2
odis0173,0.91,2016-06-25,2
odis0174,0.91,2016-06-25,1
odis0175,0.91,2016-06-23,2
odis0176,0.91,2016-06-21,1
odis0177,0.91,2016-06-22,2
odis0178,0.91,2016-06-21,1
odis0179,0.91,2016-06-21,1
odis0180,0.91,2016-06-20,1
odis0181,0.91,2016-06-20,1
odis0182,0.91,2016-06-20,1
odis0183,0.91,2016-06-20,1
odis0184,0.91,2016-06-20,1
odis0185,0.91,2016-06-19,1
odis0186,0.91,2016-06-19,1
odis0187,0.91,2016-06-19,1
odis0188,0.91,2016-06-19,1
odis0189,0.91,2016-06-19,1
odis0190,0.91,2016-06-19,1
odis0191,0.91,2016-06-19,1
odis0192,0.91,2016-06-19,2
odis0193,0.91,2016-06-19,1
odis0194,0.91,2016-06-19,2
odis0195,0.91,2016-06-19,1
odis0196,0.91,2016-06-18,1
odis0197,0.91,2016-06-18,1
odis0198,0.91,2016-06-18,1
odis0199,0.91,2016-06-18,1
odis0200,0.91,2015-12-10,1
odis0201,0.91,2015-12-09,1
odis0202,0.91,2015-12-09,1
odis0203,0.91,2015-12-09,1
odis0204,0.91,2015-12-09,1
odis0205,0.91,2015-12-09,1
odis0206,0.91,2015-12-09,1
odis0207,0.91,2015-12-09,1
odis0208,0.91,2015-12-08,1
odis0209,0.91,2015-11-23,1
odis0210,0.91,2015-11-23,1
odis0211,0.91,2015-11-23,1
odis0212,0.91,2015-11-23,1
odis0213,0.91,2015-11-21,1
odis0214,0.91,2015-11-21,1
odis0215,0.91,2015-11-21,1
odis0216,0.91,2015-11-21,1
odis0217,0.91,2015-11-21,1
odis0218,0.91,2015-11-21,1
odis0219,0.91,2015-11-20,1
odis0220,0.91,2015-11-21,1
odis0221,0.91,2015-11-20,1
odis0222,0.91,2015-11-21,1
odis0223,0.91,2015-11-20,1
odis0224,0.91,2015-11-19,1
odis0225,0.91,2015-11-20,1
odis0226,0.91,2015-11-19,1
odis0227,0.91,2015-11-19,1
odis0228,0.91,2015-11-19,1
odis0229,0.91,2015-11-19,1
odis0230,0.91,2015-11-19,1
odis0231,0.91,2015-11-19,1
odis0232,0.91,2015-11-19,1
odis0233,0.91,2015-11-19,1
odis0234,0.91,2015-10-24,1
odis0235,0.91,2015-10-24,2
odis0236,0.91,2015-10-24,1
odis0237,0.91,2015-10-22,1
odis0238,0.91,2015-10-20,1
odis0239,0.91,2015-10-20,1
odis0240,0.91,2015-10-20,1
odis0241,0.91,2015-10-20,1
odis0242,0.91,2015-10-18,1
odis0243,0.91,2015-10-18,1
odis0244,0.91,2015-10-18,1
odis0245,0.91,2015-10-18,1
odis0246,0.91,2015-10-18,1
odis0247,0.91,2015-10-18,1
odis0248,0.91,2015-10-17,1
odis0249,0.91,2015-10-17,1
odis0250,0.91,2015-10-17,1
odis0251,0.91,2015-10-17,1
odis0252,0.91,2015-10-17,1
odis0253,0.91,2015-10-15,1
odis0254,0.91,2015-10-15,1
odis0255,0.91,2015-10-15,1
odis0256,0.91,2015-10-15,1
odis0257,0.91,2015-10-15,1
odis0258,0.91,2015-10-14,1
odis0259,0.91,2015-10-14,1
odis0260,0.91,2015-10-14,1
odis0261,0.91,2015-10-12,1
odis0262,0.91,2015-10-12,1
odis0263,0.91,2015-10-12,1
odis0264,0.91,2015-10-12,1
odis0265,0.91,2015-10-12,1
odis0266,0.91,2015-10-04,1
odis0267,0.91,2015-10-04,1
odis0268,0.91,2015-09-30,1
odis0269,0.91,2015-09-28,1
odis0270,0.91,2015-10-03,1
odis0271,0.91,2015-09-30,1
odis0272,0.91,2015-09-28,1
odis0273,0.91,2020-11-19,1
odis0274,0.91,2015-10-03,1
odis0275,0.91,2020-11-19,1
odis0276,0.91,2015-09-30,1
odis0277,0.91,2015-10-04,1
odis0278,0.91,2015-09-30,1
odis0279,0.91,2015-10-03,1
odis0280,0.91,2015-10-04,1
odis0281,0.91,2015-10-04,1
odis0282,0.91,2015-10-03,1
odis0283,0.91,2015-10-04,1
odis0284,0.91,2015-10-04,1
odis0285,0.91,2015-10-03,1
odis0286,0.91,2015-09-30,1
odis0287,0.91,2015-10-04,1
odis0288,0.91,2015-10-03,1
odis0289,0.91,2015-10-03,1
odis0290,0.91,2015-10-04,1
odis0291,0.91,2015-10-03,1
odis0292,0.91,2015-10-03,1
odis0293,0.91,2015-10-04,1
odis0294,0.91,2015-10-03,1
odis0295,0.91,2015-10-03,1
odis0296,0.91,2015-10-04,1
odis0297,0.91,2015-10-03,1
odis0298,0.91,2015-10-04,1
odis0299,0.91,2015-10-04,2
odis0300,0.91,2015-10-04,1
odis0301,0.91,2015-10-04,1
odis0302,0.91,2020-11-19,1
odis0303,0.91,2015-09-22,1
odis0304,0.91,2015-09-22,1
odis0305,0.91,2015-09-22,1
odis0306,0.91,2015-09-22,1
odis0307,0.91,2015-09-22,1
odis0308,0.91,2015-09-22,1
odis0309,0.91,2015-09-22,1
odis0310,0.91,2015-09-22,1
odis0311,0.91,2015-09-23,2
odis0312,0.91,2015-09-23,2
odis0313,0.91,2015-09-23,1
odis0314,0.91,2015-09-23,1
odis0315,0.91,2015-09-23,1
odis0316,0.91,2015-09-23,1
odis0317,0.91,2015-09-23,1
odis0318,0.91,2015-09-23,2
odis0319,0.91,2015-09-23,2
odis0320,0.91,2015-09-23,1
odis0321,0.91,2015-09-26,1
odis0322,0.91,2015-09-26,2
odis0323,0.91,2015-09-26,1
odis0324,0.91,2015-09-26,2
odis0325,0.91,2015-09-26,1
odis0326,0.91,2015-09-26,1
odis0327,0.91,2015-09-26,1
odis0328,0.91,2015-09-26,1
odis0329,0.91,2015-09-26,1
odis0330,0.91,2015-09-26,2
odis0331,0.91,2015-09-26,1
odis0332,0.91,2015-09-26,2
odis0333,0.91,2015-09-26,1
odis0334,0.91,2015-09-26,1
odis0335,0.91,2015-09-26,1
odis0336,0.91,2015-09-26,1
odis0337,0.91,2015-09-26,1
odis0338,0.91,2015-09-26,1
odis0339,0.91,2015-09-26,1
odis0340,0.91,2015-09-26,1
odis0341,0.91,2015-09-26,1
odis0342,0.91,2015-09-26,1
odis0343,0.91,2015-09-27,1
odis0344,0.91,2015-09-27,1
odis0345,0.91,2015-09-27,1
odis0346,0.91,2015-09-28,1
odis0347,0.91,2015-09-28,1
odis0348,0.91,2015-09-28,1
odis0349,0.91,2015-09-28,1
odis0350,0.91,2015-09-28,1
odis0351,0.91,2015-09-28,1
odis0352,0.91,2015-09-28,1
odis0353,0.91,2015-10-04,1
odis0354,0.91,2015-10-04,1
odis0355,0.91,2015-09-17,1
odis0356,0.91,2015-09-17,2
odis0357,0.91,2015-09-17,1
odis0358,0.91,2015-09-15,1
odis0359,0.91,2015-09-17,1
odis0360,0.91,2015-09-15,1
odis0361,0.91,2015-09-15,1
odis0362,0.91,2015-09-15,1
odis0363,0.91,2015-09-17,1
odis0364,0.91,2015-09-17,1
odis0365,0.91,2015-09-17,1
odis0366,0.91,2015-09-17,1
odis0367,0.91,2015-09-17,1
odis0368,0.91,2015-09-15,1
odis0369,0.91,2015-09-15,1
odis0370,0.91,2015-09-15,1
odis0371,0.91,2015-09-10,1
odis0372,0.91,2015-09-10,1
odis0373,0.91,2015-09-15,1
odis0374,0.91,2015-09-10,1
odis0375,0.91,2015-09-15,1
odis0376,0.91,2015-09-15,1
odis0377,0.91,2015-09-10,1
odis0378,0.91,2015-09-10,1
odis0379,0.91,2015-09-07,2
odis0380,0.91,2015-09-07,1
odis0381,0.91,2015-09-07,1
odis0382,0.91,2015-09-04,1
odis0383,0.91,2015-09-07,1
odis0384,0.91,2015-09-04,1
odis0385,0.91,2015-09-07,1
