key_id,decision,winner
odis0516,field,Sri Lanka
odis0517,bat,England
odis0518,bat,Zimbabwe
odis0519,field,England
odis0520,field,Zimbabwe
odis0521,field,India
odis0522,field,Zimbabwe
odis0523,field,New Zealand
odis0524,field,New Zealand
odis0525,field,Bangladesh
odis0526,field,Bangladesh
odis0527,bat,Australia
odis0528,field,South Africa
odis0529,bat,Sri Lanka
odis0530,field,Pakistan
odis0531,field,Bangladesh
odis0532,bat,Australia
odis0533,bat,Sri Lanka
odis0534,bat,Australia
odis0535,field,India
odis0536,bat,South Africa
odis0537,bat,India
odis0538,bat,Kenya
odis0539,bat,Australia
odis0540,bat,India
odis0541,bat,India
odis0542,field,New Zealand
odis0543,bat,Sri Lanka
odis0544,field,New Zealand
odis0545,bat,New Zealand
odis0546,field,New Zealand
odis0547,bat,India
odis0548,bat,India
odis0549,field,New Zealand
odis0550,field,England
odis0551,bat,New Zealand
odis0552,bat,India
odis0553,bat,England
odis0554,bat,West Indies
odis0555,field,West Indies
odis0556,field,England
odis0557,field,Ireland
odis0558,field,West Indies
odis0559,bat,Australia
odis0560,bat,Australia
odis0561,field,Scotland
odis0562,bat,South Africa
odis0563,field,Australia
odis0564,field,South Africa
odis0565,bat,Afghanistan
odis0566,bat,Australia
odis0567,bat,Pakistan
odis0568,bat,Australia
odis0569,bat,Pakistan
odis0570,bat,Australia
odis0571,field,England
odis0572,field,West Indies
odis0573,bat,India
odis0574,bat,India
odis0575,bat,Australia
odis0576,field,India
odis0577,field,India
odis0578,field,West Indies
odis0579,bat,West Indies
odis0580,field,Pakistan
odis0581,bat,West Indies
odis0582,field,Sri Lanka
odis0583,field,Sri Lanka
odis0584,bat,Pakistan
odis0585,field,Bangladesh
odis0586,bat,Pakistan
odis0587,field,Zimbabwe
odis0588,field,Bangladesh
odis0589,bat,Zimbabwe
odis0590,bat,Zimbabwe
odis0591,field,Canada
odis0592,bat,England
odis0593,field,England
odis0594,field,England
odis0595,bat,Sri Lanka
odis0596,bat,England
odis0597,bat,New Zealand
odis0598,bat,Sri Lanka
odis0599,bat,England
odis0600,bat,India
odis0601,bat,England
odis0602,bat,Australia
odis0603,field,England
odis0604,field,South Africa
odis0605,bat,West Indies
odis0606,field,South Africa
odis0607,field,England
odis0608,bat,Pakistan
odis0609,field,West Indies
odis0610,bat,England
odis0611,field,Sri Lanka
odis0612,bat,Australia
odis0613,field,New Zealand
odis0614,field,India
odis0615,field,Australia
odis0616,bat,England
odis0617,bat,Pakistan
odis0618,bat,New Zealand
odis0619,field,South Africa
odis0620,bat,Australia
odis0621,field,Zimbabwe
odis0622,field,Australia
odis0623,bat,Zimbabwe
odis0624,field,Bangladesh
odis0625,bat,Australia
odis0626,field,India
odis0627,bat,Pakistan
odis0628,bat,Zimbabwe
odis0629,field,Bangladesh
odis0630,bat,Australia
odis0631,bat,New Zealand
odis0632,field,Zimbabwe
odis0633,bat,India
odis0634,bat,New Zealand
odis0635,field,Zimbabwe
odis0636,field,England
odis0637,bat,South Africa
odis0638,bat,South Africa
odis0639,field,Sri Lanka
odis0640,bat,India
odis0641,bat,Sri Lanka
odis0642,bat,Sri Lanka
odis0643,field,India
odis0644,field,Sri Lanka
odis0645,field,Sri Lanka
odis0646,bat,Bangladesh
odis0647,field,Sri Lanka
odis0648,bat,Sri Lanka
odis0649,field,India
odis0650,field,Sri Lanka
odis0651,bat,Pakistan
odis0652,field,Pakistan
odis0653,bat,Australia
odis0654,bat,Australia
odis0655,bat,Pakistan
odis0656,bat,New Zealand
odis0657,field,West Indies
