key_id,player_of_match
odis0267,ST Jayasuriya
odis0267,
odis0268,AC Gilchrist
odis0268,
odis0269,A Symonds
odis0269,
odis0270,A Flintoff
odis0270,
odis0271,MEK Hussey
odis0271,
odis0272,MJ Clarke
odis0272,
odis0274,JDP Oram
odis0274,
odis0276,MG Johnson
odis0276,
odis0277,MN Samuels
odis0277,
odis0278,RT Ponting
odis0278,
odis0279,L Vincent
odis0279,
odis0280,SR Tendulkar
odis0280,
odis0281,JM Davison
odis0281,
odis0282,EC Joyce
odis0282,
odis0283,RM Haq
odis0283,
odis0284,RN ten Doeschate
odis0284,
odis0285,JH Kallis
odis0285,
odis0286,RT Ponting
odis0286,
odis0287,TM Odoyo
odis0287,
odis0288,PD Collingwood
odis0288,
odis0289,Younis Khan
odis0289,
odis0292,PD Collingwood
odis0292,
odis0293,KC Sangakkara
odis0293,
odis0294,SM Pollock
odis0294,
odis0296,Z Khan
odis0296,
odis0297,SM Pollock
odis0297,
odis0298,SE Bond
odis0298,
odis0299,LPC Silva
odis0299,
odis0300,LRPL Taylor
odis0300,
odis0301,ML Hayden
odis0301,
odis0302,S Nitschke
odis0302,KE Pike
odis0302,
odis0303,DR Smith
odis0303,
odis0304,RT Ponting
odis0304,
odis0305,JP Bray
odis0305,
odis0306,DPMD Jayawardene
odis0306,
odis0307,SB Styris
odis0307,
odis0308,HH Gibbs
odis0308,
odis0309,NJ O'Brien
odis0309,
odis0310,Mashrafe Mortaza
odis0310,
odis0311,PD Collingwood
odis0311,
odis0312,BJ Hodge
odis0312,
odis0313,SC Williams
odis0313,
odis0314,V Sehwag
odis0314,
odis0315,LRPL Taylor
odis0315,
odis0316,GC Smith
odis0316,
odis0317,Imran Nazir
odis0317,
odis0318,ST Jayasuriya
odis0318,
odis0319,L Vincent
odis0319,
odis0320,WF Stelling
odis0320,
odis0321,S Chanderpaul
odis0321,
odis0322,M Muralitharan
odis0322,
odis0323,EC Joyce
odis0323,
odis0324,ML Hayden
odis0324,
odis0325,Mohammad Ashraful
odis0325,
odis0326,ML Hayden
odis0326,
odis0327,CK Langeveldt
odis0327,SL Malinga
odis0327,
odis0328,JDP Oram
odis0328,
odis0329,PD Collingwood
odis0329,
odis0330,GD McGrath
odis0330,
odis0331,ST Jayasuriya
odis0331,
odis0332,SE Bond
odis0332,
odis0333,JH Kallis
odis0333,
odis0334,RS Bopara
odis0334,
odis0335,Mohammad Ashraful
odis0335,
odis0336,SW Tait
odis0336,
odis0337,PG Fulton
odis0337,
odis0338,AB de Villiers
odis0338,
odis0339,SI Mahmood
odis0339,
odis0340,WPUJC Vaas
odis0340,
odis0341,GD McGrath
odis0341,
odis0342,CD McMillan
odis0342,
odis0343,WTS Porterfield
odis0343,
odis0344,NW Bracken
odis0344,
odis0345,AJ Hall
odis0345,
odis0346,MF Maharoof
odis0346,
odis0347,RR Sarwan
odis0347,
odis0348,ML Hayden
odis0348,
odis0349,KP Pietersen
odis0349,
odis0350,DPMD Jayawardene
odis0350,
odis0351,GD McGrath
odis0351,
odis0352,AC Gilchrist
odis0352,
odis0353,MS Dhoni
odis0353,
odis0354,G Gambhir
odis0354,
odis0355,SM Pollock
odis0355,
odis0356,CRD Fernando
odis0356,
odis0357,MS Dhoni
odis0357,
odis0358,G Gambhir
odis0358,
odis0359,AR Cusack
odis0359,
odis0360,JH Kallis
odis0360,
odis0361,SR Tendulkar
odis0361,
odis0362,Yuvraj Singh
odis0362,
odis0363,FH Edwards
odis0363,
odis0364,S Chanderpaul
odis0364,
odis0365,DBL Powell
odis0365,
odis0368,CRD Fernando
odis0368,
odis0369,ST Jayasuriya
odis0369,
odis0370,J Mubarak
odis0370,
odis0371,G Gambhir
odis0371,
odis0372,IR Bell
odis0372,
odis0373,GB Brent
odis0373,
odis0374,R Dravid
odis0374,
odis0375,HH Gibbs
odis0375,
odis0376,AB de Villiers
odis0376,
odis0377,IR Bell
odis0377,
odis0378,SCJ Broad
odis0378,
odis0379,SC Ganguly
odis0379,
odis0380,SR Tendulkar
odis0380,
odis0381,KP Pietersen
odis0381,
odis0383,MF Maharoof
odis0383,
odis0384,BJ Haddin
odis0384,
odis0385,OA Shah
odis0385,
odis0386,A Symonds
odis0386,
odis0387,MS Dhoni
odis0387,
odis0388,AN Cook
odis0388,
odis0389,MG Johnson
odis0389,
odis0390,CRD Fernando
odis0390,
odis0391,A Symonds
odis0391,
odis0392,M Kartik
odis0392,
odis0393,AB de Villiers
odis0393,
odis0395,Mohammad Yousuf
odis0395,
odis0397,Shahid Afridi
odis0397,
odis0399,SM Pollock
odis0399,
odis0402,M Ntini
odis0402,
odis0403,MS Dhoni
odis0403,
odis0404,Younis Khan
odis0404,
odis0405,Yuvraj Singh
odis0405,
odis0406,SR Tendulkar
odis0406,
odis0407,Shoaib Malik
odis0407,
odis0408,AB de Villiers
odis0408,
odis0409,CJ Chibhabha
odis0409,
odis0410,JM How
odis0410,BB McCullum
odis0410,
odis0411,RS Morton
odis0411,
odis0412,HH Gibbs
odis0412,
odis0413,JE Taylor
odis0413,
odis0414,RT Ponting
odis0414,
odis0416,RT Ponting
odis0416,
odis0417,JM How
odis0417,
odis0418,PG Fulton
odis0418,
odis0419,DL Vettori
odis0419,
odis0420,JP Duminy
odis0420,
odis0421,Nasir Jamshed
odis0421,
odis0422,Sohail Tanvir
odis0422,
odis0423,SM Pollock
odis0423,
odis0424,Shahid Afridi
odis0424,
odis0425,JH Kallis
odis0425,
odis0426,Shoaib Malik
odis0426,
odis0427,AB de Villiers
odis0427,
odis0428,Younis Khan
odis0428,
odis0429,HH Gibbs
odis0429,
odis0432,NW Bracken
odis0432,
odis0433,SB Styris
odis0433,
odis0434,I Sharma
odis0434,
odis0435,JD Ryder
odis0435,
odis0436,PD Collingwood
odis0436,
odis0437,AC Gilchrist
odis0437,
odis0438,MJ Clarke
odis0438,
odis0439,KC Sangakkara
odis0439,
odis0440,JM How
odis0440,
odis0441,C Brits
odis0441,
odis0442,L Egging
odis0442,
odis0443,OV Anderson
odis0443,
odis0444,MEK Hussey
odis0444,
odis0445,BB McCullum
odis0445,
odis0446,RT Ponting
odis0446,
odis0447,P Kumar
odis0447,
odis0448,AC Gilchrist
odis0448,
odis0449,SR Tendulkar
odis0449,
odis0450,P Kumar
odis0450,
odis0451,GC Smith
odis0451,
odis0452,A Nel
odis0452,
odis0453,JA Morkel
odis0453,
odis0454,Mohammad Yousuf
odis0454,
odis0455,DJ Bravo
odis0455,
odis0456,Salman Butt
odis0456,
odis0457,S Chanderpaul
odis0457,
odis0458,Salman Butt
odis0458,
odis0460,Shakib Al Hasan
odis0460,
odis0461,Mohammad Asif
odis0461,
odis0462,SL Pujare
odis0462,
odis0463,A Rawat
odis0463,
odis0464,Salman Butt
odis0464,
odis0465,V Sehwag
odis0465,
odis0466,G Gambhir
odis0466,
odis0467,Younis Khan
odis0467,
odis0468,KP Pietersen
odis0468,
odis0470,KD Mills
odis0470,
odis0471,Sohail Tanvir
odis0471,
odis0472,Mohammad Ashraful
odis0472,
odis0473,SE Marsh
odis0473,
odis0474,SK Raina
odis0474,
odis0475,KC Sangakkara
odis0475,
odis0476,SB Styris
odis0476,
odis0477,SK Raina
odis0477,
odis0478,BAW Mendis
odis0478,
odis0479,MJ Clarke
odis0479,
odis0480,SK Raina
odis0480,
odis0481,SB Styris
odis0481,
odis0482,KC Sangakkara
odis0482,
odis0483,S Dhaniram
odis0483,
odis0484,SR Watson
odis0484,
odis0485,ST Jayasuriya
odis0485,
odis0486,Younis Khan
odis0486,
odis0487,MS Dhoni
odis0487,
odis0488,Abdur Rauf
odis0488,
odis0489,A Symonds
odis0489,
odis0490,BAW Mendis
odis0490,
odis0491,L Ronchi
odis0491,
odis0495,BAW Mendis
odis0495,
odis0496,Z Khan
odis0496,
odis0497,KP Pietersen
odis0497,
odis0498,MS Dhoni
odis0498,
odis0500,SCJ Broad
odis0500,
odis0501,SK Raina
odis0501,
odis0502,KMDN Kulasekara
odis0502,
odis0503,SR Patel
odis0503,
odis0504,MEK Hussey
odis0504,
odis0505,A Flintoff
odis0505,
odis0506,SE Marsh
odis0506,
odis0508,Tamim Iqbal
odis0508,
odis0510,JP Duminy
odis0510,
odis0511,DW Steyn
odis0511,
odis0512,CH Gayle
odis0512,
odis0513,Sohail Tanvir
odis0513,
odis0514,Yuvraj Singh
odis0514,
odis0515,Yuvraj Singh
odis0515,
odis0516,M Muralitharan
odis0516,
odis0517,Harbhajan Singh
odis0517,
odis0518,BAW Mendis
odis0518,
odis0519,V Sehwag
odis0519,
odis0520,H Masakadza
odis0520,
odis0521,V Sehwag
odis0521,
odis0522,M Muralitharan
odis0522,
odis0524,DL Vettori
odis0524,
odis0525,E Chigumbura
odis0525,
odis0526,Shakib Al Hasan
odis0526,
odis0527,JA Morkel
odis0527,
