key_id,teams
odis0243,South Africa
odis0244,England
odis0244,West Indies
odis0245,India
odis0245,Australia
odis0246,Australia
odis0246,New Zealand
odis0247,South Africa
odis0247,West Indies
odis0248,Australia
odis0248,West Indies
odis0249,South Africa
odis0249,India
odis0250,South Africa
odis0250,India
odis0251,Bermuda
odis0251,Canada
odis0252,South Africa
odis0252,India
odis0253,Bermuda
odis0253,Canada
odis0254,Canada
odis0254,Netherlands
odis0255,Bermuda
odis0255,Netherlands
odis0256,Bangladesh
odis0256,Zimbabwe
odis0257,South Africa
odis0257,India
odis0258,Bangladesh
odis0258,Zimbabwe
odis0259,Pakistan
odis0259,West Indies
odis0260,Bangladesh
odis0260,Zimbabwe
odis0261,Bangladesh
odis0261,Zimbabwe
odis0262,Pakistan
odis0262,West Indies
odis0263,Pakistan
odis0263,West Indies
odis0264,Pakistan
odis0264,West Indies
odis0265,New Zealand
odis0265,Sri Lanka
odis0266,New Zealand
odis0266,Sri Lanka
odis0267,New Zealand
odis0267,Sri Lanka
odis0268,Australia
odis0268,England
odis0269,Australia
odis0269,New Zealand
odis0270,England
odis0270,New Zealand
odis0271,Australia
odis0271,England
odis0272,Australia
odis0272,New Zealand
odis0273,South Africa
odis0273,Pakistan
odis0274,England
odis0274,New Zealand
odis0275,Pakistan
odis0275,South Africa
odis0276,Australia
odis0276,England
odis0277,India
odis0277,West Indies
odis0278,Australia
odis0278,New Zealand
odis0279,England
odis0279,New Zealand
odis0280,India
odis0280,West Indies
odis0281,Bermuda
odis0281,Canada
odis0282,Australia
odis0282,England
odis0283,Kenya
odis0283,Scotland
odis0284,Bermuda
odis0284,Netherlands
odis0285,South Africa
odis0285,Pakistan
odis0286,Australia
odis0286,New Zealand
odis0287,Kenya
odis0287,Canada
odis0288,England
odis0288,New Zealand
odis0289,South Africa
odis0289,Pakistan
odis0290,India
odis0290,Sri Lanka
odis0291,South Africa
odis0291,Pakistan
odis0292,Australia
odis0292,England
odis0293,India
odis0293,Sri Lanka
odis0294,South Africa
odis0294,Pakistan
odis0295,Australia
odis0295,England
odis0296,India
odis0296,Sri Lanka
odis0297,South Africa
odis0297,Pakistan
odis0298,New Zealand
odis0298,Australia
odis0299,India
odis0299,Sri Lanka
odis0300,New Zealand
odis0300,Australia
odis0301,New Zealand
odis0301,Australia
odis0302,New Zealand
odis0302,Australia
odis0303,West Indies
odis0303,Pakistan
odis0304,Australia
odis0304,Scotland
odis0305,Ireland
odis0305,Zimbabwe
odis0306,Bermuda
odis0306,Sri Lanka
odis0307,England
odis0307,New Zealand
odis0308,Netherlands
odis0308,South Africa
odis0309,Ireland
odis0309,Pakistan
odis0310,Bangladesh
odis0310,India
odis0311,Canada
odis0311,England
odis0312,Australia
odis0312,Netherlands
odis0313,West Indies
odis0313,Zimbabwe
odis0314,Bermuda
odis0314,India
odis0315,Kenya
odis0315,New Zealand
odis0316,Scotland
odis0316,South Africa
odis0317,Pakistan
odis0317,Zimbabwe
odis0318,Bangladesh
odis0318,Sri Lanka
odis0319,Canada
odis0319,New Zealand
odis0320,Netherlands
odis0320,Scotland
odis0321,West Indies
odis0321,Ireland
odis0322,India
odis0322,Sri Lanka
odis0323,England
odis0323,Kenya
odis0324,Australia
odis0324,South Africa
odis0325,Bangladesh
odis0325,Bermuda
odis0326,West Indies
odis0326,Australia
odis0327,South Africa
odis0327,Sri Lanka
odis0328,West Indies
odis0328,New Zealand
odis0329,England
odis0329,Ireland
odis0330,Australia
odis0330,Bangladesh
odis0331,West Indies
odis0331,Sri Lanka
odis0332,Bangladesh
odis0332,New Zealand
odis0333,Ireland
odis0333,South Africa
odis0334,England
odis0334,Sri Lanka
odis0335,Bangladesh
odis0335,South Africa
odis0336,Australia
odis0336,England
odis0337,Ireland
odis0337,New Zealand
odis0338,West Indies
odis0338,South Africa
odis0339,Bangladesh
odis0339,England
odis0340,New Zealand
odis0340,Sri Lanka
odis0341,Australia
odis0341,Ireland
odis0342,New Zealand
odis0342,South Africa
odis0343,Bangladesh
odis0343,Ireland
odis0344,Australia
odis0344,Sri Lanka
odis0345,England
odis0345,South Africa
odis0346,Ireland
odis0346,Sri Lanka
odis0347,West Indies
odis0347,Bangladesh
odis0348,Australia
odis0348,New Zealand
odis0349,West Indies
odis0349,England
odis0350,New Zealand
odis0350,Sri Lanka
odis0351,Australia
odis0351,South Africa
odis0352,Australia
odis0352,Sri Lanka
odis0353,Bangladesh
odis0353,India
odis0354,Bangladesh
odis0354,India
odis0355,Africa XI
odis0355,Asia XI
odis0356,Africa XI
odis0356,Asia XI
odis0357,Africa XI
odis0357,Asia XI
odis0358,Ireland
odis0358,India
odis0359,Ireland
odis0359,South Africa
odis0360,India
odis0360,South Africa
odis0361,India
odis0361,South Africa
odis0362,India
odis0362,South Africa
odis0363,England
odis0363,West Indies
odis0364,England
odis0364,West Indies
odis0365,England
odis0365,West Indies
odis0366,Netherlands
odis0366,Scotland
odis0367,Ireland
odis0367,West Indies
odis0368,Sri Lanka
odis0368,Bangladesh
odis0369,Sri Lanka
odis0369,Bangladesh
odis0370,Sri Lanka
odis0370,Bangladesh
odis0371,Scotland
odis0371,India
odis0372,England
odis0372,India
odis0373,Zimbabwe
odis0373,South Africa
odis0374,England
odis0374,India
odis0375,Zimbabwe
odis0375,South Africa
odis0376,Zimbabwe
odis0376,South Africa
odis0377,England
odis0377,India
odis0378,England
odis0378,India
odis0379,England
odis0379,India
odis0380,England
odis0380,India
odis0381,England
odis0381,India
odis0382,India
odis0382,Australia
odis0383,Sri Lanka
odis0383,England
odis0384,India
odis0384,Australia
odis0385,Sri Lanka
odis0385,England
odis0386,India
odis0386,Australia
odis0387,India
odis0387,Australia
odis0388,Sri Lanka
odis0388,England
odis0389,India
odis0389,Australia
odis0390,Sri Lanka
odis0390,England
odis0391,India
odis0391,Australia
odis0392,India
odis0392,Australia
odis0393,Pakistan
odis0393,South Africa
odis0394,Kenya
odis0394,Canada
odis0395,Pakistan
odis0395,South Africa
odis0396,Kenya
odis0396,Canada
odis0397,Pakistan
odis0397,South Africa
odis0398,Kenya
odis0398,Bermuda
odis0399,Pakistan
odis0399,South Africa
odis0400,Kenya
odis0400,Bermuda
odis0401,Kenya
odis0401,Bermuda
odis0402,Pakistan
odis0402,South Africa
odis0403,India
odis0403,Pakistan
odis0404,India
odis0404,Pakistan
odis0405,India
odis0405,Pakistan
odis0406,India
odis0406,Pakistan
odis0407,India
odis0407,Pakistan
odis0408,South Africa
odis0408,New Zealand
odis0409,Zimbabwe
odis0409,West Indies
odis0410,South Africa
odis0410,New Zealand
odis0411,Zimbabwe
odis0411,West Indies
odis0412,South Africa
odis0412,New Zealand
odis0413,Zimbabwe
odis0413,West Indies
odis0414,Australia
odis0414,New Zealand
odis0415,Australia
odis0415,New Zealand
odis0416,Australia
odis0416,New Zealand
odis0417,New Zealand
odis0417,Bangladesh
odis0418,New Zealand
odis0418,Bangladesh
odis0419,New Zealand
odis0419,Bangladesh
odis0420,South Africa
odis0420,West Indies
odis0421,Pakistan
odis0421,Zimbabwe
odis0422,Pakistan
odis0422,Zimbabwe
odis0423,South Africa
odis0423,West Indies
odis0424,Pakistan
odis0424,Zimbabwe
odis0425,South Africa
odis0425,West Indies
odis0426,Pakistan
odis0426,Zimbabwe
odis0427,South Africa
odis0427,West Indies
odis0428,Pakistan
odis0428,Zimbabwe
odis0429,South Africa
odis0429,West Indies
odis0430,Australia
odis0430,India
odis0431,India
odis0431,Sri Lanka
odis0432,Australia
odis0432,Sri Lanka
odis0433,New Zealand
odis0433,England
odis0434,Australia
odis0434,India
odis0435,New Zealand
odis0435,England
odis0436,New Zealand
odis0436,England
odis0437,Australia
odis0437,Sri Lanka
odis0438,Australia
odis0438,India
odis0439,India
odis0439,Sri Lanka
odis0440,New Zealand
odis0440,England
odis0441,South Africa
odis0441,Netherlands
odis0442,Pakistan
odis0442,Netherlands
odis0443,Ireland
odis0443,South Africa
odis0444,Australia
odis0444,Sri Lanka
odis0445,New Zealand
odis0445,England
odis0446,Australia
odis0446,India
odis0447,India
odis0447,Sri Lanka
odis0448,Australia
odis0448,Sri Lanka
odis0449,Australia
odis0449,India
odis0450,Australia
odis0450,India
odis0451,Bangladesh
odis0451,South Africa
odis0452,Bangladesh
odis0452,South Africa
odis0453,Bangladesh
odis0453,South Africa
odis0454,Pakistan
odis0454,Bangladesh
odis0455,West Indies
odis0455,Sri Lanka
odis0456,Pakistan
odis0456,Bangladesh
odis0457,West Indies
odis0457,Sri Lanka
odis0458,Pakistan
odis0458,Bangladesh
odis0459,West Indies
odis0459,Sri Lanka
odis0460,Pakistan
odis0460,Bangladesh
odis0461,Pakistan
odis0461,Bangladesh
odis0462,Sri Lanka
odis0462,India
odis0463,India
