team_1,team_2,key
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00185
Barbados Tridents,St Kitts and Nevis Patriots,cpl00186
Jamaica Tallawahs,St Lucia Zouks,cpl00187
Trinbago Knight Riders,Jamaica Tallawahs,cpl00188
St Kitts and Nevis Patriots,Guyana Amazon Warriors,cpl00189
Barbados Tridents,Jamaica Tallawahs,cpl00190
St Lucia Zouks,St Kitts and Nevis Patriots,cpl00191
Trinbago Knight Riders,St Kitts and Nevis Patriots,cpl00192
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00193
St Kitts and Nevis Patriots,Jamaica Tallawahs,cpl00194
Barbados Tridents,St Lucia Zouks,cpl00195
St Lucia Zouks,Trinbago Knight Riders,cpl00196
Barbados Tridents,Guyana Amazon Warriors,cpl00197
Jamaica Tallawahs,Barbados Tridents,cpl00198
St Lucia Zouks,St Kitts and Nevis Patriots,cpl00199
St Lucia Zouks,Guyana Amazon Warriors,cpl00200
Barbados Tridents,Trinbago Knight Riders,cpl00201
Jamaica Tallawahs,St Lucia Zouks,cpl00202
St Kitts and Nevis Patriots,Barbados Tridents,cpl00203
Barbados Tridents,St Lucia Zouks,cpl00204
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00205
Trinbago Knight Riders,Barbados Tridents,cpl00206
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00207
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00208
Guyana Amazon Warriors,Barbados Tridents,cpl00209
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00210
Barbados Tridents,Trinbago Knight Riders,cpl00211
Barbados Tridents,Guyana Amazon Warriors,cpl00212
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00213
Barbados Tridents,St Kitts and Nevis Patriots,cpl00214
St Lucia Zouks,Jamaica Tallawahs,cpl00215
St Kitts and Nevis Patriots,Guyana Amazon Warriors,cpl00216
Barbados Tridents,St Lucia Zouks,cpl00217
Jamaica Tallawahs,Trinbago Knight Riders,cpl00218
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00219
St Lucia Zouks,St Kitts and Nevis Patriots,cpl00220
Trinbago Knight Riders,Barbados Tridents,cpl00221
St Lucia Zouks,Guyana Amazon Warriors,cpl00222
Barbados Tridents,St Kitts and Nevis Patriots,cpl00223
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00224
St Lucia Zouks,Trinbago Knight Riders,cpl00225
Barbados Tridents,Jamaica Tallawahs,cpl00226
St Kitts and Nevis Patriots,St Lucia Zouks,cpl00227
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00228
Barbados Tridents,Trinbago Knight Riders,cpl00229
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00230
St Lucia Zouks,Barbados Tridents,cpl00231
St Kitts and Nevis Patriots,Guyana Amazon Warriors,cpl00232
Barbados Tridents,Guyana Amazon Warriors,cpl00233
Trinbago Knight Riders,Jamaica Tallawahs,cpl00234
Trinbago Knight Riders,St Kitts and Nevis Patriots,cpl00235
St Lucia Zouks,Guyana Amazon Warriors,cpl00236
St Kitts and Nevis Patriots,Jamaica Tallawahs,cpl00237
Barbados Tridents,Guyana Amazon Warriors,cpl00238
Trinbago Knight Riders,St Lucia Zouks,cpl00239
Jamaica Tallawahs,Barbados Tridents,cpl00240
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00241
St Lucia Zouks,Jamaica Tallawahs,cpl00242
Jamaica Tallawahs,Trinbago Knight Riders,cpl00243
Guyana Amazon Warriors,St Lucia Zouks,cpl00244
St Lucia Zouks,Trinbago Knight Riders,cpl00245
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00246
St Kitts and Nevis Patriots,Barbados Royals,cpl00247
Jamaica Tallawahs,St Lucia Kings,cpl00248
Barbados Royals,Trinbago Knight Riders,cpl00249
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00250
Barbados Royals,Jamaica Tallawahs,cpl00251
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00252
St Lucia Kings,Trinbago Knight Riders,cpl00253
Barbados Royals,Jamaica Tallawahs,cpl00254
Trinbago Knight Riders,St Lucia Kings,cpl00255
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00256
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00257
St Lucia Kings,Guyana Amazon Warriors,cpl00258
Barbados Royals,St Kitts and Nevis Patriots,cpl00259
St Lucia Kings,St Kitts and Nevis Patriots,cpl00260
Barbados Royals,Guyana Amazon Warriors,cpl00261
St Kitts and Nevis Patriots,St Lucia Kings,cpl00262
Jamaica Tallawahs,Trinbago Knight Riders,cpl00263
Trinbago Knight Riders,Jamaica Tallawahs,cpl00264
Barbados Royals,Guyana Amazon Warriors,cpl00265
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00266
Guyana Amazon Warriors,St Lucia Kings,cpl00267
Barbados Royals,Trinbago Knight Riders,cpl00268
Jamaica Tallawahs,St Lucia Kings,cpl00269
St Lucia Kings,Barbados Royals,cpl00270
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00271
Trinbago Knight Riders,St Kitts and Nevis Patriots,cpl00272
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00273
St Lucia Kings,Barbados Royals,cpl00274
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00275
St Lucia Kings,Trinbago Knight Riders,cpl00276
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00277
St Lucia Kings,St Kitts and Nevis Patriots,cpl00278
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00279
St Kitts and Nevis Patriots,Barbados Royals,cpl00280
St Lucia Kings,Trinbago Knight Riders,cpl00281
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00282
Barbados Royals,St Lucia Kings,cpl00283
Barbados Royals,Trinbago Knight Riders,cpl00284
Jamaica Tallawahs,St Lucia Kings,cpl00285
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00286
St Lucia Kings,Barbados Royals,cpl00287
Jamaica Tallawahs,Trinbago Knight Riders,cpl00288
St Lucia Kings,Guyana Amazon Warriors,cpl00289
St Lucia Kings,St Kitts and Nevis Patriots,cpl00290
Jamaica Tallawahs,Barbados Royals,cpl00291
Trinbago Knight Riders,Barbados Royals,cpl00292
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00293
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00294
Barbados Royals,Jamaica Tallawahs,cpl00295
St Lucia Kings,St Kitts and Nevis Patriots,cpl00296
Jamaica Tallawahs,Trinbago Knight Riders,cpl00297
Barbados Royals,Guyana Amazon Warriors,cpl00298
St Lucia Kings,Trinbago Knight Riders,cpl00299
Barbados Royals,St Kitts and Nevis Patriots,cpl00300
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00301
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00302
St Lucia Kings,Guyana Amazon Warriors,cpl00303
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00304
Barbados Royals,Guyana Amazon Warriors,cpl00305
Barbados Royals,Guyana Amazon Warriors,cpl00306
Jamaica Tallawahs,St Lucia Kings,cpl00307
Jamaica Tallawahs,Guyana Amazon Warriors,cpl00308
Barbados Royals,Jamaica Tallawahs,cpl00309
Jamaica Tallawahs,St Lucia Kings,cpl00310
St Lucia Kings,Barbados Royals,cpl00311
Trinbago Knight Riders,St Kitts and Nevis Patriots,cpl00312
Guyana Amazon Warriors,St Lucia Kings,cpl00313
St Kitts and Nevis Patriots,Jamaica Tallawahs,cpl00314
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00315
St Kitts and Nevis Patriots,Barbados Royals,cpl00316
St Lucia Kings,Trinbago Knight Riders,cpl00317
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00318
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00319
Trinbago Knight Riders,Barbados Royals,cpl00320
Jamaica Tallawahs,Barbados Royals,cpl00321
St Lucia Kings,Barbados Royals,cpl00322
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00323
St Kitts and Nevis Patriots,Barbados Royals,cpl00324
Trinbago Knight Riders,Jamaica Tallawahs,cpl00325
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00326
Trinbago Knight Riders,Barbados Royals,cpl00327
Jamaica Tallawahs,Trinbago Knight Riders,cpl00328
St Lucia Kings,St Kitts and Nevis Patriots,cpl00329
Guyana Amazon Warriors,Barbados Royals,cpl00330
St Lucia Kings,Trinbago Knight Riders,cpl00331
Jamaica Tallawahs,Guyana Amazon Warriors,cpl00332
Guyana Amazon Warriors,St Lucia Kings,cpl00333
Jamaica Tallawahs,St Kitts and Nevis Patriots,cpl00334
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00335
Jamaica Tallawahs,St Lucia Kings,cpl00336
Guyana Amazon Warriors,Barbados Royals,cpl00337
St Lucia Kings,Jamaica Tallawahs,cpl00338
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00339
Guyana Amazon Warriors,Jamaica Tallawahs,cpl00340
Trinbago Knight Riders,Guyana Amazon Warriors,cpl00341
Antigua and Barbuda Falcons,St Kitts and Nevis Patriots,cpl00342
Antigua and Barbuda Falcons,Guyana Amazon Warriors,cpl00343
Trinbago Knight Riders,St Kitts and Nevis Patriots,cpl00344
Antigua and Barbuda Falcons,Barbados Royals,cpl00345
St Kitts and Nevis Patriots,St Lucia Kings,cpl00346
Antigua and Barbuda Falcons,St Lucia Kings,cpl00347
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00348
Antigua and Barbuda Falcons,Trinbago Knight Riders,cpl00349
St Kitts and Nevis Patriots,Barbados Royals,cpl00350
St Lucia Kings,Guyana Amazon Warriors,cpl00351
St Kitts and Nevis Patriots,Antigua and Barbuda Falcons,cpl00352
St Lucia Kings,Trinbago Knight Riders,cpl00353
Antigua and Barbuda Falcons,Barbados Royals,cpl00354
St Kitts and Nevis Patriots,St Lucia Kings,cpl00355
Barbados Royals,Trinbago Knight Riders,cpl00356
Barbados Royals,Guyana Amazon Warriors,cpl00357
St Lucia Kings,Antigua and Barbuda Falcons,cpl00358
St Kitts and Nevis Patriots,Barbados Royals,cpl00359
Guyana Amazon Warriors,Trinbago Knight Riders,cpl00360
Trinbago Knight Riders,Antigua and Barbuda Falcons,cpl00361
Guyana Amazon Warriors,St Kitts and Nevis Patriots,cpl00362
Barbados Royals,St Lucia Kings,cpl00363
Guyana Amazon Warriors,Antigua and Barbuda Falcons,cpl00364
St Kitts and Nevis Patriots,Trinbago Knight Riders,cpl00365
St Lucia Kings,Barbados Royals,cpl00366
St Lucia Kings,Trinbago Knight Riders,cpl00367
Guyana Amazon Warriors,Barbados Royals,cpl00368
