winner,by.runs,key,by.wickets,method,result,eliminator
Barbados Tridents,29.0,cpl00138,,,,
Guyana Amazon Warriors,,cpl00139,9.0,,,
Barbados Tridents,16.0,cpl00140,,,,
St Kitts and Nevis Patriots,,cpl00141,10.0,,,
St Kitts and Nevis Patriots,38.0,cpl00142,,,,
Guyana Amazon Warriors,,cpl00143,5.0,,,
Trinbago Knight Riders,,cpl00144,6.0,,,
Trinbago Knight Riders,,cpl00145,3.0,,,
Trinbago Knight Riders,100.0,cpl00146,,,,
Guyana Amazon Warriors,,cpl00147,6.0,,,
Jamaica Tallawahs,,cpl00148,4.0,,,
Guyana Amazon Warriors,3.0,cpl00149,,,,
St Kitts and Nevis Patriots,42.0,cpl00150,,,,
Barbados Tridents,30.0,cpl00151,,,,
Jamaica Tallawahs,,cpl00152,6.0,,,
Jamaica Tallawahs,47.0,cpl00153,,,,
Trinbago Knight Riders,,cpl00154,5.0,,,
St Lucia Stars,38.0,cpl00155,,,,
Guyana Amazon Warriors,71.0,cpl00156,,,,
Trinbago Knight Riders,,cpl00157,4.0,,,
St Kitts and Nevis Patriots,,cpl00158,7.0,,,
Barbados Tridents,2.0,cpl00159,,,,
St Lucia Stars,,cpl00160,6.0,,,
Jamaica Tallawahs,21.0,cpl00161,,,,
St Kitts and Nevis Patriots,,cpl00162,6.0,,,
Trinbago Knight Riders,,cpl00163,4.0,,,
Guyana Amazon Warriors,,cpl00164,4.0,,,
Jamaica Tallawahs,,cpl00165,5.0,,,
Guyana Amazon Warriors,,cpl00166,8.0,,,
Trinbago Knight Riders,46.0,cpl00167,,,,
St Lucia Stars,,cpl00168,6.0,,,
St Kitts and Nevis Patriots,,cpl00169,7.0,D/L,,
St Kitts and Nevis Patriots,,cpl00170,2.0,,,
Trinbago Knight Riders,67.0,cpl00171,,,,
Trinbago Knight Riders,9.0,cpl00172,,,,
Jamaica Tallawahs,,cpl00173,8.0,,,
Guyana Amazon Warriors,,cpl00174,6.0,,,
Guyana Amazon Warriors,,cpl00175,2.0,,,
St Kitts and Nevis Patriots,,cpl00176,2.0,,,
Trinbago Knight Riders,20.0,cpl00177,,,,
Trinbago Knight Riders,,cpl00178,8.0,,,
Trinbago Knight Riders,11.0,cpl00179,,,,
Guyana Amazon Warriors,13.0,cpl00180,,,,
Trinbago Knight Riders,22.0,cpl00181,,,,
Guyana Amazon Warriors,,cpl00182,8.0,,,
Trinbago Knight Riders,,cpl00183,7.0,,,
Guyana Amazon Warriors,47.0,cpl00184,,,,
St Kitts and Nevis Patriots,,cpl00185,4.0,,,
Barbados Tridents,18.0,cpl00186,,,,
St Lucia Zouks,,cpl00187,5.0,,,
Trinbago Knight Riders,41.0,cpl00188,,,,
Guyana Amazon Warriors,,cpl00189,7.0,,,
Jamaica Tallawahs,,cpl00190,4.0,,,
St Kitts and Nevis Patriots,,cpl00191,6.0,,,
,,cpl00192,,,tie,St Kitts and Nevis Patriots
Guyana Amazon Warriors,81.0,cpl00193,,,,
St Kitts and Nevis Patriots,20.0,cpl00194,,,,
Barbados Tridents,71.0,cpl00195,,,,
,,cpl00196,,,no result,
Guyana Amazon Warriors,12.0,cpl00197,,D/L,,
Jamaica Tallawahs,5.0,cpl00198,,,,
St Lucia Zouks,20.0,cpl00199,,,,
Guyana Amazon Warriors,,cpl00200,8.0,,,
Barbados Tridents,63.0,cpl00201,,,,
St Lucia Zouks,,cpl00202,4.0,,,
St Kitts and Nevis Patriots,1.0,cpl00203,,,,
Barbados Tridents,24.0,cpl00204,,,,
Guyana Amazon Warriors,19.0,cpl00205,,,,
Barbados Tridents,,cpl00206,7.0,,,
Guyana Amazon Warriors,77.0,cpl00207,,,,
Guyana Amazon Warriors,,cpl00208,7.0,,,
Guyana Amazon Warriors,30.0,cpl00209,,,,
Trinbago Knight Riders,,cpl00210,6.0,,,
Barbados Tridents,12.0,cpl00211,,,,
Barbados Tridents,27.0,cpl00212,,,,
Trinbago Knight Riders,,cpl00213,4.0,,,
Barbados Tridents,6.0,cpl00214,,,,
Jamaica Tallawahs,,cpl00215,5.0,,,
