key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,1,Paktia Panthers,9.7,CS Delport,Zahir Shehzad,Sikandar Raza,1,0,0,1,,,,,,9,6
apl0001,1,Paktia Panthers,10.1,CS Delport,Rashid Khan,Sikandar Raza,0,0,0,0,,,,,,10,1
apl0001,1,Paktia Panthers,10.2,CS Delport,Rashid Khan,Sikandar Raza,1,0,0,1,,,,,,10,2
apl0001,1,Paktia Panthers,10.3,Sikandar Raza,Rashid Khan,CS Delport,1,0,0,1,,,,,,10,3
apl0001,1,Paktia Panthers,10.4,CS Delport,Rashid Khan,Sikandar Raza,1,0,0,1,,,,,,10,4
apl0001,1,Paktia Panthers,10.5,Sikandar Raza,Rashid Khan,CS Delport,0,0,0,0,,,,,,10,5
apl0001,1,Paktia Panthers,10.6,Sikandar Raza,Rashid Khan,CS Delport,1,0,0,1,,,,,,10,6
apl0001,1,Paktia Panthers,11.1,Sikandar Raza,Muslim Musa,CS Delport,4,0,0,4,,,,,,11,1
apl0001,1,Paktia Panthers,11.2,Sikandar Raza,Muslim Musa,CS Delport,6,0,0,6,,,,,,11,2
apl0001,1,Paktia Panthers,11.3,Sikandar Raza,Muslim Musa,CS Delport,2,0,0,2,,,,,,11,3
apl0001,1,Paktia Panthers,11.4,Sikandar Raza,Muslim Musa,CS Delport,1,0,0,1,,,,,,11,4
apl0001,1,Paktia Panthers,11.5,CS Delport,Muslim Musa,Sikandar Raza,0,1,0,1,,,,wides,1.0,11,5
apl0001,1,Paktia Panthers,11.6,CS Delport,Muslim Musa,Sikandar Raza,4,0,0,4,,,,,,11,5
apl0001,1,Paktia Panthers,11.7,CS Delport,Muslim Musa,Sikandar Raza,1,0,0,1,,,,,,11,6
apl0001,1,Paktia Panthers,12.1,CS Delport,Ali Khan,Sikandar Raza,1,0,0,1,,,,,,12,1
apl0001,1,Paktia Panthers,12.2,Sikandar Raza,Ali Khan,CS Delport,0,0,0,0,,,,,,12,2
apl0001,1,Paktia Panthers,12.3,Sikandar Raza,Ali Khan,CS Delport,1,0,0,1,,,,,,12,3
apl0001,1,Paktia Panthers,12.4,CS Delport,Ali Khan,Sikandar Raza,1,0,0,1,,,,,,12,4
apl0001,1,Paktia Panthers,12.5,Sikandar Raza,Ali Khan,CS Delport,0,0,0,0,,,,,,12,5
apl0001,1,Paktia Panthers,12.6,Sikandar Raza,Ali Khan,CS Delport,1,0,0,1,,,,,,12,6
apl0001,1,Paktia Panthers,13.1,Sikandar Raza,Zahir Shehzad,CS Delport,1,0,0,1,,,,,,13,1
apl0001,1,Paktia Panthers,13.2,CS Delport,Zahir Shehzad,Sikandar Raza,6,0,0,6,,,,,,13,2
apl0001,1,Paktia Panthers,13.3,CS Delport,Zahir Shehzad,Sikandar Raza,0,0,0,0,,,,,,13,3
apl0001,1,Paktia Panthers,13.4,CS Delport,Zahir Shehzad,Sikandar Raza,1,0,0,1,,,,,,13,4
apl0001,1,Paktia Panthers,13.5,Sikandar Raza,Zahir Shehzad,CS Delport,0,0,0,0,,,,,,13,5
apl0001,1,Paktia Panthers,13.6,Sikandar Raza,Zahir Shehzad,CS Delport,1,0,0,1,,,,,,13,6
apl0001,1,Paktia Panthers,14.1,Sikandar Raza,Rashid Khan,CS Delport,6,0,0,6,,,,,,14,1
apl0001,1,Paktia Panthers,14.2,Sikandar Raza,Rashid Khan,CS Delport,1,0,0,1,,,,,,14,2
apl0001,1,Paktia Panthers,14.3,CS Delport,Rashid Khan,Sikandar Raza,1,0,0,1,,,,,,14,3
apl0001,1,Paktia Panthers,14.4,Sikandar Raza,Rashid Khan,CS Delport,2,0,0,2,,,,,,14,4
apl0001,1,Paktia Panthers,14.5,Sikandar Raza,Rashid Khan,CS Delport,0,0,0,0,,,,,,14,5
apl0001,1,Paktia Panthers,14.6,Sikandar Raza,Rashid Khan,CS Delport,0,4,0,4,,,,byes,4.0,14,6
apl0001,1,Paktia Panthers,15.1,CS Delport,Fareed Ahmad,Sikandar Raza,1,0,0,1,,,,,,15,1
apl0001,1,Paktia Panthers,15.2,Sikandar Raza,Fareed Ahmad,CS Delport,4,0,0,4,,,,,,15,2
apl0001,1,Paktia Panthers,15.3,Sikandar Raza,Fareed Ahmad,CS Delport,6,0,0,6,,,,,,15,3
apl0001,1,Paktia Panthers,15.4,Sikandar Raza,Fareed Ahmad,CS Delport,1,0,0,1,,,,,,15,4
apl0001,1,Paktia Panthers,15.5,CS Delport,Fareed Ahmad,Sikandar Raza,0,0,0,0,,bowled,CS Delport,,,15,5
