key,team
cpl0149,St Lucia Stars
cpl0150,Barbados Tridents
cpl0150,Guyana Amazon Warriors
cpl0151,St Lucia Stars
cpl0151,Jamaica Tallawahs
cpl0152,Jamaica Tallawahs
cpl0152,St Kitts and Nevis Patriots
cpl0153,St Lucia Stars
cpl0153,Trinbago Knight Riders
cpl0154,St Lucia Stars
cpl0154,Barbados Tridents
cpl0155,Guyana Amazon Warriors
cpl0155,Jamaica Tallawahs
cpl0156,Jamaica Tallawahs
cpl0156,Trinbago Knight Riders
cpl0157,St Lucia Stars
cpl0157,St Kitts and Nevis Patriots
cpl0158,Barbados Tridents
cpl0158,Jamaica Tallawahs
cpl0159,Guyana Amazon Warriors
cpl0159,St Lucia Stars
cpl0160,Jamaica Tallawahs
cpl0160,St Lucia Stars
cpl0161,Barbados Tridents
cpl0161,St Kitts and Nevis Patriots
cpl0162,Barbados Tridents
cpl0162,Trinbago Knight Riders
cpl0163,St Kitts and Nevis Patriots
cpl0163,Guyana Amazon Warriors
cpl0164,Barbados Tridents
cpl0164,Jamaica Tallawahs
cpl0165,Barbados Tridents
cpl0165,Guyana Amazon Warriors
cpl0166,Trinbago Knight Riders
cpl0166,St Kitts and Nevis Patriots
cpl0167,Jamaica Tallawahs
cpl0167,St Kitts and Nevis Patriots
cpl0168,Barbados Tridents
cpl0168,St Lucia Stars
cpl0169,Barbados Tridents
cpl0169,St Kitts and Nevis Patriots
cpl0170,Trinbago Knight Riders
cpl0170,Guyana Amazon Warriors
cpl0171,Trinbago Knight Riders
cpl0171,Barbados Tridents
cpl0172,Guyana Amazon Warriors
cpl0172,Jamaica Tallawahs
cpl0173,Trinbago Knight Riders
cpl0173,Guyana Amazon Warriors
cpl0174,Trinbago Knight Riders
cpl0174,Guyana Amazon Warriors
cpl0175,Jamaica Tallawahs
cpl0175,St Kitts and Nevis Patriots
cpl0176,Trinbago Knight Riders
cpl0176,St Kitts and Nevis Patriots
cpl0177,Guyana Amazon Warriors
cpl0177,Trinbago Knight Riders
cpl0178,Trinbago Knight Riders
cpl0178,St Kitts and Nevis Patriots
cpl0179,Guyana Amazon Warriors
cpl0179,St Lucia Zouks
cpl0180,Trinbago Knight Riders
cpl0180,Jamaica Tallawahs
cpl0181,St Kitts and Nevis Patriots
