key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
cpl0189,St Kitts,Caribbean Premier League,2019-09-15,male,T20,,20,Akeem Jordan,"Warner Park, Basseterre"
cpl0190,Jamaica,Caribbean Premier League,2019-09-15,male,T20,,20,CAK Walton,"Sabina Park, Kingston"
cpl0191,St Kitts,Caribbean Premier League,2019-09-17,male,T20,,20,CR Brathwaite,"Warner Park, Basseterre"
cpl0192,Jamaica,Caribbean Premier League,2019-09-18,male,T20,,20,Imran Tahir,"Sabina Park, Kingston"
cpl0193,Jamaica,Caribbean Premier League,2019-09-19,male,T20,,20,FA Allen,"Sabina Park, Kingston"
cpl0194,St Lucia,Caribbean Premier League,2019-09-20,male,T20,,20,JL Carter,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0195,St Lucia,Caribbean Premier League,2019-09-21,male,T20,,20,,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0196,Barbados,Caribbean Premier League,2019-09-22,male,T20,,20,CJ Green,"Kensington Oval, Bridgetown"
cpl0197,Barbados,Caribbean Premier League,2019-09-23,male,T20,,20,SK Springer,"Kensington Oval, Bridgetown"
cpl0198,St Lucia,Caribbean Premier League,2019-09-24,male,T20,,20,GC Viljoen,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0199,St Lucia,Caribbean Premier League,2019-09-25,male,T20,,20,BA King,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0200,Barbados,Caribbean Premier League,2019-09-26,male,T20,,20,JP Duminy,"Kensington Oval, Bridgetown"
cpl0201,St Lucia,Caribbean Premier League,2019-09-27,male,T20,,20,KOK Williams,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0202,Barbados,Caribbean Premier League,2019-09-28,male,T20,,20,CR Brathwaite,"Kensington Oval, Bridgetown"
cpl0203,Barbados,Caribbean Premier League,2019-09-29,male,T20,,20,HR Walsh,"Kensington Oval, Bridgetown"
cpl0204,Trinidad,Caribbean Premier League,2019-09-30,male,T20,,20,R Shepherd,"Queen's Park Oval, Port of Spain"
cpl0205,Trinidad,Caribbean Premier League,2019-10-02,male,T20,,20,HF Gurney,"Queen's Park Oval, Port of Spain"
cpl0206,Guyana,Caribbean Premier League,2019-10-03,male,T20,,20,Shoaib Malik,Providence Stadium
cpl0207,Guyana,Caribbean Premier League,2019-10-04,male,T20,,20,N Pooran,Providence Stadium
cpl0208,Guyana,Caribbean Premier League,2019-10-06,male,T20,,20,SP Narine,Providence Stadium
cpl0209,Guyana,Caribbean Premier League,2019-10-06,male,T20,,20,BA King,Providence Stadium
cpl0210,Trinidad,Caribbean Premier League,2019-10-10,male,T20,,20,AR Nurse,"Brian Lara Stadium, Tarouba"
cpl0211,Trinidad,Caribbean Premier League,2019-10-12,male,T20,,20,JL Carter,"Brian Lara Stadium, Tarouba"
cpl0212,Trinidad,Caribbean Premier League,2020-08-18,male,T20,,20,MJ Santner,"Brian Lara Stadium, Tarouba"
cpl0213,Trinidad,Caribbean Premier League,2020-08-18,male,T20,,20,SP Narine,"Brian Lara Stadium, Tarouba"
cpl0214,Trinidad,Caribbean Premier League,2020-08-19,male,T20,,20,KMA Paul,"Brian Lara Stadium, Tarouba"
cpl0215,Trinidad,Caribbean Premier League,2020-08-19,male,T20,,20,Asif Ali,"Brian Lara Stadium, Tarouba"
cpl0216,Trinidad,Caribbean Premier League,2020-08-20,male,T20,,20,SP Narine,"Brian Lara Stadium, Tarouba"
cpl0217,Trinidad,Caribbean Premier League,2020-08-20,male,T20,,20,Mohammad Nabi,"Brian Lara Stadium, Tarouba"
cpl0218,Trinidad,Caribbean Premier League,2020-08-22,male,T20,,20,Naveen-ul-Haq,"Brian Lara Stadium, Tarouba"
cpl0219,Trinidad,Caribbean Premier League,2020-08-22,male,T20,,20,Mohammad Nabi,"Brian Lara Stadium, Tarouba"
cpl0220,Trinidad,Caribbean Premier League,2020-08-23,male,T20,,20,RL Chase,"Brian Lara Stadium, Tarouba"
cpl0221,Trinidad,Caribbean Premier League,2020-08-23,male,T20,,20,C Munro,"Brian Lara Stadium, Tarouba"
cpl0222,Trinidad,Caribbean Premier League,2020-08-25,male,T20,,20,Mujeeb Ur Rahman,"Queen's Park Oval, Port of Spain"
cpl0223,Trinidad,Caribbean Premier League,2020-08-25,male,T20,,20,E Lewis,"Queen's Park Oval, Port of Spain"
cpl0224,Trinidad,Caribbean Premier League,2020-08-26,male,T20,,20,KR Mayers,"Queen's Park Oval, Port of Spain"
cpl0225,Trinidad,Caribbean Premier League,2020-08-26,male,T20,,20,DJ Bravo,"Queen's Park Oval, Port of Spain"
cpl0226,Trinidad,Caribbean Premier League,2020-08-27,male,T20,,20,K Pierre,"Queen's Park Oval, Port of Spain"
