key,toss_winner,toss_decision,decision,winner
cpl0195,,,field,Trinbago Knight Riders
cpl0196,,,field,Guyana Amazon Warriors
cpl0197,,,field,Barbados Tridents
cpl0198,,,field,St Kitts and Nevis Patriots
cpl0199,,,bat,St Lucia Zouks
cpl0200,,,bat,Barbados Tridents
cpl0201,,,field,St Lucia Zouks
cpl0202,,,bat,St Kitts and Nevis Patriots
cpl0203,,,bat,Barbados Tridents
cpl0204,,,field,Trinbago Knight Riders
cpl0205,,,bat,Trinbago Knight Riders
cpl0206,,,bat,Guyana Amazon Warriors
cpl0207,,,field,Guyana Amazon Warriors
cpl0208,,,field,Trinbago Knight Riders
cpl0209,,,bat,Guyana Amazon Warriors
cpl0210,,,field,Trinbago Knight Riders
cpl0211,,,bat,Barbados Tridents
cpl0212,,,field,St Kitts and Nevis Patriots
cpl0213,,,field,Trinbago Knight Riders
cpl0214,,,field,Guyana Amazon Warriors
cpl0215,,,field,Jamaica Tallawahs
cpl0216,,,field,Trinbago Knight Riders
cpl0217,,,bat,Barbados Tridents
cpl0218,,,field,Jamaica Tallawahs
cpl0219,,,field,St Kitts and Nevis Patriots
cpl0220,,,bat,St Lucia Zouks
cpl0221,,,field,Barbados Tridents
cpl0222,,,field,Jamaica Tallawahs
cpl0223,,,field,St Kitts and Nevis Patriots
cpl0224,,,field,Jamaica Tallawahs
cpl0225,,,field,Trinbago Knight Riders
cpl0226,,,field,Trinbago Knight Riders
cpl0227,,,field,St Lucia Zouks
cpl0228,,,bat,Jamaica Tallawahs
cpl0229,,,field,Trinbago Knight Riders
cpl0230,,,field,Guyana Amazon Warriors
cpl0231,,,field,Barbados Tridents
cpl0232,,,bat,Barbados Tridents
cpl0233,,,field,Jamaica Tallawahs
cpl0234,,,field,Guyana Amazon Warriors
cpl0235,,,field,St Kitts and Nevis Patriots
cpl0236,,,field,Guyana Amazon Warriors
cpl0237,,,field,Jamaica Tallawahs
cpl0238,,,bat,Jamaica Tallawahs
cpl0239,,,field,St Lucia Zouks
cpl0240,,,bat,St Lucia Zouks
cpl0241,,,bat,St Kitts and Nevis Patriots
cpl0242,,,field,St Lucia Zouks
cpl0243,,,field,Trinbago Knight Riders
cpl0244,,,field,Trinbago Knight Riders
cpl0245,,,field,Barbados Royals
cpl0246,,,field,Trinbago Knight Riders
cpl0247,,,bat,Barbados Royals
cpl0248,,,field,St Lucia Kings
cpl0249,,,bat,Barbados Royals
cpl0250,,,bat,Guyana Amazon Warriors
cpl0251,,,bat,Guyana Amazon Warriors
cpl0252,,,field,Trinbago Knight Riders
cpl0253,,,bat,Barbados Royals
cpl0254,,,field,St Lucia Kings
cpl0255,,,field,St Kitts and Nevis Patriots
cpl0256,,,field,Guyana Amazon Warriors
cpl0257,,,field,St Kitts and Nevis Patriots
cpl0258,,,field,Guyana Amazon Warriors
cpl0259,,,bat,Barbados Royals
cpl0260,,,field,St Kitts and Nevis Patriots
cpl0261,,,field,Trinbago Knight Riders
cpl0262,,,bat,St Kitts and Nevis Patriots
cpl0263,,,field,Guyana Amazon Warriors
cpl0264,,,field,Jamaica Tallawahs
cpl0265,,,bat,Guyana Amazon Warriors
cpl0266,,,field,St Kitts and Nevis Patriots
cpl0267,,,bat,Jamaica Tallawahs
cpl0268,,,field,Trinbago Knight Riders
cpl0269,,,field,St Kitts and Nevis Patriots
cpl0270,,,bat,Guyana Amazon Warriors
cpl0271,,,field,Barbados Royals
cpl0272,,,field,Trinbago Knight Riders
cpl0273,,,bat,Guyana Amazon Warriors
cpl0274,,,field,Barbados Royals
cpl0275,,,field,St Kitts and Nevis Patriots
cpl0276,,,bat,St Lucia Kings
cpl0277,,,bat,St Lucia Kings
cpl0278,,,bat,St Lucia Kings
cpl0279,,,field,St Kitts and Nevis Patriots
cpl0280,,,field,Trinbago Knight Riders
cpl0281,,,field,Trinbago Knight Riders
cpl0282,,,field,Jamaica Tallawahs
cpl0283,,,field,St Lucia Kings
cpl0284,,,field,St Lucia Kings
cpl0285,,,field,Trinbago Knight Riders
cpl0286,,,field,Barbados Royals
cpl0287,,,bat,Guyana Amazon Warriors
cpl0288,,,field,Guyana Amazon Warriors
cpl0289,,,field,Trinbago Knight Riders
cpl0290,,,field,St Kitts and Nevis Patriots
cpl0291,,,field,Barbados Royals
cpl0292,,,field,Barbados Royals
cpl0293,,,field,Guyana Amazon Warriors
cpl0294,,,field,St Kitts and Nevis Patriots
cpl0295,,,field,Jamaica Tallawahs
cpl0296,,,bat,Jamaica Tallawahs
cpl0297,,,field,St Kitts and Nevis Patriots
cpl0298,,,field,Trinbago Knight Riders
cpl0299,,,field,Guyana Amazon Warriors
cpl0300,,,field,St Kitts and Nevis Patriots
cpl0301,,,field,St Kitts and Nevis Patriots
cpl0302,,,bat,St Lucia Kings
cpl0303,,,bat,St Kitts and Nevis Patriots
cpl0304,,,field,Trinbago Knight Riders
cpl0305,,,field,Guyana Amazon Warriors
cpl0306,,,field,Guyana Amazon Warriors
cpl0307,,,field,Guyana Amazon Warriors
cpl0308,,,field,Guyana Amazon Warriors
cpl0309,,,bat,Barbados Royals
cpl0310,,,field,St Lucia Kings
cpl0311,,,bat,St Lucia Kings
cpl0312,,,field,St Lucia Kings
cpl0313,,,field,St Kitts and Nevis Patriots
cpl0314,,,field,Jamaica Tallawahs
cpl0315,,,field,St Kitts and Nevis Patriots
cpl0316,,,field,Barbados Royals
cpl0317,,,field,Trinbago Knight Riders
cpl0318,,,field,Trinbago Knight Riders
cpl0319,,,field,Jamaica Tallawahs
cpl0320,,,field,Barbados Royals
cpl0321,,,field,Barbados Royals
cpl0322,,,field,Barbados Royals
cpl0323,,,field,St Kitts and Nevis Patriots
cpl0324,,,bat,St Kitts and Nevis Patriots
cpl0325,,,field,Jamaica Tallawahs
cpl0326,,,field,Guyana Amazon Warriors
cpl0327,,,field,Barbados Royals
cpl0328,,,field,Trinbago Knight Riders
cpl0329,,,field,St Kitts and Nevis Patriots
cpl0330,,,field,Trinbago Knight Riders
cpl0331,,,bat,Guyana Amazon Warriors
cpl0332,,,field,Guyana Amazon Warriors
cpl0333,,,bat,Guyana Amazon Warriors
cpl0334,,,field,Guyana Amazon Warriors
cpl0335,,,bat,Jamaica Tallawahs
cpl0336,,,field,Barbados Royals
cpl0337,,,field,St Lucia Kings
cpl0338,,,field,Jamaica Tallawahs
cpl0339,,,field,Trinbago Knight Riders
cpl0340,,,field,Jamaica Tallawahs
cpl0341,,,field,Guyana Amazon Warriors
cpl0342,,,field,St Kitts and Nevis Patriots
cpl0343,,,field,Guyana Amazon Warriors
cpl0344,,,field,St Kitts and Nevis Patriots
cpl0345,,,field,St Lucia Kings
cpl0346,,,field,Barbados Royals
cpl0347,,,field,St Lucia Kings
cpl0348,,,bat,Guyana Amazon Warriors
cpl0349,,,field,Trinbago Knight Riders
cpl0350,,,field,Barbados Royals
cpl0351,,,field,Guyana Amazon Warriors
cpl0352,,,field,Antigua and Barbuda Falcons
cpl0353,,,field,Jamaica Tallawahs
cpl0354,,,field,Trinbago Knight Riders
cpl0355,,,field,Trinbago Knight Riders
cpl0356,,,field,Guyana Amazon Warriors
cpl0357,,,field,Barbados Tridents
cpl0358,,,field,Trinbago Knight Riders
cpl0359,,,field,St Kitts and Nevis Patriots
cpl0360,,,field,Jamaica Tallawahs
cpl0361,,,field,St Lucia Zouks
cpl0362,,,field,Trinbago Knight Riders
cpl0363,,,field,St Kitts and Nevis Patriots
cpl0364,,,field,Barbados Tridents
cpl0365,,,field,Guyana Amazon Warriors
cpl0366,,,field,Trinbago Knight Riders
cpl0367,,,field,St Lucia Zouks
cpl0368,,,field,St Kitts and Nevis Patriots
