key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
cpl0215,,wickets,5.0,,,,,Jamaica Tallawahs
cpl0216,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0217,,wickets,7.0,,,,,St Lucia Zouks
cpl0218,,runs,14.0,,,,,Guyana Amazon Warriors
cpl0219,,runs,10.0,,,,,St Lucia Zouks
cpl0220,,runs,10.0,,,,,St Lucia Zouks
cpl0221,,runs,19.0,,,,,Trinbago Knight Riders
cpl0222,,wickets,5.0,,,,,Jamaica Tallawahs
cpl0223,,wickets,6.0,,,,,St Kitts and Nevis Patriots
cpl0224,,runs,36.0,,,,,Barbados Tridents
cpl0225,,wickets,6.0,,,,,Trinbago Knight Riders
cpl0226,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0227,,wickets,6.0,,,,,St Lucia Zouks
cpl0228,,runs,37.0,,,,,Jamaica Tallawahs
cpl0229,,wickets,2.0,,,,,Trinbago Knight Riders
cpl0230,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0231,,runs,3.0,,,,,St Lucia Zouks
cpl0232,,wickets,8.0,,,,,Guyana Amazon Warriors
cpl0233,,runs,19.0,,,,,Trinbago Knight Riders
cpl0234,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0235,,runs,59.0,,,,,Trinbago Knight Riders
cpl0236,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0237,,,,,,,no result,
cpl0238,,wickets,7.0,,,,,Barbados Tridents
cpl0239,,runs,23.0,,,,,Trinbago Knight Riders
cpl0240,,runs,11.0,,,,,St Lucia Zouks
cpl0241,,wickets,9.0,,,,,Trinbago Knight Riders
cpl0242,,wickets,10.0,,,,,St Lucia Zouks
cpl0243,,wickets,9.0,,,,,Trinbago Knight Riders
cpl0244,,wickets,8.0,,,,,Trinbago Knight Riders
cpl0245,,runs,21.0,,,,,St Kitts and Nevis Patriots
cpl0246,,runs,9.0,,,,,Guyana Amazon Warriors
cpl0247,,wickets,6.0,,,,,Trinbago Knight Riders
cpl0248,,runs,120.0,,,,,Jamaica Tallawahs
cpl0249,,runs,15.0,,,,,Barbados Royals
cpl0250,,wickets,8.0,,,,,St Kitts and Nevis Patriots
cpl0251,,wickets,6.0,,,,,St Kitts and Nevis Patriots
cpl0252,,runs,5.0,,,,,St Lucia Kings
cpl0253,,wickets,6.0,,,,,Jamaica Tallawahs
cpl0254,,runs,27.0,,,,,Trinbago Knight Riders
cpl0255,,wickets,6.0,,,,,St Kitts and Nevis Patriots
cpl0256,,,,,Guyana Amazon Warriors,,tie,
cpl0257,,wickets,2.0,,,,,St Kitts and Nevis Patriots
cpl0258,,runs,51.0,,,,,St Lucia Kings
cpl0259,,wickets,9.0,,,,,Guyana Amazon Warriors
cpl0260,,runs,100.0,,,,,St Lucia Kings
cpl0261,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0262,,wickets,6.0,,,,,St Lucia Kings
cpl0263,,runs,45.0,,,,,Barbados Royals
cpl0264,,runs,75.0,,,,,Trinbago Knight Riders
cpl0265,,runs,17.0,,,,,Guyana Amazon Warriors
cpl0266,,runs,22.0,,,,,Jamaica Tallawahs
cpl0267,,runs,55.0,,,,,Jamaica Tallawahs
cpl0268,,wickets,6.0,,,,,Trinbago Knight Riders
cpl0269,,wickets,8.0,,,,,St Kitts and Nevis Patriots
cpl0270,,runs,46.0,,,,,Guyana Amazon Warriors
cpl0271,,runs,14.0,,,D/L,,St Lucia Kings
cpl0272,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0273,,runs,14.0,,,,,Guyana Amazon Warriors
cpl0274,,wickets,8.0,,,,,Barbados Royals
cpl0275,,wickets,7.0,,,,,St Kitts and Nevis Patriots
cpl0276,,runs,21.0,,,,,St Lucia Kings
cpl0277,,wickets,3.0,,,,,St Kitts and Nevis Patriots
cpl0278,,wickets,3.0,,,,,St Kitts and Nevis Patriots
cpl0279,,runs,47.0,,,,,Jamaica Tallawahs
cpl0280,,wickets,3.0,,,,,Trinbago Knight Riders
cpl0281,,wickets,3.0,,,,,Trinbago Knight Riders
cpl0282,,wickets,4.0,,,,,Jamaica Tallawahs
cpl0283,,runs,11.0,,,D/L,,Barbados Royals
cpl0284,,wickets,2.0,,,,,St Lucia Kings
cpl0285,,runs,80.0,,,D/L,,Barbados Royals
cpl0286,,wickets,6.0,,,,,Barbados Royals
cpl0287,,wickets,4.0,,,,,St Kitts and Nevis Patriots
cpl0288,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0289,,runs,34.0,,,,,Jamaica Tallawahs
cpl0290,,runs,61.0,,,,,St Lucia Kings
cpl0291,,wickets,8.0,,,,,Barbados Royals
cpl0292,,wickets,8.0,,,,,Barbados Royals
cpl0293,,runs,26.0,,,,,Trinbago Knight Riders
cpl0294,,wickets,8.0,,,D/L,,St Kitts and Nevis Patriots
cpl0295,,runs,6.0,,,D/L,,Jamaica Tallawahs
cpl0296,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0297,,runs,49.0,,,,,St Lucia Kings
cpl0298,,runs,1.0,,,,,St Lucia Kings
cpl0299,,runs,29.0,,,D/L,,Barbados Royals
cpl0300,,runs,36.0,,,,,Barbados Royals
cpl0301,,runs,36.0,,,,,Barbados Royals
cpl0302,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0303,,runs,7.0,,,,,St Kitts and Nevis Patriots
cpl0304,,runs,37.0,,,,,Guyana Amazon Warriors
cpl0305,,wickets,5.0,,,,,Guyana Amazon Warriors
cpl0306,,runs,87.0,,,,,Barbados Royals
cpl0307,,runs,87.0,,,,,Barbados Royals
cpl0308,,runs,37.0,,,,,Jamaica Tallawahs
cpl0309,,wickets,8.0,,,,,Jamaica Tallawahs
cpl0310,,runs,11.0,,,,,Jamaica Tallawahs
cpl0311,,runs,54.0,,,,,St Lucia Kings
cpl0312,,,,,,,no result,
cpl0313,,,,,,,no result,
cpl0314,,wickets,8.0,,,,,Jamaica Tallawahs
cpl0315,,runs,65.0,,,,,Guyana Amazon Warriors
cpl0316,,wickets,6.0,,,,,Barbados Royals
cpl0317,,runs,54.0,,,,,St Lucia Kings
cpl0318,,wickets,6.0,,,,,Trinbago Knight Riders
