key,team
t20s0264,Sri Lanka
t20s0264,South Africa
t20s0265,England
t20s0265,India
t20s0266,New Zealand
t20s0266,Pakistan
t20s0267,Ireland
t20s0267,West Indies
t20s0268,Bangladesh
t20s0268,Pakistan
t20s0269,New Zealand
t20s0269,West Indies
t20s0270,Sri Lanka
t20s0270,South Africa
t20s0271,Australia
t20s0271,India
t20s0272,England
t20s0272,Pakistan
t20s0273,England
t20s0273,West Indies
t20s0274,Sri Lanka
t20s0274,New Zealand
t20s0275,Sri Lanka
t20s0275,West Indies
t20s0276,New Zealand
t20s0276,South Africa
t20s0277,Australia
t20s0277,India
t20s0278,Pakistan
t20s0278,South Africa
t20s0279,England
t20s0279,India
t20s0280,Australia
t20s0280,Pakistan
t20s0281,Sri Lanka
t20s0281,West Indies
t20s0282,England
t20s0282,New Zealand
t20s0283,Sri Lanka
t20s0283,New Zealand
t20s0284,South Africa
t20s0284,West Indies
t20s0285,India
t20s0285,Pakistan
t20s0286,Australia
t20s0286,South Africa
t20s0287,Australia
t20s0287,England
t20s0288,India
t20s0288,Pakistan
t20s0289,Sri Lanka
t20s0289,England
t20s0290,New Zealand
t20s0290,West Indies
t20s0291,India
t20s0291,South Africa
t20s0292,Australia
t20s0292,Pakistan
t20s0293,Sri Lanka
t20s0293,India
t20s0294,England
t20s0294,New Zealand
t20s0295,Sri Lanka
t20s0295,Pakistan
t20s0296,Australia
t20s0296,West Indies
t20s0297,Australia
t20s0297,West Indies
t20s0298,Australia
t20s0298,England
t20s0299,Sri Lanka
t20s0299,West Indies
t20s0300,India
t20s0300,Pakistan
t20s0301,Bangladesh
t20s0301,Sri Lanka
t20s0302,Bangladesh
t20s0302,Pakistan
t20s0303,Sri Lanka
t20s0303,New Zealand
t20s0304,India
t20s0304,Pakistan
t20s0305,Bangladesh
t20s0305,West Indies
t20s0306,India
t20s0306,England
t20s0307,South Africa
t20s0307,New Zealand
t20s0308,India
t20s0308,England
t20s0309,South Africa
t20s0309,New Zealand
t20s0310,India
t20s0310,Pakistan
t20s0311,South Africa
t20s0311,New Zealand
t20s0312,India
t20s0312,Pakistan
t20s0313,West Indies
t20s0313,South Africa
t20s0314,West Indies
t20s0314,South Africa
t20s0315,Australia
t20s0315,Sri Lanka
t20s0316,Australia
t20s0316,Sri Lanka
t20s0317,New Zealand
t20s0317,England
t20s0318,New Zealand
t20s0318,England
t20s0319,Australia
t20s0319,West Indies
t20s0320,New Zealand
t20s0320,England
t20s0321,West Indies
t20s0321,Zimbabwe
t20s0322,Sri Lanka
t20s0322,West Indies
t20s0323,West Indies
t20s0323,Zimbabwe
t20s0324,Afghanistan
t20s0324,Scotland
t20s0325,South Africa
t20s0325,Pakistan
t20s0326,Afghanistan
t20s0326,Scotland
t20s0327,Sri Lanka
t20s0327,West Indies
t20s0328,Sri Lanka
t20s0328,West Indies
t20s0329,Canada
t20s0329,Kenya
t20s0330,Canada
t20s0330,Kenya
t20s0331,Sri Lanka
t20s0331,Bangladesh
t20s0332,Kenya
t20s0332,Netherlands
t20s0333,Kenya
t20s0333,Netherlands
t20s0334,Zimbabwe
t20s0334,Bangladesh
t20s0335,Zimbabwe
t20s0335,Bangladesh
t20s0336,England
t20s0336,New Zealand
t20s0337,England
t20s0337,New Zealand
t20s0338,England
t20s0338,Pakistan
t20s0339,England
t20s0339,Pakistan
t20s0340,Ireland
t20s0340,Pakistan
t20s0341,West Indies
t20s0341,Pakistan
t20s0342,West Indies
t20s0342,Pakistan
t20s0343,Ireland
t20s0343,Pakistan
t20s0344,Pakistan
t20s0344,Sri Lanka
t20s0345,Sri Lanka
t20s0345,South Africa
t20s0346,Sri Lanka
t20s0346,South Africa
t20s0347,Sri Lanka
t20s0347,South Africa
t20s0348,Zimbabwe
t20s0348,Pakistan
t20s0349,Zimbabwe
t20s0349,Pakistan
t20s0350,England
t20s0350,Australia
t20s0351,England
t20s0351,Australia
t20s0352,England
t20s0352,Australia
t20s0353,England
t20s0353,Australia
t20s0354,England
t20s0354,Australia
t20s0355,South Africa
t20s0355,Bangladesh
t20s0356,South Africa
t20s0356,Bangladesh
t20s0357,Afghanistan
t20s0357,Kenya
t20s0358,India
t20s0358,Australia
t20s0359,Afghanistan
t20s0359,Kenya
t20s0360,South Africa
t20s0360,Sri Lanka
t20s0361,South Africa
t20s0361,Sri Lanka
t20s0362,South Africa
t20s0362,Sri Lanka
t20s0363,Bangladesh
t20s0363,New Zealand
t20s0364,Pakistan
t20s0364,South Africa
t20s0365,Afghanistan
t20s0365,Netherlands
t20s0366,Pakistan
t20s0366,South Africa
t20s0367,Afghanistan
t20s0367,Scotland
t20s0368,Canada
t20s0368,Ireland
t20s0369,Kenya
t20s0369,Scotland
t20s0370,South Africa
t20s0370,Pakistan
t20s0371,Sri Lanka
t20s0371,New Zealand
t20s0372,South Africa
t20s0372,Pakistan
t20s0373,Netherlands
t20s0373,Scotland
t20s0374,Kenya
t20s0374,Netherlands
t20s0375,Afghanistan
t20s0375,Kenya
t20s0376,Canada
t20s0376,Kenya
t20s0377,Netherlands
t20s0377,Scotland
t20s0378,Afghanistan
t20s0378,Ireland
t20s0379,Afghanistan
t20s0379,Pakistan
t20s0380,Pakistan
t20s0380,Sri Lanka
t20s0381,Pakistan
t20s0381,Sri Lanka
t20s0382,New Zealand
t20s0382,West Indies
t20s0383,New Zealand
t20s0383,West Indies
t20s0384,Ireland
t20s0384,Pakistan
t20s0385,Pakistan
t20s0385,South Africa
t20s0386,Ireland
t20s0386,South Africa
t20s0387,Pakistan
t20s0387,South Africa
t20s0388,Australia
t20s0388,England
t20s0389,Australia
t20s0389,England
t20s0390,Australia
t20s0390,England
t20s0391,Australia
t20s0391,England
t20s0392,Australia
t20s0392,England
t20s0393,Bangladesh
t20s0393,Sri Lanka
t20s0394,Bangladesh
t20s0394,Sri Lanka
t20s0395,West Indies
t20s0395,Ireland
t20s0396,West Indies
t20s0396,Ireland
t20s0397,West Indies
t20s0397,England
t20s0398,West Indies
t20s0398,England
t20s0399,South Africa
t20s0399,Australia
t20s0400,West Indies
t20s0400,England
t20s0401,South Africa
t20s0401,Australia
t20s0402,Hong Kong
t20s0402,Nepal
t20s0403,Bangladesh
t20s0403,Afghanistan
t20s0404,Netherlands
t20s0404,United Arab Emirates
t20s0405,Ireland
t20s0405,Zimbabwe
t20s0406,Bangladesh
t20s0406,Nepal
t20s0407,Afghanistan
t20s0407,Hong Kong
t20s0408,Ireland
t20s0408,United Arab Emirates
t20s0409,Netherlands
t20s0409,Zimbabwe
t20s0410,Bangladesh
t20s0410,Hong Kong
t20s0411,Afghanistan
t20s0411,Nepal
t20s0412,India
t20s0412,Pakistan
t20s0413,Ireland
t20s0413,Netherlands
t20s0414,United Arab Emirates
t20s0414,Zimbabwe
t20s0415,England
t20s0415,New Zealand
t20s0416,South Africa
t20s0416,Sri Lanka
t20s0417,Australia
t20s0417,New Zealand
t20s0418,India
t20s0418,West Indies
t20s0419,Australia
t20s0419,Pakistan
t20s0420,India
t20s0420,Sri Lanka
t20s0421,England
t20s0421,West Indies
t20s0422,Netherlands
t20s0422,Sri Lanka
t20s0423,New Zealand
t20s0423,South Africa
t20s0424,Ireland
t20s0424,New Zealand
t20s0425,Bangladesh
t20s0425,West Indies
t20s0426,England
t20s0426,India
t20s0427,Bangladesh
t20s0427,West Indies
t20s0428,New Zealand
t20s0428,Pakistan
t20s0429,England
t20s0429,Sri Lanka
t20s0430,Netherlands
t20s0430,South Africa
t20s0431,Sri Lanka
t20s0431,West Indies
t20s0432,Bangladesh
