key_id,by_type,by_margin,bowl_out,eliminator,method,result,winner
t20s0314,wickets,6.0,,,,,West Indies
t20s0315,wickets,5.0,,,,,Sri Lanka
t20s0316,runs,2.0,,,D/L,,Sri Lanka
t20s0317,runs,40.0,,,,,England
t20s0318,runs,55.0,,,,,New Zealand
t20s0319,runs,27.0,,,,,West Indies
t20s0320,wickets,10.0,,,,,England
t20s0321,wickets,8.0,,,,,West Indies
t20s0322,wickets,6.0,,,,,West Indies
t20s0323,runs,41.0,,,,,West Indies
t20s0324,runs,27.0,,,,,Afghanistan
t20s0325,runs,95.0,,,,,Pakistan
t20s0326,wickets,7.0,,,,,Afghanistan
t20s0327,runs,34.0,,,,,West Indies
t20s0328,runs,7.0,,,,,West Indies
t20s0329,wickets,5.0,,,,,Canada
t20s0330,runs,21.0,,,,,Kenya
t20s0331,runs,17.0,,,,,Sri Lanka
t20s0332,wickets,5.0,,,,,Kenya
t20s0333,wickets,7.0,,,,,Kenya
t20s0334,runs,6.0,,,,,Zimbabwe
t20s0335,runs,34.0,,,,,Bangladesh
t20s0336,runs,5.0,,,,,New Zealand
t20s0337,,,,,,no result,
t20s0338,runs,1.0,,,,,Pakistan
t20s0339,runs,70.0,,,,,England
t20s0340,runs,38.0,,,,,Pakistan
t20s0341,wickets,2.0,,,,,Pakistan
t20s0342,runs,11.0,,,,,Pakistan
t20s0343,wickets,9.0,,,,,Pakistan
t20s0344,,,,,,no result,
t20s0345,runs,12.0,,,,,South Africa
t20s0346,runs,22.0,,,,,South Africa
t20s0347,wickets,6.0,,,,,Sri Lanka
t20s0348,runs,25.0,,,,,Pakistan
t20s0349,runs,19.0,,,,,Pakistan
t20s0350,runs,15.0,,,,,England
t20s0351,wickets,5.0,,,,,England
t20s0352,runs,39.0,,,,,Australia
t20s0353,wickets,7.0,,,,,England
t20s0354,runs,27.0,,,,,England
t20s0355,wickets,9.0,,,,,South Africa
t20s0356,runs,3.0,,,,,South Africa
t20s0357,runs,106.0,,,,,Afghanistan
t20s0358,wickets,6.0,,,,,India
t20s0359,runs,34.0,,,,,Kenya
t20s0360,wickets,7.0,,,,,South Africa
t20s0361,runs,20.0,,,,,Sri Lanka
t20s0362,wickets,5.0,,,,,South Africa
t20s0363,runs,15.0,,,,,New Zealand
t20s0364,wickets,9.0,,,,,South Africa
t20s0365,wickets,7.0,,,,,Netherlands
t20s0366,runs,6.0,,,,,South Africa
t20s0367,runs,17.0,,,,,Afghanistan
t20s0368,runs,2.0,,,,,Ireland
t20s0369,runs,92.0,,,,,Kenya
t20s0370,runs,4.0,,,D/L,,South Africa
t20s0371,wickets,8.0,,,,,Sri Lanka
t20s0372,runs,6.0,,,,,Pakistan
t20s0373,runs,15.0,,,,,Scotland
t20s0374,runs,29.0,,,,,Netherlands
t20s0375,runs,34.0,,,,,Afghanistan
t20s0376,runs,21.0,,,,,Kenya
t20s0377,wickets,8.0,,,,,Netherlands
t20s0378,runs,68.0,,,,,Ireland
