key,player_of_match
t20s0461,ADS Fletcher
t20s0462,ADS Fletcher
t20s0464,EA Osborne
t20s0465,DM Kimmince
t20s0466,CM Edwards
t20s0467,EJ Villani
t20s0468,CM Edwards
t20s0469,MM Lanning
t20s0470,L Winfield
t20s0471,EJG Morgan
t20s0472,GJ Maxwell
t20s0473,HASD Siriwardene
t20s0474,D van Niekerk
t20s0475,D van Niekerk
t20s0476,JL Jonassen
t20s0477,RR Rossouw
t20s0478,SR Taylor
t20s0479,CJ Boyce
t20s0480,CL White
t20s0481,Aizaz Khan
t20s0482,Sarfraz Ahmed
t20s0483,AP Devcich
t20s0484,CH Gayle
t20s0485,CH Gayle
t20s0486,MN van Wyk
t20s0487,Sana Mir
t20s0488,AC Jayangani
t20s0489,Asmavia Iqbal
t20s0490,Asmavia Iqbal
t20s0491,D van Niekerk
t20s0492,Sabbir Rahman
t20s0493,Mukhtar Ahmed
t20s0494,SS Weerakkody
t20s0495,Mukhtar Ahmed
t20s0496,SR Taylor
t20s0497,HK Matthews
t20s0499,JE Root
t20s0502,F du Plessis
t20s0503,E Leie
t20s0504,Sharafuddin Ashraf
t20s0505,HG Munsey
t20s0506,Mohammad Shahzad
t20s0507,AC Evans
t20s0508,Mohammad Shahzad
t20s0509,RE van der Merwe
t20s0510,KJ O'Brien
t20s0511,Haseeb Amjad
t20s0512,N Vanua
t20s0513,AR Patel
t20s0514,Irfan Ahmed
t20s0515,A Vala
t20s0516,CJ Chibhabha
t20s0517,Nawroz Mangal
t20s0518,Nawroz Mangal
t20s0519,Mudassar Bukhari
t20s0520,Najibullah Zadran
t20s0521,RML Taylor
t20s0522,Sohail Tanvir
t20s0523,Anwar Ali
t20s0524,GH Worker
t20s0525,AM Phangiso
t20s0526,MJ Guptill
t20s0530,SJ Taylor
t20s0531,RM Farrell
t20s0532,NR Sciver
t20s0533,MM Ali
t20s0534,Imad Wasim
t20s0535,Umar Akmal
t20s0536,Bismah Maroof
t20s0537,Bismah Maroof
t20s0538,JP Duminy
t20s0539,JA Morkel
t20s0540,Dawlat Zadran
t20s0541,Gulbadin Naib
t20s0542,DJS Dottin
t20s0543,SMSM Senanayake
t20s0544,DJ Bravo
t20s0545,MN Waller
t20s0546,N Madziva
t20s0551,SW Billings
t20s0552,LE Plunkett
t20s0554,Shoaib Malik
t20s0555,Rumana Ahmed
t20s0556,TA Boult
t20s0557,Gulbadin Naib
t20s0558,Mohammad Shahzad
t20s0559,C Munro
t20s0560,H Masakadza
t20s0561,Shahid Afridi
t20s0562,Sabbir Rahman
t20s0563,MJ Guptill
t20s0564,MN Waller
t20s0565,H Masakadza
t20s0566,CJ Anderson
t20s0567,V Kohli
t20s0568,V Kohli
t20s0569,J Goswami
t20s0570,Babar Hayat
t20s0571,KJ Coetzer
t20s0572,SR Watson
t20s0573,EA Perry
t20s0574,Mudassar Bukhari
t20s0575,Amjad Javed
t20s0577,CAK Rajitha
t20s0579,S Dhawan
t20s0580,R Ashwin
t20s0583,SJ Taylor
t20s0586,Imran Tahir
t20s0589,SJ Taylor
t20s0590,AB de Villiers
t20s0591,Muhammad Usman
t20s0592,Mohammad Nabi
t20s0593,RG Sharma
t20s0594,SL Malinga
t20s0595,Mahmudullah
t20s0596,V Kohli
t20s0597,Sabbir Rahman
t20s0598,Shoaib Malik
t20s0599,V Kohli
t20s0600,Soumya Sarkar
t20s0601,RG Sharma
t20s0602,Umar Akmal
t20s0603,S Ismail
t20s0604,DA Miller
t20s0605,S Dhawan
t20s0606,DA Warner
t20s0607,Mohammad Shahzad
t20s0608,V Sibanda
t20s0609,Amir Ali
t20s0610,Tamim Iqbal
t20s0611,L Lee
t20s0612,HM Amla
t20s0613,Mohammad Nabi
t20s0614,WP Masakadza
t20s0616,MW Machan
