key,toss_winner,toss_decision,decision,winner
ntb0307,,,field,Sussex
ntb0308,,,field,Lancashire
ntb0309,,,field,Kent
ntb0310,,,bat,Surrey
ntb0311,,,field,Gloucestershire
ntb0312,,,field,Derbyshire
ntb0313,,,bat,Surrey
ntb0314,,,field,Sussex
ntb0315,,,bat,Kent
ntb0316,,,field,Somerset
ntb0317,,,field,Nottinghamshire
ntb0318,,,field,Lancashire
ntb0319,,,field,Gloucestershire
ntb0320,,,field,Glamorgan
ntb0321,,,bat,Essex
ntb0322,,,field,Leicestershire
ntb0323,,,bat,Yorkshire
ntb0324,,,field,Nottinghamshire
ntb0325,,,field,Derbyshire
ntb0326,,,field,Durham
ntb0327,,,bat,Glamorgan
ntb0328,,,field,Derbyshire
ntb0329,,,field,Glamorgan
ntb0330,,,bat,Yorkshire
ntb0331,,,bat,Surrey
ntb0332,,,field,Durham
ntb0333,,,bat,Somerset
ntb0334,,,field,Lancashire
ntb0335,,,bat,Hampshire
ntb0336,,,field,Worcestershire
ntb0337,,,field,Leicestershire
ntb0338,,,field,Essex
ntb0339,,,field,Warwickshire
ntb0340,,,bat,Yorkshire
ntb0341,,,field,Essex
ntb0342,,,bat,Surrey
ntb0343,,,field,Worcestershire
ntb0344,,,field,Surrey
ntb0345,,,field,Glamorgan
ntb0346,,,field,Nottinghamshire
ntb0347,,,bat,Yorkshire
ntb0348,,,bat,Middlesex
ntb0349,,,field,Durham
ntb0350,,,bat,Essex
ntb0351,,,field,Sussex
ntb0352,,,field,Essex
ntb0353,,,bat,Yorkshire
ntb0354,,,bat,Hampshire
ntb0355,,,bat,Middlesex
ntb0356,,,field,Nottinghamshire
ntb0357,,,bat,Surrey
ntb0358,,,field,Essex
ntb0359,,,field,Derbyshire
ntb0360,,,bat,Lancashire
ntb0361,,,field,Essex
ntb0362,,,bat,Middlesex
ntb0363,,,bat,Durham
ntb0364,,,bat,Yorkshire
ntb0365,,,bat,Durham
ntb0366,,,bat,Durham
ntb0367,,,field,Nottinghamshire
ntb0368,,,field,Derbyshire
ntb0369,,,field,Warwickshire
ntb0370,,,field,Middlesex
ntb0371,,,field,Glamorgan
ntb0372,,,field,Durham
ntb0373,,,field,Essex
ntb0374,,,bat,Yorkshire
ntb0375,,,field,Warwickshire
ntb0376,,,bat,Derbyshire
ntb0377,,,bat,Essex
ntb0378,,,field,Leicestershire
ntb0379,,,field,Somerset
ntb0380,,,field,Sussex
ntb0381,,,field,Northamptonshire
ntb0382,,,field,Sussex
ntb0383,,,field,Gloucestershire
ntb0384,,,bat,Surrey
ntb0385,,,field,Somerset
ntb0386,,,bat,Worcestershire
ntb0387,,,field,Northamptonshire
ntb0388,,,field,Kent
ntb0389,,,bat,Lancashire
ntb0390,,,bat,Hampshire
ntb0391,,,field,Somerset
ntb0392,,,bat,Somerset
ntb0393,,,bat,Sussex
ntb0394,,,bat,Essex
ntb0395,,,bat,Derbyshire
ntb0396,,,field,Warwickshire
ntb0397,,,field,Kent
ntb0398,,,field,Essex
ntb0399,,,field,Derbyshire
ntb0400,,,bat,Hampshire
