key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0178,,wickets,6.0,,,,,Kent
ntb0179,,runs,17.0,,,,,Derbyshire
ntb0180,,runs,40.0,,,,,Yorkshire
ntb0181,,wickets,8.0,,,,,Worcestershire
ntb0182,,runs,54.0,,,,,Kent
ntb0183,,runs,4.0,,,,,Northamptonshire
ntb0184,,wickets,7.0,,,,,Sussex
ntb0185,,wickets,5.0,,,,,Somerset
ntb0186,,runs,16.0,,,,,Essex
ntb0187,,wickets,7.0,,,,,Leicestershire
ntb0188,,wickets,10.0,,,,,Sussex
ntb0189,,wickets,6.0,,,,,Warwickshire
ntb0190,,wickets,6.0,,,,,Lancashire
ntb0191,,runs,2.0,,,,,Northamptonshire
ntb0192,,wickets,9.0,,,,,Somerset
ntb0193,,,,,,,tie,
ntb0194,,runs,1.0,,,,,Warwickshire
ntb0195,,wickets,3.0,,,,,Sussex
ntb0196,,runs,19.0,,,,,Surrey
ntb0197,,runs,78.0,,,,,Essex
ntb0198,,runs,34.0,,,,,Derbyshire
ntb0199,,wickets,7.0,,,,,Nottinghamshire
ntb0200,,runs,3.0,,,,,Glamorgan
ntb0201,,wickets,4.0,,,,,Surrey
ntb0202,,wickets,7.0,,,,,Sussex
ntb0203,,wickets,7.0,,,,,Kent
ntb0204,,wickets,8.0,,,,,Surrey
ntb0205,,wickets,8.0,,,,,Gloucestershire
ntb0206,,runs,20.0,,,,,Worcestershire
ntb0207,,runs,29.0,,,,,Lancashire
ntb0208,,runs,23.0,,,,,Glamorgan
ntb0209,,runs,38.0,,,,,Durham
ntb0210,,runs,60.0,,,,,Warwickshire
ntb0211,,runs,8.0,,,,,Warwickshire
ntb0212,,wickets,5.0,,,,,Worcestershire
ntb0213,,runs,3.0,,,D/L,,Northamptonshire
ntb0214,,wickets,5.0,,,,,Yorkshire
ntb0215,,wickets,5.0,,,,,Warwickshire
ntb0216,,wickets,8.0,,,,,Sussex
ntb0217,,runs,2.0,,,,,Nottinghamshire
ntb0218,,wickets,6.0,,,,,Middlesex
ntb0219,,runs,40.0,,,,,Lancashire
ntb0220,,runs,22.0,,,,,Kent
ntb0221,,runs,29.0,,,,,Hampshire
ntb0222,,wickets,9.0,,,,,Northamptonshire
ntb0223,,wickets,3.0,,,,,Kent
ntb0224,,wickets,4.0,,,,,Derbyshire
ntb0225,,runs,74.0,,,,,Worcestershire
ntb0226,,wickets,5.0,,,,,Gloucestershire
ntb0227,,wickets,3.0,,,,,Nottinghamshire
ntb0228,,runs,4.0,,,,,Hampshire
ntb0229,,runs,38.0,,,,,Surrey
ntb0230,,wickets,6.0,,,,,Northamptonshire
ntb0231,,runs,1.0,,,,,Glamorgan
ntb0232,,wickets,4.0,,,,,Essex
ntb0233,,runs,42.0,,,,,Nottinghamshire
ntb0234,,wickets,4.0,,,,,Worcestershire
ntb0235,,runs,8.0,,,,,Lancashire
ntb0236,,runs,1.0,,,,,Warwickshire
ntb0237,,runs,43.0,,,,,Middlesex
ntb0238,,runs,6.0,,,,,Hampshire
ntb0239,,wickets,8.0,,,,,Yorkshire
ntb0240,,wickets,8.0,,,,,Gloucestershire
ntb0241,,wickets,7.0,,,,,Northamptonshire
ntb0242,,runs,17.0,,,D/L,,Hampshire
ntb0243,,,,,,,,Lancashire
ntb0244,,runs,13.0,,,,,Lancashire
ntb0245,,wickets,6.0,,,,,Lancashire
ntb0246,,wickets,5.0,,,,,Northamptonshire
ntb0247,,runs,1.0,,,D/L,,Sussex
ntb0248,,runs,8.0,,,,,Surrey
ntb0249,,wickets,8.0,,,,,Kent
ntb0250,,wickets,5.0,,,D/L,,Northamptonshire
ntb0251,,runs,38.0,,,,,Worcestershire
ntb0252,,wickets,6.0,,,,,Warwickshire
ntb0253,,wickets,9.0,,,,,Derbyshire
ntb0254,,wickets,8.0,,,,,Glamorgan
ntb0255,,wickets,5.0,,,,,Worcestershire
ntb0256,,runs,54.0,,,,,Leicestershire
ntb0257,,wickets,6.0,,,,,Durham
ntb0258,,wickets,3.0,,,,,Northamptonshire
ntb0259,,runs,69.0,,,,,Middlesex
ntb0260,,runs,48.0,,,,,Sussex
ntb0261,,runs,66.0,,,,,Durham
