key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
lpl0016,Hambantota,Lanka Premier League,2020-12-09,male,T20,,20,Samiullah Shenwari,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0017,Hambantota,Lanka Premier League,2020-12-09,male,T20,,20,DAS Gunaratne,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0018,Hambantota,Lanka Premier League,2020-12-10,male,T20,,20,MD Gunathilaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0019,Hambantota,Lanka Premier League,2020-12-10,male,T20,,20,LJ Evans,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0020,Hambantota,Lanka Premier League,2020-12-11,male,T20,,20,Qais Ahmad,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0021,Hambantota,Lanka Premier League,2020-12-13,male,T20,,20,D Lakshan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0022,Hambantota,Lanka Premier League,2020-12-14,male,T20,,20,J Charles,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0023,Hambantota,Lanka Premier League,2020-12-16,male,T20,,20,Shoaib Malik,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0024,Colombo,Lanka Premier League,2021-12-05,male,T20,,20,SR Patel,"R Premadasa Stadium, Colombo"
lpl0025,Colombo,Lanka Premier League,2021-12-06,male,T20,,20,DM de Silva,"R Premadasa Stadium, Colombo"
lpl0026,Colombo,Lanka Premier League,2021-12-06,male,T20,,20,PD Salt,"R Premadasa Stadium, Colombo"
lpl0027,Colombo,Lanka Premier League,2021-12-07,male,T20,,20,D Lakshan,"R Premadasa Stadium, Colombo"
lpl0028,Colombo,Lanka Premier League,2021-12-07,male,T20,,20,M Theekshana,"R Premadasa Stadium, Colombo"
lpl0029,Colombo,Lanka Premier League,2021-12-08,male,T20,,20,RAS Lakmal,"R Premadasa Stadium, Colombo"
lpl0030,Colombo,Lanka Premier League,2021-12-08,male,T20,,20,PD Salt,"R Premadasa Stadium, Colombo"
lpl0031,Colombo,Lanka Premier League,2021-12-10,male,T20,,20,NLTC Perera,"R Premadasa Stadium, Colombo"
lpl0032,Colombo,Lanka Premier League,2021-12-10,male,T20,,20,,"R Premadasa Stadium, Colombo"
lpl0033,Colombo,Lanka Premier League,2021-12-11,male,T20,,20,KTH Ratnayake,"R Premadasa Stadium, Colombo"
lpl0034,Colombo,Lanka Premier League,2021-12-11,male,T20,,20,RS Bopara,"R Premadasa Stadium, Colombo"
lpl0035,Colombo,Lanka Premier League,2021-12-12,male,T20,,20,LD Chandimal,"R Premadasa Stadium, Colombo"
lpl0036,Colombo,Lanka Premier League,2021-12-12,male,T20,,20,Shoaib Malik,"R Premadasa Stadium, Colombo"
lpl0037,Colombo,Lanka Premier League,2021-12-13,male,T20,,20,PC de Silva,"R Premadasa Stadium, Colombo"
lpl0038,Colombo,Lanka Premier League,2021-12-14,male,T20,,20,SR Patel,"R Premadasa Stadium, Colombo"
lpl0039,Colombo,Lanka Premier League,2021-12-14,male,T20,,20,S Prasanna,"R Premadasa Stadium, Colombo"
lpl0040,Colombo,Lanka Premier League,2021-12-16,male,T20,,20,RS Bopara,"R Premadasa Stadium, Colombo"
lpl0041,Colombo,Lanka Premier League,2021-12-16,male,T20,,20,T Kohler-Cadmore,"R Premadasa Stadium, Colombo"
lpl0042,Colombo,Lanka Premier League,2021-12-17,male,T20,,20,JDF Vandersay,"R Premadasa Stadium, Colombo"
lpl0043,Colombo,Lanka Premier League,2021-12-17,male,T20,,20,PBB Rajapaksa,"R Premadasa Stadium, Colombo"
lpl0044,Hambantota,Lanka Premier League,2021-12-19,male,T20,,20,BKG Mendis,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0045,Hambantota,Lanka Premier League,2021-12-19,male,T20,,20,J Liyanage,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0046,Hambantota,Lanka Premier League,2021-12-21,male,T20,,20,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0047,Hambantota,Lanka Premier League,2021-12-23,male,T20,,20,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
