key,team
bpl0161,Rangpur Riders
bpl0162,Comilla Victorians
bpl0162,Dhaka Dynamites
bpl0163,Rajshahi Kings
bpl0163,Chittagong Vikings
bpl0164,Dhaka Dynamites
bpl0164,Rajshahi Kings
bpl0165,Rangpur Riders
bpl0165,Comilla Victorians
bpl0166,Rangpur Riders
bpl0166,Khulna Titans
bpl0167,Chittagong Vikings
bpl0167,Sylhet Sixers
bpl0168,Chittagong Vikings
bpl0168,Rajshahi Kings
bpl0169,Khulna Titans
bpl0169,Comilla Victorians
bpl0170,Comilla Victorians
bpl0170,Sylhet Sixers
bpl0171,Dhaka Dynamites
bpl0171,Rangpur Riders
bpl0172,Dhaka Dynamites
bpl0172,Comilla Victorians
bpl0173,Khulna Titans
bpl0173,Rangpur Riders
bpl0174,Rangpur Riders
bpl0174,Comilla Victorians
bpl0175,Rangpur Riders
bpl0175,Dhaka Dynamites
bpl0176,Dhaka Dynamites
bpl0176,Rajshahi Kings
bpl0177,Rangpur Riders
bpl0177,Chittagong Vikings
bpl0178,Rangpur Riders
bpl0178,Khulna Titans
bpl0179,Sylhet Sixers
bpl0179,Comilla Victorians
bpl0180,Comilla Victorians
bpl0180,Rangpur Riders
bpl0181,Dhaka Dynamites
bpl0181,Khulna Titans
bpl0182,Khulna Titans
bpl0182,Rajshahi Kings
bpl0183,Sylhet Sixers
bpl0183,Chittagong Vikings
bpl0184,Rajshahi Kings
bpl0184,Comilla Victorians
bpl0185,Dhaka Dynamites
bpl0185,Rangpur Riders
bpl0186,Dhaka Dynamites
bpl0186,Sylhet Sixers
bpl0187,Khulna Titans
bpl0187,Chittagong Vikings
bpl0188,Comilla Victorians
bpl0188,Chittagong Vikings
bpl0189,Sylhet Sixers
bpl0189,Comilla Victorians
bpl0190,Khulna Titans
bpl0190,Rajshahi Kings
bpl0191,Sylhet Sixers
bpl0191,Rangpur Riders
bpl0192,Rajshahi Kings
bpl0192,Dhaka Dynamites
bpl0193,Khulna Titans
bpl0193,Comilla Victorians
bpl0194,Sylhet Sixers
bpl0194,Dhaka Dynamites
bpl0195,Chittagong Vikings
bpl0195,Khulna Titans
bpl0196,Sylhet Sixers
bpl0196,Rangpur Riders
bpl0197,Dhaka Dynamites
bpl0197,Chittagong Vikings
bpl0198,Rajshahi Kings
bpl0198,Comilla Victorians
bpl0199,Comilla Victorians
bpl0199,Dhaka Dynamites
bpl0200,Khulna Titans
bpl0200,Rangpur Riders
bpl0201,Khulna Titans
bpl0201,Sylhet Sixers
bpl0202,Rajshahi Kings
bpl0202,Chittagong Vikings
bpl0203,Rangpur Riders
bpl0203,Chittagong Vikings
bpl0204,Sylhet Sixers
bpl0204,Rajshahi Kings
