team_1,team_2,key
Australia,India,t20s00538
Hong Kong,Scotland,t20s00539
United Arab Emirates,Netherlands,t20s00540
United Arab Emirates,Scotland,t20s00541
Ireland,Papua New Guinea,t20s00542
Ireland,Papua New Guinea,t20s00543
India,Sri Lanka,t20s00544
India,Sri Lanka,t20s00545
United Arab Emirates,Ireland,t20s00546
India,Sri Lanka,t20s00547
United Arab Emirates,Ireland,t20s00548
South Africa,England,t20s00549
South Africa,England,t20s00550
Hong Kong,Oman,t20s00551
Hong Kong,United Arab Emirates,t20s00552
South Africa,England,t20s00553
South Africa,England,t20s00554
Oman,United Arab Emirates,t20s00555
India,Bangladesh,t20s00556
Sri Lanka,United Arab Emirates,t20s00557
Bangladesh,United Arab Emirates,t20s00558
India,Pakistan,t20s00559
Bangladesh,Sri Lanka,t20s00560
Pakistan,United Arab Emirates,t20s00561
India,Sri Lanka,t20s00562
Bangladesh,Pakistan,t20s00563
India,United Arab Emirates,t20s00564
Pakistan,Sri Lanka,t20s00565
South Africa,Australia,t20s00566
South Africa,West Indies,t20s00567
South Africa,Australia,t20s00568
Bangladesh,India,t20s00569
Hong Kong,Zimbabwe,t20s00570
South Africa,Australia,t20s00571
Bangladesh,Netherlands,t20s00572
Ireland,Oman,t20s00573
South Africa,West Indies,t20s00574
Scotland,Zimbabwe,t20s00575
Bangladesh,Ireland,t20s00576
Hong Kong,Scotland,t20s00577
Ireland,Netherlands,t20s00578
Bangladesh,Oman,t20s00579
India,Bangladesh,t20s00580
New Zealand,Sri Lanka,t20s00581
India,New Zealand,t20s00582
Bangladesh,Pakistan,t20s00583
England,West Indies,t20s00584
Pakistan,West Indies,t20s00585
Bangladesh,England,t20s00586
Ireland,New Zealand,t20s00587
Australia,South Africa,t20s00588
Australia,New Zealand,t20s00589
England,South Africa,t20s00590
India,Pakistan,t20s00591
India,Pakistan,t20s00592
Bangladesh,West Indies,t20s00593
Sri Lanka,Ireland,t20s00594
Sri Lanka,West Indies,t20s00595
Australia,Bangladesh,t20s00596
Australia,New Zealand,t20s00597
India,England,t20s00598
New Zealand,Pakistan,t20s00599
Ireland,South Africa,t20s00600
India,Bangladesh,t20s00601
England,West Indies,t20s00602
Australia,Sri Lanka,t20s00603
Bangladesh,Pakistan,t20s00604
Australia,Pakistan,t20s00605
South Africa,West Indies,t20s00606
Australia,Ireland,t20s00607
New Zealand,South Africa,t20s00608
Bangladesh,New Zealand,t20s00609
England,Sri Lanka,t20s00610
India,Australia,t20s00611
England,Pakistan,t20s00612
India,West Indies,t20s00613
South Africa,Sri Lanka,t20s00614
South Africa,Sri Lanka,t20s00615
Australia,England,t20s00616
England,New Zealand,t20s00617
New Zealand,West Indies,t20s00618
India,West Indies,t20s00619
Australia,West Indies,t20s00620
England,West Indies,t20s00621
Zimbabwe,India,t20s00622
Zimbabwe,India,t20s00623
Zimbabwe,India,t20s00624
England,Pakistan,t20s00625
England,Sri Lanka,t20s00626
England,Pakistan,t20s00627
England,Pakistan,t20s00628
India,West Indies,t20s00629
India,West Indies,t20s00630
Ireland,Bangladesh,t20s00631
Ireland,Hong Kong,t20s00632
Sri Lanka,Australia,t20s00633
England,Pakistan,t20s00634
Sri Lanka,Australia,t20s00635
Pakistan,West Indies,t20s00636
Pakistan,West Indies,t20s00637
Sri Lanka,Australia,t20s00638
Pakistan,West Indies,t20s00639
New Zealand,Pakistan,t20s00640
India,Pakistan,t20s00641
New Zealand,Bangladesh,t20s00642
New Zealand,Bangladesh,t20s00643
New Zealand,Bangladesh,t20s00644
Hong Kong,Scotland,t20s00645
Netherlands,Oman,t20s00646
Hong Kong,Oman,t20s00647
Netherlands,Scotland,t20s00648
United Arab Emirates,Ireland,t20s00649
Hong Kong,Netherlands,t20s00650
Oman,Scotland,t20s00651
Ireland,Scotland,t20s00652
South Africa,Sri Lanka,t20s00653
South Africa,Sri Lanka,t20s00654
South Africa,Sri Lanka,t20s00655
India,England,t20s00656
India,England,t20s00657
India,England,t20s00658
Australia,Sri Lanka,t20s00659
Australia,New Zealand,t20s00660
New Zealand,South Africa,t20s00661
Australia,New Zealand,t20s00662
Australia,Sri Lanka,t20s00663
Australia,New Zealand,t20s00664
Australia,Sri Lanka,t20s00665
West Indies,Pakistan,t20s00666
West Indies,Pakistan,t20s00667
West Indies,Pakistan,t20s00668
West Indies,Pakistan,t20s00669
Sri Lanka,Bangladesh,t20s00670
Sri Lanka,Bangladesh,t20s00671
United Arab Emirates,Papua New Guinea,t20s00672
United Arab Emirates,Papua New Guinea,t20s00673
United Arab Emirates,Papua New Guinea,t20s00674
England,South Africa,t20s00675
England,South Africa,t20s00676
England,South Africa,t20s00677
West Indies,India,t20s00678
Sri Lanka,India,t20s00679
Pakistan,ICC World XI,t20s00680
Pakistan,ICC World XI,t20s00681
Pakistan,ICC World XI,t20s00682
West Indies,England,t20s00683
Australia,India,t20s00684
India,Australia,t20s00685
West Indies,Sri Lanka,t20s00686
Sri Lanka,Pakistan,t20s00687
South Africa,Bangladesh,t20s00688
Sri Lanka,Pakistan,t20s00689
Pakistan,Sri Lanka,t20s00690
South Africa,Bangladesh,t20s00691
India,New Zealand,t20s00692
New Zealand,India,t20s00693
India,New Zealand,t20s00694
New Zealand,Pakistan,t20s00695
New Zealand,Pakistan,t20s00696
Pakistan,New Zealand,t20s00697
England,Australia,t20s00698
England,Australia,t20s00699
Australia,England,t20s00700
India,Sri Lanka,t20s00701
India,Sri Lanka,t20s00702
Sri Lanka,India,t20s00703
New Zealand,West Indies,t20s00704
New Zealand,West Indies,t20s00705
New Zealand,West Indies,t20s00706
Pakistan,New Zealand,t20s00707
Pakistan,New Zealand,t20s00708
Pakistan,New Zealand,t20s00709
New Zealand,Australia,t20s00710
England,Australia,t20s00711
England,Australia,t20s00712
South Africa,India,t20s00713
New Zealand,England,t20s00714
Bangladesh,Sri Lanka,t20s00715
South Africa,India,t20s00716
New Zealand,Australia,t20s00717
Sri Lanka,Bangladesh,t20s00718
England,New Zealand,t20s00719
India,South Africa,t20s00720
India,South Africa,t20s00721
South Africa,India,t20s00722
New Zealand,Australia,t20s00723
India,South Africa,t20s00724
India,South Africa,t20s00725
India,South Africa,t20s00726
India,Sri Lanka,t20s00727
Bangladesh,India,t20s00728
Sri Lanka,Bangladesh,t20s00729
Sri Lanka,India,t20s00730
New Zealand,West Indies,t20s00731
India,Bangladesh,t20s00732
Sri Lanka,Bangladesh,t20s00733
New Zealand,West Indies,t20s00734
Bangladesh,India,t20s00735
New Zealand,West Indies,t20s00736
India,Australia,t20s00737
Australia,England,t20s00738
India,England,t20s00739
West Indies,New Zealand,t20s00740
Australia,India,t20s00741
England,Australia,t20s00742
Sri Lanka,Pakistan,t20s00743
England,India,t20s00744
Pakistan,Sri Lanka,t20s00745
Australia,England,t20s00746
Pakistan,West Indies,t20s00747
Pakistan,West Indies,t20s00748
West Indies,Pakistan,t20s00749
South Africa,Bangladesh,t20s00750
South Africa,Bangladesh,t20s00751
West Indies,ICC World XI,t20s00752
India,Malaysia,t20s00753
Thailand,Pakistan,t20s00754
Pakistan,Bangladesh,t20s00755
India,Thailand,t20s00756
Sri Lanka,Malaysia,t20s00757
Ireland,New Zealand,t20s00758
Pakistan,Sri Lanka,t20s00759
Malaysia,Thailand,t20s00760
India,Bangladesh,t20s00761
Thailand,Bangladesh,t20s00762
Pakistan,Malaysia,t20s00763
Sri Lanka,India,t20s00764
Bangladesh,Malaysia,t20s00765
Pakistan,India,t20s00766
Sri Lanka,Thailand,t20s00767
India,Bangladesh,t20s00768
Pakistan,Scotland,t20s00769
Netherlands,Ireland,t20s00770
Pakistan,Scotland,t20s00771
Ireland,Netherlands,t20s00772
Ireland,Scotland,t20s00773
Scotland,Ireland,t20s00774
Netherlands,Scotland,t20s00775
New Zealand,South Africa,t20s00776
England,South Africa,t20s00777
Scotland,Netherlands,t20s00778
England,New Zealand,t20s00779
England,South Africa,t20s00780
England,Australia,t20s00781
India,Ireland,t20s00782
South Africa,New Zealand,t20s00783
New Zealand,England,t20s00784
Ireland,Bangladesh,t20s00785
Ireland,Bangladesh,t20s00786
India,Ireland,t20s00787
New Zealand,England,t20s00788
Bangladesh,Ireland,t20s00789
Pakistan,Zimbabwe,t20s00790
Pakistan,Australia,t20s00791
England,India,t20s00792
Australia,Zimbabwe,t20s00793
Zimbabwe,Pakistan,t20s00794
Pakistan,Australia,t20s00795
India,England,t20s00796
Zimbabwe,Australia,t20s00797
Thailand,Ireland,t20s00798
Uganda,Scotland,t20s00799
Netherlands,United Arab Emirates,t20s00800
Papua New Guinea,Bangladesh,t20s00801
Scotland,Ireland,t20s00802
Netherlands,Bangladesh,t20s00803
United Arab Emirates,Papua New Guinea,t20s00804
England,India,t20s00805
Australia,Pakistan,t20s00806
United Arab Emirates,Bangladesh,t20s00807
Papua New Guinea,Netherlands,t20s00808
Uganda,Ireland,t20s00809
Scotland,Thailand,t20s00810
United Arab Emirates,Thailand,t20s00811
Ireland,Papua New Guinea,t20s00812
Netherlands,Uganda,t20s00813
Bangladesh,Scotland,t20s00814
Netherlands,United Arab Emirates,t20s00815
Papua New Guinea,Scotland,t20s00816
Thailand,Uganda,t20s00817
Bangladesh,Ireland,t20s00818
Netherlands,Nepal,t20s00819
Bangladesh,West Indies,t20s00820
Bangladesh,West Indies,t20s00821
Bangladesh,West Indies,t20s00822
South Africa,Sri Lanka,t20s00823
Malawi,Namibia,t20s00824
Botswana,Lesotho,t20s00825
Sierra Leone,Namibia,t20s00826
Mozambique,Botswana,t20s00827
Mozambique,Lesotho,t20s00828
Botswana,Sierra Leone,t20s00829
Mozambique,Namibia,t20s00830
Namibia,Lesotho,t20s00831
Sierra Leone,Malawi,t20s00832
Sierra Leone,Lesotho,t20s00833
Botswana,Namibia,t20s00834
Lesotho,Malawi,t20s00835
Sierra Leone,Namibia,t20s00836
Sri Lanka,India,t20s00837
Sri Lanka,India,t20s00838
Sri Lanka,India,t20s00839
India,Sri Lanka,t20s00840
South Africa,West Indies,t20s00841
New Zealand,Australia,t20s00842
New Zealand,Australia,t20s00843
West Indies,South Africa,t20s00844
New Zealand,Australia,t20s00845
West Indies,South Africa,t20s00846
South Africa,Zimbabwe,t20s00847
Zimbabwe,South Africa,t20s00848
United Arab Emirates,Australia,t20s00849
Pakistan,Australia,t20s00850
Australia,Pakistan,t20s00851
Pakistan,Australia,t20s00852
Pakistan,Australia,t20s00853
England,Sri Lanka,t20s00854
