decision,winner,key,uncontested
field,Sri Lanka,t20s00292,
bat,India,t20s00293,
bat,West Indies,t20s00294,
field,India,t20s00295,
bat,New Zealand,t20s00296,
field,England,t20s00297,
field,New Zealand,t20s00298,
field,Pakistan,t20s00299,
bat,South Africa,t20s00300,
field,Pakistan,t20s00301,
bat,South Africa,t20s00302,
field,West Indies,t20s00303,
bat,Australia,t20s00304,
field,Australia,t20s00305,
field,New Zealand,t20s00306,
field,England,t20s00307,
bat,West Indies,t20s00308,
field,England,t20s00309,
bat,Zimbabwe,t20s00310,
bat,Sri Lanka,t20s00311,
bat,Pakistan,t20s00312,
bat,West Indies,t20s00313,
field,Sri Lanka,t20s00314,
bat,West Indies,t20s00315,
bat,Kenya,t20s00316,
bat,Kenya,t20s00317,
field,Bangladesh,t20s00318,
bat,Netherlands,t20s00319,
field,Kenya,t20s00320,
bat,Zimbabwe,t20s00321,
bat,Bangladesh,t20s00322,
field,England,t20s00323,
field,New Zealand,t20s00324,
bat,England,t20s00325,
bat,Pakistan,t20s00326,
bat,Pakistan,t20s00327,
bat,West Indies,t20s00328,
bat,Pakistan,t20s00329,
field,Pakistan,t20s00330,
field,Sri Lanka,t20s00331,
bat,South Africa,t20s00332,
bat,South Africa,t20s00333,
bat,South Africa,t20s00334,
field,Zimbabwe,t20s00335,
field,Zimbabwe,t20s00336,
bat,England,t20s00337,
bat,Australia,t20s00338,
field,England,t20s00339,
field,England,t20s00340,
field,Australia,t20s00341,
bat,Bangladesh,t20s00342,
bat,South Africa,t20s00343,
field,India,t20s00344,
field,South Africa,t20s00345,
field,South Africa,t20s00346,
field,South Africa,t20s00347,
bat,New Zealand,t20s00348,
bat,Pakistan,t20s00349,
bat,South Africa,t20s00350,
field,Canada,t20s00351,
bat,Kenya,t20s00352,
field,Pakistan,t20s00353,
field,Sri Lanka,t20s00354,
field,Netherlands,t20s00355,
bat,Pakistan,t20s00356,
bat,Netherlands,t20s00357,
bat,Kenya,t20s00358,
bat,Scotland,t20s00359,
field,Pakistan,t20s00360,
field,Pakistan,t20s00361,
bat,New Zealand,t20s00362,
bat,West Indies,t20s00363,
field,Ireland,t20s00364,
field,Pakistan,t20s00365,
field,Ireland,t20s00366,
field,Pakistan,t20s00367,
bat,Australia,t20s00368,
