winner,by.runs,key,by.wickets,result,method
Worcestershire,38.0,ntb00250,,,
Northamptonshire,,ntb00251,5.0,,D/L
Warwickshire,,ntb00252,6.0,,
Derbyshire,,ntb00253,9.0,,
Glamorgan,,ntb00254,8.0,,
Middlesex,69.0,ntb00255,,,
Northamptonshire,,ntb00256,3.0,,
Durham,,ntb00257,6.0,,
Leicestershire,54.0,ntb00258,,,
Worcestershire,,ntb00259,5.0,,
Essex,,ntb00260,7.0,,
Durham,66.0,ntb00261,,,
Sussex,48.0,ntb00262,,,
Gloucestershire,,ntb00263,4.0,,
Hampshire,9.0,ntb00264,,,
Worcestershire,,ntb00265,7.0,,
Lancashire,26.0,ntb00266,,,
Derbyshire,,ntb00267,4.0,,
Northamptonshire,,ntb00268,7.0,,
Gloucestershire,,ntb00269,7.0,,
Glamorgan,,ntb00270,5.0,,
Warwickshire,,ntb00271,9.0,,
Surrey,23.0,ntb00272,,,
Somerset,,ntb00273,7.0,,
Leicestershire,,ntb00274,6.0,,
Nottinghamshire,,ntb00275,2.0,,
Kent,8.0,ntb00276,,,
Surrey,80.0,ntb00277,,,
Worcestershire,,ntb00278,3.0,,
Somerset,,ntb00279,6.0,,
Sussex,,ntb00280,4.0,,
Glamorgan,,ntb00281,6.0,,
Lancashire,,ntb00282,9.0,,D/L
Middlesex,17.0,ntb00283,,,
Gloucestershire,,ntb00284,8.0,,
Warwickshire,,ntb00285,4.0,,
Northamptonshire,26.0,ntb00286,,,
Glamorgan,55.0,ntb00287,,,D/L
Surrey,29.0,ntb00288,,,
Gloucestershire,,ntb00289,4.0,,
Nottinghamshire,,ntb00290,4.0,,
Warwickshire,18.0,ntb00291,,,D/L
Somerset,,ntb00292,6.0,,
Yorkshire,1.0,ntb00293,,,D/L
Middlesex,4.0,ntb00294,,,
Essex,,ntb00295,5.0,,
Middlesex,40.0,ntb00296,,,
Nottinghamshire,,ntb00297,7.0,,
Glamorgan,,ntb00298,9.0,,
Lancashire,96.0,ntb00299,,,
Durham,6.0,ntb00300,,,D/L
Warwickshire,,ntb00301,8.0,,
Essex,,ntb00302,8.0,,
Northamptonshire,,ntb00303,6.0,,
Gloucestershire,11.0,ntb00304,,,
,,ntb00305,,no result,
Kent,10.0,ntb00306,,,
Derbyshire,,ntb00307,7.0,,
Gloucestershire,,ntb00308,7.0,,
Essex,50.0,ntb00309,,,
Yorkshire,5.0,ntb00310,,,
Sussex,,ntb00311,7.0,,
Northamptonshire,,ntb00312,8.0,,D/L
Gloucestershire,,ntb00313,6.0,,
Glamorgan,46.0,ntb00314,,,
Kent,12.0,ntb00315,,,
Yorkshire,2.0,ntb00316,,,
Leicestershire,,ntb00317,9.0,,
Essex,3.0,ntb00318,,,
Glamorgan,,ntb00319,9.0,,
Kent,3.0,ntb00320,,,
Lancashire,,ntb00321,7.0,,
Nottinghamshire,,ntb00322,6.0,,
Surrey,15.0,ntb00323,,,
Nottinghamshire,,ntb00324,9.0,,
Durham,,ntb00325,5.0,,
Yorkshire,1.0,ntb00326,,,
Gloucestershire,,ntb00327,9.0,,
Derbyshire,,ntb00328,6.0,,
Hampshire,25.0,ntb00329,,,
Nottinghamshire,,ntb00330,3.0,,
Kent,,ntb00331,8.0,,
Durham,,ntb00332,6.0,,
Middlesex,,ntb00333,5.0,,
Hampshire,1.0,ntb00334,,,
Leicestershire,9.0,ntb00335,,,
Worcestershire,,ntb00336,5.0,,
Gloucestershire,30.0,ntb00337,,,
Warwickshire,28.0,ntb00338,,,
Northamptonshire,74.0,ntb00339,,,
Yorkshire,49.0,ntb00340,,,
Middlesex,,ntb00341,5.0,,
Sussex,24.0,ntb00342,,,
Essex,33.0,ntb00343,,,
Lancashire,4.0,ntb00344,,,
Middlesex,43.0,ntb00345,,,
Yorkshire,75.0,ntb00346,,,
Nottinghamshire,,ntb00347,6.0,,
Glamorgan,,ntb00348,7.0,,
Surrey,,ntb00349,6.0,,
Derbyshire,29.0,ntb00350,,,
Essex,,ntb00351,5.0,,
,,ntb00352,,no result,
Hampshire,83.0,ntb00353,,,
Gloucestershire,,ntb00354,4.0,,
Nottinghamshire,,ntb00355,8.0,,D/L
Yorkshire,14.0,ntb00356,,,
,,ntb00357,,no result,
Durham,13.0,ntb00358,,,
Surrey,37.0,ntb00359,,,
Lancashire,30.0,ntb00360,,,
Nottinghamshire,39.0,ntb00361,,,
Northamptonshire,,ntb00362,7.0,,
Durham,19.0,ntb00363,,,
Yorkshire,90.0,ntb00364,,,
Northamptonshire,8.0,ntb00365,,,
Durham,7.0,ntb00366,,,
Northamptonshire,,ntb00367,4.0,,
Derbyshire,,ntb00368,7.0,,
Warwickshire,,ntb00369,8.0,,
,,ntb00370,,tie,
Hampshire,22.0,ntb00371,,,
