balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Chelmsford,2014-07-22,male,T20,20,MT Coles,2014,club,County Ground,ntb00104,
6,Northampton,2014-07-23,male,T20,20,MH Wessels,2014,club,County Ground,ntb00105,
6,London,2014-07-24,male,T20,20,SC Meaker,2014,club,Lord's,ntb00106,
6,Manchester,2014-07-24,male,T20,20,UT Khawaja,2014,club,Old Trafford,ntb00107,
6,Taunton,2014-07-25,male,T20,20,DP Nannes,2014,club,The Cooper Associates County Ground,ntb00108,
6,Cardiff,2014-07-25,male,T20,20,JA Rudolph,2014,club,Sophia Gardens,ntb00109,
6,Worcester,2014-07-25,male,T20,20,RA Whiteley,2014,club,"County Ground, New Road",ntb00110,
6,Leeds,2014-07-25,male,T20,20,AD Hales,2014,club,Headingley,ntb00111,
6,Chester-le-Street,2014-07-25,male,T20,20,JW Hastings,2014,club,Riverside Ground,ntb00112,
6,Birmingham,2014-07-25,male,T20,20,V Chopra,2014,club,Edgbaston,ntb00113,
6,Chelmsford,2014-07-25,male,T20,20,LJ Wright,2014,club,County Ground,ntb00114,
6,Canterbury,2014-07-25,male,T20,20,DI Stevens,2014,club,St Lawrence Ground,ntb00115,
6,Manchester,2014-08-01,male,T20,20,J Clark,2014,club,Old Trafford,ntb00116,
6,London,2014-08-02,male,T20,20,JJ Roy,2014,club,Kennington Oval,ntb00117,
6,Chelmsford,2014-08-02,male,T20,20,R Clarke,2014,club,County Ground,ntb00118,
6,Nottingham,2014-08-03,male,T20,20,JM Vince,2014,club,Trent Bridge,ntb00119,
6,Birmingham,2014-08-23,male,T20,20,WTS Porterfield,2014,club,Edgbaston,ntb00120,
6,Birmingham,2014-08-23,male,T20,20,AG Prince,2014,club,Edgbaston,ntb00121,
6,Birmingham,2014-08-23,male,T20,20,LJ Evans,2014,club,Edgbaston,ntb00122,
6,Leeds,2015-05-15,male,T20,20,MD Fisher,2015,club,Headingley,ntb00123,
6,London,2015-05-15,male,T20,20,CA Ingram,2015,club,Kennington Oval,ntb00124,
6,Nottingham,2015-05-15,male,T20,20,AD Hales,2015,club,Trent Bridge,ntb00125,
6,Manchester,2015-05-15,male,T20,20,SJ Croft,2015,club,Old Trafford,ntb00126,
6,Southampton,2015-05-15,male,T20,20,JHK Adams,2015,club,The Rose Bowl,ntb00127,
6,Bristol,2015-05-15,male,T20,20,IA Cockbain,2015,club,County Ground,ntb00128,
6,Chester-le-Street,2015-05-15,male,T20,20,CS MacLeod,2015,club,Riverside Ground,ntb00129,
6,Canterbury,2015-05-15,male,T20,20,OE Robinson,2015,club,St Lawrence Ground,ntb00130,
6,Chelmsford,2015-05-16,male,T20,20,TK Curran,2015,club,County Ground,ntb00131,
6,Hove,2015-05-17,male,T20,20,WAT Beer,2015,club,County Ground,ntb00132,
6,Nottingham,2015-05-22,male,T20,20,AW Gale,2015,club,Trent Bridge,ntb00133,
6,Leicester,2015-05-22,male,T20,20,NJ O'Brien,2015,club,Grace Road,ntb00134,
