decision,winner,key
field,Sussex,ntb00352
bat,Hampshire,ntb00353
bat,Middlesex,ntb00354
field,Nottinghamshire,ntb00355
bat,Yorkshire,ntb00356
field,Essex,ntb00357
field,Derbyshire,ntb00358
bat,Surrey,ntb00359
bat,Lancashire,ntb00360
field,Essex,ntb00361
bat,Middlesex,ntb00362
bat,Durham,ntb00363
bat,Yorkshire,ntb00364
field,Nottinghamshire,ntb00365
bat,Durham,ntb00366
bat,Durham,ntb00367
field,Derbyshire,ntb00368
field,Warwickshire,ntb00369
field,Middlesex,ntb00370
field,Glamorgan,ntb00371
field,Essex,ntb00372
field,Durham,ntb00373
bat,Yorkshire,ntb00374
bat,Derbyshire,ntb00375
field,Warwickshire,ntb00376
field,Leicestershire,ntb00377
bat,Essex,ntb00378
field,Somerset,ntb00379
field,Northamptonshire,ntb00380
field,Sussex,ntb00381
field,Sussex,ntb00382
field,Somerset,ntb00383
bat,Surrey,ntb00384
field,Gloucestershire,ntb00385
bat,Hampshire,ntb00386
bat,Lancashire,ntb00387
field,Kent,ntb00388
field,Northamptonshire,ntb00389
bat,Worcestershire,ntb00390
field,Somerset,ntb00391
field,Warwickshire,ntb00392
bat,Derbyshire,ntb00393
bat,Essex,ntb00394
bat,Sussex,ntb00395
bat,Somerset,ntb00396
field,Kent,ntb00397
field,Essex,ntb00398
field,Derbyshire,ntb00399
bat,Hampshire,ntb00400
field,Kent,ntb00401
field,Durham,ntb00402
field,Leicestershire,ntb00403
field,Warwickshire,ntb00404
bat,Surrey,ntb00405
field,Derbyshire,ntb00406
field,Essex,ntb00407
field,Glamorgan,ntb00408
field,Nottinghamshire,ntb00409
field,Worcestershire,ntb00410
bat,Lancashire,ntb00411
field,Somerset,ntb00412
field,Sussex,ntb00413
field,Derbyshire,ntb00414
field,Gloucestershire,ntb00415
bat,Durham,ntb00416
field,Nottinghamshire,ntb00417
bat,Somerset,ntb00418
bat,Yorkshire,ntb00419
field,Northamptonshire,ntb00420
bat,Somerset,ntb00421
