key,date
ipl0079,2009-05-01
ipl0080,2009-05-01
ipl0081,2009-05-02
ipl0082,2009-05-02
ipl0083,2009-05-03
ipl0084,2009-05-03
ipl0085,2009-05-04
ipl0086,2009-05-05
ipl0087,2009-05-05
ipl0088,2009-05-06
ipl0089,2009-05-07
ipl0090,2009-05-07
ipl0091,2009-05-08
ipl0092,2009-05-09
ipl0093,2009-05-09
ipl0094,2009-05-10
ipl0095,2009-05-10
ipl0096,2009-05-11
ipl0097,2009-05-12
ipl0098,2009-05-12
ipl0099,2009-05-13
ipl0100,2009-05-14
ipl0101,2009-05-14
ipl0102,2009-05-15
ipl0103,2009-05-16
ipl0104,2009-05-16
ipl0105,2009-05-17
ipl0106,2009-05-17
ipl0107,2009-05-18
ipl0108,2009-05-19
ipl0109,2009-05-20
ipl0110,2009-05-20
ipl0111,2009-05-21
ipl0112,2009-05-21
ipl0113,2009-05-22
ipl0114,2009-05-23
ipl0115,2009-05-24
ipl0116,2010-03-12
ipl0117,2010-03-13
ipl0118,2010-03-13
ipl0119,2010-03-14
ipl0120,2010-03-14
ipl0121,2010-03-15
ipl0122,2010-03-16
ipl0123,2010-03-16
ipl0124,2010-03-17
ipl0125,2010-03-18
ipl0126,2010-03-19
ipl0127,2010-03-19
ipl0128,2010-03-20
ipl0129,2010-03-20
ipl0130,2010-03-21
ipl0131,2010-03-21
ipl0132,2010-03-22
ipl0133,2010-03-23
ipl0134,2010-03-24
ipl0135,2010-03-25
ipl0136,2010-03-25
ipl0137,2010-03-26
ipl0138,2010-03-27
ipl0139,2010-03-28
ipl0140,2010-03-28
ipl0141,2010-03-29
ipl0142,2010-03-30
ipl0143,2010-03-31
ipl0144,2010-03-31
ipl0145,2010-04-01
ipl0146,2010-04-02
ipl0147,2010-04-03
ipl0148,2010-04-03
ipl0149,2010-04-04
ipl0150,2010-04-04
ipl0151,2010-04-05
ipl0152,2010-04-06
ipl0153,2010-04-07
ipl0154,2010-04-07
ipl0155,2010-04-08
ipl0156,2010-04-09
ipl0157,2010-04-10
ipl0158,2010-04-10
ipl0159,2010-04-11
ipl0160,2010-04-11
ipl0161,2010-04-12
ipl0162,2010-04-13
ipl0163,2010-04-13
ipl0164,2010-04-14
ipl0165,2010-04-15
ipl0166,2010-04-16
ipl0167,2010-04-17
ipl0168,2010-04-17
ipl0169,2010-04-18
ipl0170,2010-04-18
ipl0171,2010-04-19
ipl0172,2010-04-21
ipl0173,2010-04-22
ipl0174,2010-04-24
ipl0175,2010-04-25
ipl0176,2011-04-08
ipl0177,2011-04-09
ipl0178,2011-04-09
ipl0179,2011-04-10
ipl0180,2011-04-10
ipl0181,2011-04-11
ipl0182,2011-04-12
ipl0183,2011-04-12
ipl0184,2011-04-13
ipl0185,2011-04-13
ipl0186,2011-04-14
ipl0187,2011-04-15
ipl0188,2011-04-15
ipl0189,2011-04-16
ipl0190,2011-04-16
ipl0191,2011-04-17
ipl0192,2011-04-17
ipl0193,2011-04-18
ipl0194,2011-04-19
ipl0195,2011-04-20
ipl0196,2011-04-20
ipl0197,2011-04-21
ipl0198,2011-04-22
ipl0199,2011-04-22
ipl0200,2011-04-23
ipl0201,2011-04-24
ipl0202,2011-04-24
ipl0203,2011-04-25
ipl0204,2011-04-26
ipl0205,2011-04-27
ipl0206,2011-04-27
ipl0207,2011-04-28
ipl0208,2011-04-29
ipl0209,2011-04-29
ipl0210,2011-04-30
ipl0211,2011-04-30
ipl0212,2011-05-01
ipl0213,2011-05-01
ipl0214,2011-05-02
ipl0215,2011-05-02
ipl0216,2011-05-03
ipl0217,2011-05-04
ipl0218,2011-05-04
ipl0219,2011-05-05
ipl0220,2011-05-05
ipl0221,2011-05-06
ipl0222,2011-05-07
ipl0223,2011-05-07
ipl0224,2011-05-08
ipl0225,2011-05-08
ipl0226,2011-05-09
ipl0227,2011-05-10
ipl0228,2011-05-10
ipl0229,2011-05-11
ipl0230,2011-05-12
ipl0231,2011-05-13
ipl0232,2011-05-14
ipl0233,2011-05-14
ipl0234,2011-05-15
ipl0235,2011-05-15
ipl0236,2011-05-16
ipl0237,2011-05-17
ipl0238,2011-05-18
ipl0239,2011-05-19
ipl0240,2011-05-20
ipl0241,2011-05-21
ipl0242,2011-05-21
ipl0243,2011-05-22
ipl0244,2011-05-22
ipl0245,2011-05-24
ipl0246,2011-05-25
ipl0247,2011-05-27
ipl0248,2011-05-28
ipl0249,2012-04-04
ipl0250,2012-04-05
ipl0251,2012-04-06
ipl0252,2012-04-06
ipl0253,2012-04-07
ipl0254,2012-04-07
ipl0255,2012-04-08
ipl0256,2012-04-08
ipl0257,2012-04-09
ipl0258,2012-04-10
ipl0259,2012-04-10
ipl0260,2012-04-11
ipl0261,2012-04-12
ipl0262,2012-04-12
ipl0263,2012-04-13
ipl0264,2012-04-14
ipl0265,2012-04-15
ipl0266,2012-04-15
ipl0267,2012-04-16
ipl0268,2012-04-17
ipl0269,2012-04-17
ipl0270,2012-04-18
ipl0271,2012-04-19
ipl0272,2012-04-19
ipl0273,2012-04-20
ipl0274,2012-04-21
ipl0275,2012-04-21
ipl0276,2012-04-22
ipl0277,2012-04-22
ipl0278,2012-04-23
ipl0279,2012-04-24
ipl0280,2012-04-25
ipl0281,2012-04-26
ipl0282,2012-04-27
ipl0283,2012-04-28
ipl0284,2012-04-28
ipl0285,2012-04-29
ipl0286,2012-04-29
ipl0287,2012-04-30
ipl0288,2012-05-01
ipl0289,2012-05-01
ipl0290,2012-05-02
ipl0291,2012-05-03
ipl0292,2012-05-04
ipl0293,2012-05-05
ipl0294,2012-05-05
ipl0295,2012-05-06
ipl0296,2012-05-06
ipl0297,2012-05-07
ipl0298,2012-05-08
ipl0299,2012-05-08
ipl0300,2012-05-09
ipl0301,2012-05-10
ipl0302,2012-05-10
ipl0303,2012-05-11
ipl0304,2012-05-12
ipl0305,2012-05-12
ipl0306,2012-05-13
ipl0307,2012-05-13
ipl0308,2012-05-14
ipl0309,2012-05-14
ipl0310,2012-05-15
ipl0311,2012-05-16
ipl0312,2012-05-17
ipl0313,2012-05-17
ipl0314,2012-05-18
ipl0315,2012-05-19
ipl0316,2012-05-19
ipl0317,2012-05-20
ipl0318,2012-05-20
ipl0319,2012-05-22
ipl0320,2012-05-23
ipl0321,2012-05-25
ipl0322,2012-05-27
ipl0323,2013-04-03
ipl0324,2013-04-04
ipl0325,2013-04-05
ipl0326,2013-04-06
ipl0327,2013-04-06
ipl0328,2013-04-07
ipl0329,2013-04-07
ipl0330,2013-04-08
ipl0331,2013-04-09
ipl0332,2013-04-09
ipl0333,2013-04-10
ipl0334,2013-04-11
ipl0335,2013-04-11
ipl0336,2013-04-12
ipl0337,2013-04-13
ipl0338,2013-04-13
ipl0339,2013-04-14
ipl0340,2013-04-14
ipl0341,2013-04-15
ipl0342,2013-04-16
ipl0343,2013-04-16
ipl0344,2013-04-17
ipl0345,2013-04-17
ipl0346,2013-04-18
ipl0347,2013-04-19
ipl0348,2013-04-20
ipl0349,2013-04-20
ipl0350,2013-04-21
ipl0351,2013-04-21
ipl0352,2013-04-22
ipl0353,2013-04-23
ipl0354,2013-04-23
ipl0355,2013-04-24
ipl0356,2013-04-25
ipl0357,2013-04-26
ipl0358,2013-04-27
ipl0359,2013-04-27
ipl0360,2013-04-28
ipl0361,2013-04-28
ipl0362,2013-04-29
ipl0363,2013-04-29
ipl0364,2013-04-30
ipl0365,2013-05-01
ipl0366,2013-05-01
ipl0367,2013-05-02
ipl0368,2013-05-02
ipl0369,2013-05-03
ipl0370,2013-05-04
ipl0371,2013-05-05
ipl0372,2013-05-05
ipl0373,2013-05-06
ipl0374,2013-05-07
ipl0375,2013-05-07
ipl0376,2013-05-08
ipl0377,2013-05-09
ipl0378,2013-05-09
ipl0379,2013-05-10
ipl0380,2013-05-11
ipl0381,2013-05-11
ipl0382,2013-05-12
ipl0383,2013-05-12
ipl0384,2013-05-13
ipl0385,2013-05-14
ipl0386,2013-05-14
ipl0387,2013-05-15
