key,player_of_match
ipl0167,JD Unadkat
ipl0168,R McLaren
ipl0169,A Symonds
ipl0170,MS Dhoni
ipl0171,M Kartik
ipl0172,KA Pollard
ipl0173,DE Bollinger
ipl0174,A Kumble
ipl0175,SK Raina
ipl0176,S Anirudha
ipl0177,AB de Villiers
ipl0178,SK Trivedi
ipl0179,SB Wagh
ipl0180,SL Malinga
ipl0181,JH Kallis
ipl0182,SR Tendulkar
ipl0183,SK Warne
ipl0184,MD Mishra
ipl0185,PC Valthaty
ipl0186,DW Steyn
ipl0187,BB McCullum
ipl0188,G Gambhir
ipl0189,PC Valthaty
ipl0190,MEK Hussey
ipl0191,L Balaji
ipl0192,Yuvraj Singh
ipl0193,BB McCullum
ipl0194,S Sohal
ipl0195,DPMD Jayawardene
ipl0196,MM Patel
ipl0197,SE Marsh
ipl0198,CH Gayle
ipl0199,Harbhajan Singh
ipl0200,DA Warner
ipl0201,SK Warne
ipl0202,SL Malinga
ipl0203,MEK Hussey
ipl0204,V Kohli
ipl0205,I Sharma
ipl0206,DE Bollinger
ipl0207,MK Tiwary
ipl0208,V Kohli
ipl0209,J Botha
ipl0210,Iqbal Abdulla
ipl0211,V Sehwag
ipl0212,JA Morkel
ipl0213,LRPL Taylor
ipl0214,P Parameswaran
ipl0215,KA Pollard
ipl0216,YK Pathan
ipl0217,R Sharma
ipl0218,MEK Hussey
ipl0219,V Sehwag
ipl0220,BJ Hodge
ipl0221,CH Gayle
ipl0222,AT Rayudu
ipl0223,Iqbal Abdulla
ipl0224,R Sharma
ipl0225,CH Gayle
ipl0226,M Vijay
ipl0227,BA Bhatt
ipl0228,MR Marsh
ipl0229,S Aravind
ipl0230,MS Dhoni
ipl0231,KD Karthik
ipl0232,A Mishra
ipl0233,CH Gayle
ipl0234,BJ Hodge
ipl0235,PP Chawla
ipl0236,A Mishra
ipl0237,AC Gilchrist
ipl0238,WP Saha
ipl0239,YK Pathan
ipl0240,SR Watson
ipl0242,S Dhawan
ipl0243,JEC Franklin
ipl0244,CH Gayle
ipl0245,SK Raina
