decision,winner,key
field,Hyderabad (India),sma00115
bat,Jharkhand,sma00116
field,Tamil Nadu,sma00117
bat,Hyderabad (India),sma00118
bat,Odisha,sma00119
bat,Chhattisgarh,sma00120
field,Kerala,sma00121
field,Delhi,sma00122
field,Madhya Pradesh,sma00123
bat,Punjab,sma00124
field,Uttar Pradesh,sma00125
field,Services,sma00126
field,Gujarat,sma00127
bat,Vidarbha,sma00128
bat,Maharashtra,sma00129
bat,Karnataka,sma00130
bat,Assam,sma00131
field,Goa,sma00132
field,Madhya Pradesh,sma00133
field,Hyderabad (India),sma00134
field,Delhi,sma00135
bat,Tripura,sma00136
field,Punjab,sma00137
field,Railways,sma00138
field,Haryana,sma00139
bat,Uttar Pradesh,sma00140
bat,Punjab,sma00141
bat,Odisha,sma00142
field,Bengal,sma00143
field,Services,sma00144
bat,Chhattisgarh,sma00145
field,Punjab,sma00146
field,Jharkhand,sma00147
field,Delhi,sma00148
bat,Baroda,sma00149
bat,Uttar Pradesh,sma00150
field,Rajasthan,sma00151
field,Punjab,sma00152
field,Karnataka,sma00153
bat,Uttar Pradesh,sma00154
bat,Rajasthan,sma00155
field,Jharkhand,sma00156
field,Uttar Pradesh,sma00157
bat,Tamil Nadu,sma00158
bat,Tamil Nadu,sma00159
bat,Mumbai,sma00160
field,Rajasthan,sma00161
field,Uttar Pradesh,sma00162
field,Haryana,sma00163
bat,Services,sma00164
field,Hyderabad (India),sma00165
bat,Tripura,sma00166
field,Mizoram,sma00167
field,Chhattisgarh,sma00168
field,Uttar Pradesh,sma00169
field,Railways,sma00170
field,Tamil Nadu,sma00171
field,Meghalaya,sma00172
field,Jammu & Kashmir,sma00173
bat,Mumbai,sma00174
bat,Kerala,sma00175
field,Delhi,sma00176
field,Services,sma00177
bat,Puducherry,sma00178
bat,Hyderabad (India),sma00179
bat,Baroda,sma00180
bat,Bengal,sma00181
field,Odisha,sma00182
field,Mizoram,sma00183
field,Jharkhand,sma00184
field,Punjab,sma00185
field,Saurashtra,sma00186
field,Vidarbha,sma00187
field,Meghalaya,sma00188
bat,Andhra,sma00189
field,Delhi,sma00190
bat,Sikkim,sma00191
bat,Uttar Pradesh,sma00192
bat,Uttarakhand,sma00193
field,Services,sma00194
field,Baroda,sma00195
bat,Karnataka,sma00196
bat,Mizoram,sma00197
field,Bengal,sma00198
field,Assam,sma00199
field,Saurashtra,sma00200
bat,Madhya Pradesh,sma00201
bat,Bihar,sma00202
bat,Rajasthan,sma00203
field,Himachal,sma00204
bat,Kerala,sma00205
field,Manipur,sma00206
field,Delhi,sma00207
field,Railways,sma00208
bat,Haryana,sma00209
bat,Uttar Pradesh,sma00210
bat,Hyderabad (India),sma00211
field,Services,sma00212
bat,Karnataka,sma00213
bat,Arunachal Pradesh,sma00214
field,Bengal,sma00215
field,Tripura,sma00216
bat,Goa,sma00217
field,Railways,sma00218
bat,Vidarbha,sma00219
bat,Bihar,sma00220
field,Gujarat,sma00221
bat,Nagaland,sma00222
field,Jammu & Kashmir,sma00223
bat,Kerala,sma00224
bat,Sikkim,sma00225
field,Maharashtra,sma00226
bat,Puducherry,sma00227
bat,Bengal,sma00228
bat,Haryana,sma00229
bat,Chhattisgarh,sma00230
field,Odisha,sma00231
field,Mumbai,sma00232
bat,Uttar Pradesh,sma00233
bat,Goa,sma00234
bat,Tamil Nadu,sma00235
field,Meghalaya,sma00236
bat,Gujarat,sma00237
field,Jammu & Kashmir,sma00238
bat,Jharkhand,sma00239
bat,Delhi,sma00240
