team_1,team_2,key
Sikkim,Gujarat,sma00359
Puducherry,Haryana,sma00360
Bengal,Mumbai,sma00361
Railways,Punjab,sma00362
Chhattisgarh,Chandigarh,sma00363
Kerala,Vidarbha,sma00364
Bihar,Baroda,sma00365
Sikkim,Saurashtra,sma00366
Nagaland,Jammu & Kashmir,sma00367
Assam,Puducherry,sma00368
Mumbai,Meghalaya,sma00369
Railways,Chandigarh,sma00370
Himachal,Maharashtra,sma00371
Tripura,Tamil Nadu,sma00372
Bihar,Karnataka,sma00373
Odisha,Gujarat,sma00374
Delhi,Jharkhand,sma00375
Madhya Pradesh,Bengal,sma00376
Mizoram,Haryana,sma00377
Punjab,Chhattisgarh,sma00378
Arunachal Pradesh,Hyderabad (India),sma00379
Manipur,Uttar Pradesh,sma00380
Kerala,Rajasthan,sma00381
Baroda,Services,sma00382
Goa,Andhra,sma00383
Odisha,Nagaland,sma00384
Madhya Pradesh,Haryana,sma00385
Meghalaya,Mizoram,sma00386
Andhra,Services,sma00387
Saurashtra,Jammu & Kashmir,sma00388
Sikkim,Delhi,sma00389
Tamil Nadu,Vidarbha,sma00390
Mumbai,Assam,sma00391
Arunachal Pradesh,Chandigarh,sma00392
Bengal,Puducherry,sma00393
Tripura,Rajasthan,sma00394
Kerala,Uttar Pradesh,sma00395
Karnataka,Goa,sma00396
Bihar,Uttarakhand,sma00397
Himachal,Railways,sma00398
Maharashtra,Punjab,sma00399
Haryana,Meghalaya,sma00400
Assam,Bengal,sma00401
Madhya Pradesh,Puducherry,sma00402
Jammu & Kashmir,Gujarat,sma00403
Delhi,Maharashtra,sma00404
Tamil Nadu,Karnataka,sma00405
Baroda,Delhi,sma00406
Rajasthan,Haryana,sma00407
Karnataka,Jharkhand,sma00408
Mumbai,Tamil Nadu,sma00409
Maharashtra,Baroda,sma00410
Haryana,Delhi,sma00411
Punjab,Karnataka,sma00412
Jharkhand,Mumbai,sma00413
Punjab,Tamil Nadu,sma00414
Baroda,Haryana,sma00415
Maharashtra,Rajasthan,sma00416
Karnataka,Mumbai,sma00417
Mumbai,Punjab,sma00418
Maharashtra,Haryana,sma00419
Rajasthan,Delhi,sma00420
Jharkhand,Tamil Nadu,sma00421
Haryana,Karnataka,sma00422
Karnataka,Tamil Nadu,sma00423
Assam,Hyderabad (India),sma00424
Baroda,Uttarakhand,sma00425
Himachal,Chhattisgarh,sma00426
Gujarat,Maharashtra,sma00427
Odisha,Bengal,sma00428
Tripura,Railways,sma00429
Punjab,Uttar Pradesh,sma00430
Karnataka,Jammu & Kashmir,sma00431
Tamil Nadu,Jharkhand,sma00432
Mizoram,Sikkim,sma00433
Bihar,Arunachal Pradesh,sma00434
Meghalaya,Manipur,sma00435
Puducherry,Kerala,sma00436
Delhi,Mumbai,sma00437
Madhya Pradesh,Goa,sma00438
Services,Saurashtra,sma00439
Andhra,Haryana,sma00440
Vidarbha,Rajasthan,sma00441
Karnataka,Punjab,sma00442
Tripura,Jammu & Kashmir,sma00443
Uttar Pradesh,Railways,sma00444
Assam,Tamil Nadu,sma00445
Chhattisgarh,Maharashtra,sma00446
Gujarat,Uttarakhand,sma00447
Himachal,Baroda,sma00448
Arunachal Pradesh,Nagaland,sma00449
Sikkim,Bihar,sma00450
Chandigarh,Manipur,sma00451
Meghalaya,Mizoram,sma00452
Rajasthan,Madhya Pradesh,sma00453
Andhra,Delhi,sma00454
Services,Goa,sma00455
Saurashtra,Vidarbha,sma00456
Puducherry,Haryana,sma00457
Himachal,Gujarat,sma00458
Maharashtra,Uttarakhand,sma00459
Chhattisgarh,Baroda,sma00460
Jharkhand,Assam,sma00461
Odisha,Tamil Nadu,sma00462
Karnataka,Tripura,sma00463
Punjab,Railways,sma00464
Hyderabad (India),Bengal,sma00465
Madhya Pradesh,Vidarbha,sma00466
Saurashtra,Goa,sma00467
Delhi,Kerala,sma00468
Mumbai,Haryana,sma00469
Andhra,Puducherry,sma00470
