key_id,decision,winner
t20s0332,bat,Netherlands
t20s0333,field,Kenya
t20s0334,bat,Zimbabwe
t20s0335,bat,Bangladesh
t20s0336,field,England
t20s0337,field,New Zealand
t20s0338,bat,Pakistan
t20s0339,bat,England
t20s0340,bat,Pakistan
t20s0341,bat,West Indies
t20s0342,bat,Pakistan
t20s0343,field,Pakistan
t20s0344,field,Sri Lanka
t20s0345,bat,South Africa
t20s0346,bat,South Africa
t20s0347,bat,South Africa
t20s0348,field,Zimbabwe
t20s0349,field,Zimbabwe
t20s0350,bat,England
t20s0351,bat,Australia
t20s0352,field,England
t20s0353,field,England
t20s0354,field,Australia
t20s0355,bat,Bangladesh
t20s0356,bat,South Africa
t20s0357,bat,Afghanistan
t20s0358,field,India
t20s0359,bat,Kenya
t20s0360,field,South Africa
t20s0361,field,South Africa
t20s0362,field,South Africa
t20s0363,bat,New Zealand
t20s0364,bat,Pakistan
t20s0365,bat,Afghanistan
t20s0366,bat,South Africa
t20s0367,bat,Afghanistan
t20s0368,field,Canada
t20s0369,bat,Kenya
t20s0370,field,Pakistan
t20s0371,field,Sri Lanka
t20s0372,bat,Pakistan
t20s0373,field,Netherlands
t20s0374,bat,Netherlands
t20s0375,bat,Afghanistan
t20s0376,bat,Kenya
t20s0377,bat,Scotland
t20s0378,bat,Ireland
t20s0379,bat,Afghanistan
t20s0380,field,Pakistan
t20s0381,field,Pakistan
t20s0382,bat,New Zealand
t20s0383,bat,West Indies
t20s0384,field,Ireland
t20s0385,field,Pakistan
t20s0386,field,Ireland
t20s0387,field,Pakistan
t20s0388,bat,Australia
t20s0389,field,Australia
t20s0390,bat,England
t20s0391,field,Australia
t20s0392,bat,Australia
t20s0393,field,Bangladesh
t20s0394,bat,Bangladesh
t20s0395,bat,West Indies
t20s0396,field,Ireland
t20s0397,bat,West Indies
t20s0398,bat,England
t20s0399,field,Australia
t20s0400,bat,England
t20s0401,field,Australia
t20s0402,field,Hong Kong
t20s0403,field,Bangladesh
t20s0404,bat,United Arab Emirates
t20s0405,field,Ireland
t20s0406,field,Bangladesh
t20s0407,bat,Hong Kong
t20s0408,field,Ireland
t20s0409,bat,Netherlands
t20s0410,field,Hong Kong
t20s0411,field,Afghanistan
t20s0412,field,India
t20s0413,field,Netherlands
t20s0414,field,Zimbabwe
t20s0415,field,New Zealand
t20s0416,bat,Sri Lanka
t20s0417,field,Australia
t20s0418,field,India
t20s0419,field,Australia
t20s0420,bat,Sri Lanka
t20s0421,field,England
t20s0422,field,Sri Lanka
t20s0423,field,New Zealand
t20s0424,bat,New Zealand
t20s0425,field,Bangladesh
t20s0426,bat,India
t20s0427,bat,West Indies
t20s0428,bat,New Zealand
t20s0429,field,England
t20s0430,field,Netherlands
t20s0431,bat,Sri Lanka
t20s0432,field,India
t20s0433,bat,Australia
t20s0434,bat,Australia
t20s0435,bat,South Africa
t20s0436,field,England
t20s0437,field,New Zealand
t20s0438,bat,Sri Lanka
t20s0439,bat,India
t20s0440,field,Australia
t20s0441,bat,Pakistan
t20s0442,bat,New Zealand
t20s0443,bat,Pakistan
t20s0444,field,New Zealand
t20s0445,field,England
t20s0446,bat,West Indies
t20s0447,bat,Bangladesh
t20s0448,bat,West Indies
t20s0449,bat,Bangladesh
t20s0450,bat,India
t20s0451,bat,Sri Lanka
t20s0452,bat,Bangladesh
t20s0453,bat,Pakistan
t20s0454,bat,Australia
t20s0455,bat,Sri Lanka
t20s0456,field,England
t20s0457,bat,South Africa
t20s0458,field,Australia
t20s0459,field,Sri Lanka
t20s0460,field,England
t20s0461,field,New Zealand
t20s0462,field,New Zealand
t20s0463,bat,Bangladesh
t20s0464,bat,Pakistan
t20s0465,bat,Australia
t20s0466,field,England
t20s0467,bat,Pakistan
t20s0468,bat,England
t20s0469,bat,Australia
t20s0470,field,South Africa
t20s0471,bat,England
t20s0472,bat,Pakistan
t20s0473,bat,Sri Lanka
t20s0474,bat,Sri Lanka
t20s0475,bat,Sri Lanka
t20s0476,field,Australia
t20s0477,bat,Australia
t20s0478,bat,West Indies
t20s0479,bat,South Africa
t20s0480,field,Australia
t20s0481,field,Hong Kong
t20s0482,field,Pakistan
t20s0483,field,Pakistan
t20s0484,bat,South Africa
t20s0485,field,West Indies
t20s0486,field,West Indies
t20s0487,bat,Pakistan
t20s0488,bat,Pakistan
t20s0489,field,Pakistan
t20s0490,bat,South Africa
t20s0491,field,South Africa
t20s0492,bat,Pakistan
