winner,by.wickets,key,by.runs,method,result,eliminator
Lahore Qalandars,,psl00248,1.0,,,
Islamabad United,8.0,psl00249,,,,
Multan Sultans,,psl00250,55.0,,,
Quetta Gladiators,,psl00251,16.0,,,
Quetta Gladiators,5.0,psl00252,,,,
Multan Sultans,5.0,psl00253,,,,
Multan Sultans,5.0,psl00254,,,,
Karachi Kings,7.0,psl00255,,,,
Quetta Gladiators,3.0,psl00256,,,,
Peshawar Zalmi,,psl00257,5.0,,,
Karachi Kings,2.0,psl00258,,,,
Multan Sultans,,psl00259,13.0,,,
Peshawar Zalmi,,psl00260,8.0,,,
Peshawar Zalmi,,psl00261,8.0,,,
Multan Sultans,,psl00262,60.0,,,
Islamabad United,7.0,psl00263,,,,
Quetta Gladiators,5.0,psl00264,,,,
Multan Sultans,,psl00265,20.0,,,
Islamabad United,,psl00266,29.0,,,
Peshawar Zalmi,,psl00267,4.0,,,
Lahore Qalandars,,psl00268,17.0,,,
Karachi Kings,7.0,psl00269,,,,
Islamabad United,5.0,psl00270,,,,
Peshawar Zalmi,,psl00271,76.0,,,
Karachi Kings,3.0,psl00272,,,,
Quetta Gladiators,6.0,psl00273,,,,
Islamabad United,3.0,psl00274,,,,
Peshawar Zalmi,,psl00275,2.0,,,
Multan Sultans,,psl00276,79.0,,,
Multan Sultans,7.0,psl00277,,,,
Islamabad United,,psl00278,39.0,,,
Islamabad United,5.0,psl00279,,,,
Islamabad United,2.0,psl00280,,,,
