decision,winner,key
bat,Lahore Qalandars,psl00207
bat,Quetta Gladiators,psl00208
bat,Islamabad United,psl00209
bat,Peshawar Zalmi,psl00210
field,Lahore Qalandars,psl00211
bat,Peshawar Zalmi,psl00212
bat,Lahore Qalandars,psl00213
bat,Lahore Qalandars,psl00214
field,Multan Sultans,psl00215
field,Karachi Kings,psl00216
field,Multan Sultans,psl00217
field,Islamabad United,psl00218
field,Peshawar Zalmi,psl00219
field,Karachi Kings,psl00220
field,Islamabad United,psl00221
field,Lahore Qalandars,psl00222
field,Peshawar Zalmi,psl00223
field,Quetta Gladiators,psl00224
field,Karachi Kings,psl00225
field,Islamabad United,psl00226
bat,Islamabad United,psl00227
field,Multan Sultans,psl00228
bat,Lahore Qalandars,psl00229
bat,Lahore Qalandars,psl00230
field,Karachi Kings,psl00231
field,Quetta Gladiators,psl00232
bat,Karachi Kings,psl00233
bat,Lahore Qalandars,psl00234
field,Islamabad United,psl00235
field,Quetta Gladiators,psl00236
field,Islamabad United,psl00237
bat,Peshawar Zalmi,psl00238
bat,Peshawar Zalmi,psl00239
bat,Lahore Qalandars,psl00240
bat,Peshawar Zalmi,psl00241
field,Quetta Gladiators,psl00242
bat,Karachi Kings,psl00243
field,Islamabad United,psl00244
bat,Multan Sultans,psl00245
field,Islamabad United,psl00246
bat,Peshawar Zalmi,psl00247
bat,Lahore Qalandars,psl00248
field,Islamabad United,psl00249
field,Karachi Kings,psl00250
field,Peshawar Zalmi,psl00251
bat,Lahore Qalandars,psl00252
field,Multan Sultans,psl00253
bat,Lahore Qalandars,psl00254
field,Karachi Kings,psl00255
field,Quetta Gladiators,psl00256
bat,Peshawar Zalmi,psl00257
field,Karachi Kings,psl00258
field,Quetta Gladiators,psl00259
field,Lahore Qalandars,psl00260
field,Islamabad United,psl00261
bat,Multan Sultans,psl00262
field,Islamabad United,psl00263
field,Quetta Gladiators,psl00264
bat,Multan Sultans,psl00265
field,Peshawar Zalmi,psl00266
bat,Peshawar Zalmi,psl00267
field,Islamabad United,psl00268
field,Karachi Kings,psl00269
field,Islamabad United,psl00270
field,Quetta Gladiators,psl00271
field,Karachi Kings,psl00272
bat,Lahore Qalandars,psl00273
field,Islamabad United,psl00274
bat,Peshawar Zalmi,psl00275
field,Quetta Gladiators,psl00276
bat,Peshawar Zalmi,psl00277
bat,Islamabad United,psl00278
field,Islamabad United,psl00279
bat,Multan Sultans,psl00280
