key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
msl0001,1,Cape Town Blitz,12.6,Mohammad Nawaz (3),L Sipamla,K Verreynne,2,0,0,2,,,,,,12,6
msl0001,1,Cape Town Blitz,13.1,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),4,0,0,4,,,,,,13,1
msl0001,1,Cape Town Blitz,13.2,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),4,0,0,4,,,,,,13,2
msl0001,1,Cape Town Blitz,13.3,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),1,0,0,1,,,,,,13,3
msl0001,1,Cape Town Blitz,13.4,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,4,0,0,4,,,,,,13,4
msl0001,1,Cape Town Blitz,13.5,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,0,0,0,0,,,,,,13,5
msl0001,1,Cape Town Blitz,13.6,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,1,0,0,1,,,,,,13,6
msl0001,1,Cape Town Blitz,14.1,Mohammad Nawaz (3),L Sipamla,K Verreynne,1,0,0,1,,,,,,14,1
msl0001,1,Cape Town Blitz,14.2,K Verreynne,L Sipamla,Mohammad Nawaz (3),6,0,0,6,,,,,,14,2
msl0001,1,Cape Town Blitz,14.3,K Verreynne,L Sipamla,Mohammad Nawaz (3),1,0,0,1,,,,,,14,3
msl0001,1,Cape Town Blitz,14.4,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,0,0,0,,,,,,14,4
msl0001,1,Cape Town Blitz,14.5,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,1,0,1,,,,legbyes,1.0,14,5
msl0001,1,Cape Town Blitz,14.6,K Verreynne,L Sipamla,Mohammad Nawaz (3),4,0,0,4,,,,,,14,6
msl0001,1,Cape Town Blitz,15.1,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,15,1
msl0001,1,Cape Town Blitz,15.2,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,15,2
msl0001,1,Cape Town Blitz,15.3,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,4,0,0,4,,,,,,15,3
msl0001,1,Cape Town Blitz,15.4,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,1,0,0,1,,,,,,15,4
msl0001,1,Cape Town Blitz,15.5,K Verreynne,BMAJ Mendis,Mohammad Nawaz (3),1,0,0,1,,,,,,15,5
msl0001,1,Cape Town Blitz,15.6,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,2,0,0,2,,,,,,15,6
msl0001,1,Cape Town Blitz,16.1,K Verreynne,ACR Birch,Mohammad Nawaz (3),4,0,0,4,,,,,,16,1
msl0001,1,Cape Town Blitz,16.2,K Verreynne,ACR Birch,Mohammad Nawaz (3),3,0,0,3,,,,,,16,2
msl0001,1,Cape Town Blitz,16.3,Mohammad Nawaz (3),ACR Birch,K Verreynne,1,0,0,1,,,,,,16,3
msl0001,1,Cape Town Blitz,16.4,K Verreynne,ACR Birch,Mohammad Nawaz (3),1,0,0,1,,,,,,16,4
msl0001,1,Cape Town Blitz,16.5,Mohammad Nawaz (3),ACR Birch,K Verreynne,2,0,0,2,,,,,,16,5
msl0001,1,Cape Town Blitz,16.6,Mohammad Nawaz (3),ACR Birch,K Verreynne,0,0,0,0,,,,,,16,6
msl0001,1,Cape Town Blitz,17.1,K Verreynne,R Frylinck,Mohammad Nawaz (3),1,0,0,1,,,,,,17,1
msl0001,1,Cape Town Blitz,17.2,Mohammad Nawaz (3),R Frylinck,K Verreynne,2,0,0,2,,,,,,17,2
msl0001,1,Cape Town Blitz,17.3,Mohammad Nawaz (3),R Frylinck,K Verreynne,1,0,0,1,,,,,,17,3
msl0001,1,Cape Town Blitz,17.4,K Verreynne,R Frylinck,Mohammad Nawaz (3),1,0,0,1,,,,,,17,4
msl0001,1,Cape Town Blitz,17.5,Mohammad Nawaz (3),R Frylinck,K Verreynne,4,0,0,4,,,,,,17,5
msl0001,1,Cape Town Blitz,17.6,Mohammad Nawaz (3),R Frylinck,K Verreynne,1,0,0,1,,,,,,17,6
msl0001,1,Cape Town Blitz,18.1,Mohammad Nawaz (3),ACR Birch,K Verreynne,6,0,0,6,,,,,,18,1
msl0001,1,Cape Town Blitz,18.2,Mohammad Nawaz (3),ACR Birch,K Verreynne,1,0,0,1,,,,,,18,2
msl0001,1,Cape Town Blitz,18.3,K Verreynne,ACR Birch,Mohammad Nawaz (3),1,0,0,1,,,,,,18,3
msl0001,1,Cape Town Blitz,18.4,Mohammad Nawaz (3),ACR Birch,K Verreynne,0,0,0,0,L Sipamla,caught,Mohammad Nawaz (3),,,18,4
msl0001,1,Cape Town Blitz,18.5,K Verreynne,ACR Birch,GF Linde,0,0,0,0,,,,,,18,5
msl0001,1,Cape Town Blitz,18.6,K Verreynne,ACR Birch,GF Linde,1,0,0,1,,,,,,18,6
msl0001,1,Cape Town Blitz,19.1,K Verreynne,R Frylinck,GF Linde,1,0,0,1,,,,,,19,1
msl0001,1,Cape Town Blitz,19.2,GF Linde,R Frylinck,K Verreynne,1,0,0,1,,,,,,19,2
msl0001,1,Cape Town Blitz,19.3,K Verreynne,R Frylinck,GF Linde,1,0,0,1,,,,,,19,3
msl0001,1,Cape Town Blitz,19.4,GF Linde,R Frylinck,K Verreynne,2,0,0,2,,,,,,19,4
msl0001,1,Cape Town Blitz,19.5,GF Linde,R Frylinck,K Verreynne,4,0,0,4,,,,,,19,5
msl0001,1,Cape Town Blitz,19.6,GF Linde,R Frylinck,K Verreynne,6,0,0,6,,,,,,19,6
msl0001,2,Tshwane Spartans,0.1,GL Cloete,DL Piedt,T de Zorzi,0,0,0,0,,,,,,0,1
msl0001,2,Tshwane Spartans,0.2,GL Cloete,DL Piedt,T de Zorzi,0,0,0,0,,,,,,0,2
msl0001,2,Tshwane Spartans,0.3,GL Cloete,DL Piedt,T de Zorzi,1,0,0,1,,,,,,0,3
msl0001,2,Tshwane Spartans,0.4,T de Zorzi,DL Piedt,GL Cloete,0,0,0,0,,,,,,0,4
msl0001,2,Tshwane Spartans,0.5,T de Zorzi,DL Piedt,GL Cloete,2,0,0,2,,,,,,0,5
msl0001,2,Tshwane Spartans,0.6,T de Zorzi,DL Piedt,GL Cloete,1,0,0,1,,,,,,0,6
msl0001,2,Tshwane Spartans,1.1,T de Zorzi,A Nortje,GL Cloete,0,0,0,0,,,,,,1,1
msl0001,2,Tshwane Spartans,1.2,T de Zorzi,A Nortje,GL Cloete,1,0,0,1,,,,,,1,2
msl0001,2,Tshwane Spartans,1.3,GL Cloete,A Nortje,T de Zorzi,0,0,0,0,,,,,,1,3
msl0001,2,Tshwane Spartans,1.4,GL Cloete,A Nortje,T de Zorzi,0,0,0,0,,,,,,1,4
msl0001,2,Tshwane Spartans,1.5,GL Cloete,A Nortje,T de Zorzi,0,0,0,0,,,,,,1,5
msl0001,2,Tshwane Spartans,1.6,GL Cloete,A Nortje,T de Zorzi,0,0,0,0,,,,,,1,6
msl0001,2,Tshwane Spartans,2.1,T de Zorzi,DL Piedt,GL Cloete,0,0,0,0,GF Linde,caught,T de Zorzi,,,2,1
msl0001,2,Tshwane Spartans,2.2,D Elgar,DL Piedt,GL Cloete,0,0,0,0,,,,,,2,2
msl0001,2,Tshwane Spartans,2.3,D Elgar,DL Piedt,GL Cloete,0,0,0,0,,,,,,2,3
msl0001,2,Tshwane Spartans,2.4,D Elgar,DL Piedt,GL Cloete,4,0,0,4,,,,,,2,4
msl0001,2,Tshwane Spartans,2.5,D Elgar,DL Piedt,GL Cloete,1,0,0,1,,,,,,2,5
msl0001,2,Tshwane Spartans,2.6,GL Cloete,DL Piedt,D Elgar,1,0,0,1,,,,,,2,6
msl0001,2,Tshwane Spartans,3.1,GL Cloete,MP Siboto,D Elgar,1,0,0,1,,,,,,3,1
msl0001,2,Tshwane Spartans,3.2,D Elgar,MP Siboto,GL Cloete,4,0,0,4,,,,,,3,2
msl0001,2,Tshwane Spartans,3.3,D Elgar,MP Siboto,GL Cloete,0,0,0,0,,,,,,3,3
msl0001,2,Tshwane Spartans,3.4,D Elgar,MP Siboto,GL Cloete,1,0,0,1,,,,,,3,4
msl0001,2,Tshwane Spartans,3.5,GL Cloete,MP Siboto,D Elgar,0,0,0,0,,,,,,3,5
msl0001,2,Tshwane Spartans,3.6,GL Cloete,MP Siboto,D Elgar,0,0,0,0,,,,,,3,6
msl0001,2,Tshwane Spartans,4.1,D Elgar,A Nortje,GL Cloete,0,0,0,0,,,,,,4,1
msl0001,2,Tshwane Spartans,4.2,D Elgar,A Nortje,GL Cloete,4,0,0,4,,,,,,4,2
msl0001,2,Tshwane Spartans,4.3,D Elgar,A Nortje,GL Cloete,4,0,0,4,,,,,,4,3
