match_number,name,key,stage
41.0,Indian Premier League,ipl00287,nan
42.0,Indian Premier League,ipl00288,nan
43.0,Indian Premier League,ipl00289,nan
44.0,Indian Premier League,ipl00290,nan
45.0,Indian Premier League,ipl00291,nan
46.0,Indian Premier League,ipl00292,nan
47.0,Indian Premier League,ipl00293,nan
48.0,Indian Premier League,ipl00294,nan
49.0,Indian Premier League,ipl00295,nan
50.0,Indian Premier League,ipl00296,nan
51.0,Indian Premier League,ipl00297,nan
53.0,Indian Premier League,ipl00298,nan
52.0,Indian Premier League,ipl00299,nan
54.0,Indian Premier League,ipl00300,nan
55.0,Indian Premier League,ipl00301,nan
56.0,Indian Premier League,ipl00302,nan
57.0,Indian Premier League,ipl00303,nan
58.0,Indian Premier League,ipl00304,nan
59.0,Indian Premier League,ipl00305,nan
60.0,Indian Premier League,ipl00306,nan
61.0,Indian Premier League,ipl00307,nan
62.0,Indian Premier League,ipl00308,nan
63.0,Indian Premier League,ipl00309,nan
64.0,Indian Premier League,ipl00310,nan
65.0,Indian Premier League,ipl00311,nan
67.0,Indian Premier League,ipl00312,nan
66.0,Indian Premier League,ipl00313,nan
68.0,Indian Premier League,ipl00314,nan
70.0,Indian Premier League,ipl00315,nan
69.0,Indian Premier League,ipl00316,nan
71.0,Indian Premier League,ipl00317,nan
72.0,Indian Premier League,ipl00318,nan
,Indian Premier League,ipl00319,Qualifier 1
,Indian Premier League,ipl00320,Elimination Final
,Indian Premier League,ipl00321,Qualifier 2
,Indian Premier League,ipl00322,Final
1.0,Indian Premier League,ipl00323,nan
2.0,Indian Premier League,ipl00324,nan
3.0,Indian Premier League,ipl00325,nan
4.0,Indian Premier League,ipl00326,nan
5.0,Indian Premier League,ipl00327,nan
7.0,Indian Premier League,ipl00328,nan
6.0,Indian Premier League,ipl00329,nan
8.0,Indian Premier League,ipl00330,nan
10.0,Indian Premier League,ipl00331,nan
9.0,Indian Premier League,ipl00332,nan
11.0,Indian Premier League,ipl00333,nan
12.0,Indian Premier League,ipl00334,nan
13.0,Indian Premier League,ipl00335,nan
14.0,Indian Premier League,ipl00336,nan
15.0,Indian Premier League,ipl00337,nan
16.0,Indian Premier League,ipl00338,nan
17.0,Indian Premier League,ipl00339,nan
18.0,Indian Premier League,ipl00340,nan
19.0,Indian Premier League,ipl00341,nan
20.0,Indian Premier League,ipl00342,nan
21.0,Indian Premier League,ipl00343,nan
23.0,Indian Premier League,ipl00344,nan
