winner,by.runs,key,by.wickets,method,eliminator,result
Delhi Daredevils,,ipl00087,9.0,,,
Deccan Chargers,19.0,ipl00088,,,,
Rajasthan Royals,,ipl00089,7.0,,,
Chennai Super Kings,12.0,ipl00090,,D/L,,
Delhi Daredevils,,ipl00091,7.0,,,
Kings XI Punjab,,ipl00092,3.0,,,
Chennai Super Kings,,ipl00093,7.0,,,
Delhi Daredevils,,ipl00094,7.0,,,
Mumbai Indians,16.0,ipl00095,,,,
Deccan Chargers,53.0,ipl00096,,,,
Royal Challengers Bangalore,,ipl00097,6.0,,,
Mumbai Indians,,ipl00098,8.0,,,
Delhi Daredevils,12.0,ipl00099,,,,
Royal Challengers Bangalore,,ipl00100,2.0,,,
Rajasthan Royals,2.0,ipl00101,,,,
Kings XI Punjab,,ipl00102,6.0,,,
Deccan Chargers,,ipl00103,6.0,,,
Chennai Super Kings,,ipl00104,7.0,,,
Delhi Daredevils,14.0,ipl00105,,,,
Kings XI Punjab,1.0,ipl00106,,,,
Kolkata Knight Riders,,ipl00107,7.0,,,
Royal Challengers Bangalore,,ipl00108,7.0,,,
Kolkata Knight Riders,,ipl00109,4.0,,,
Chennai Super Kings,24.0,ipl00110,,,,
Delhi Daredevils,,ipl00111,4.0,,,
Royal Challengers Bangalore,12.0,ipl00112,,,,
Deccan Chargers,,ipl00113,6.0,,,
Royal Challengers Bangalore,,ipl00114,6.0,,,
Deccan Chargers,6.0,ipl00115,,,,
Kolkata Knight Riders,11.0,ipl00116,,,,
Mumbai Indians,4.0,ipl00117,,,,
Delhi Daredevils,,ipl00118,5.0,,,
Kolkata Knight Riders,,ipl00119,7.0,,,
Deccan Chargers,31.0,ipl00120,,,,
Delhi Daredevils,,ipl00121,6.0,,,
Chennai Super Kings,55.0,ipl00122,,,,
Royal Challengers Bangalore,,ipl00123,8.0,,,
Mumbai Indians,98.0,ipl00124,,,,
Royal Challengers Bangalore,,ipl00125,10.0,,,
Chennai Super Kings,,ipl00126,5.0,,,
Deccan Chargers,6.0,ipl00127,,,,
Rajasthan Royals,34.0,ipl00128,,,,
Royal Challengers Bangalore,,ipl00129,7.0,,,
Deccan Chargers,10.0,ipl00130,,,,
,,ipl00131,,,Kings XI Punjab,tie
Mumbai Indians,,ipl00132,7.0,,,
Royal Challengers Bangalore,36.0,ipl00133,,,,
Rajasthan Royals,31.0,ipl00134,,,,
Delhi Daredevils,17.0,ipl00135,,,,
Mumbai Indians,,ipl00136,5.0,,,
Rajasthan Royals,,ipl00137,8.0,,,
Kolkata Knight Riders,39.0,ipl00138,,,,
Rajasthan Royals,17.0,ipl00139,,,,
Mumbai Indians,41.0,ipl00140,,,,
Delhi Daredevils,40.0,ipl00141,,,,
Mumbai Indians,,ipl00142,4.0,,,
Delhi Daredevils,67.0,ipl00143,,,,
Chennai Super Kings,,ipl00144,5.0,,,
Kolkata Knight Riders,24.0,ipl00145,,,,
Royal Challengers Bangalore,,ipl00146,6.0,,,
Chennai Super Kings,23.0,ipl00147,,,,
Mumbai Indians,63.0,ipl00148,,,,
Kings XI Punjab,,ipl00149,8.0,,,
Delhi Daredevils,37.0,ipl00150,,,,
Rajasthan Royals,2.0,ipl00151,,,,
Chennai Super Kings,24.0,ipl00152,,,,
Rajasthan Royals,,ipl00153,9.0,,,
Kolkata Knight Riders,14.0,ipl00154,,,,
Deccan Chargers,,ipl00155,7.0,,,
Kings XI Punjab,,ipl00156,6.0,,,
Deccan Chargers,,ipl00157,6.0,,,
Royal Challengers Bangalore,,ipl00158,7.0,,,
Kings XI Punjab,,ipl00159,7.0,,,
Mumbai Indians,37.0,ipl00160,,,,
Deccan Chargers,13.0,ipl00161,,,,
Mumbai Indians,39.0,ipl00162,,,,
Chennai Super Kings,,ipl00163,9.0,,,
Royal Challengers Bangalore,,ipl00164,5.0,,,
Delhi Daredevils,,ipl00165,6.0,,,
Deccan Chargers,,ipl00166,5.0,,,
Mumbai Indians,57.0,ipl00167,,,,
Kolkata Knight Riders,,ipl00168,8.0,,,
Chennai Super Kings,,ipl00169,6.0,,,
Deccan Chargers,11.0,ipl00170,,,,
Kolkata Knight Riders,,ipl00171,9.0,,,
Mumbai Indians,35.0,ipl00172,,,,
Chennai Super Kings,38.0,ipl00173,,,,
Royal Challengers Bangalore,,ipl00174,9.0,,,
Chennai Super Kings,22.0,ipl00175,,,,
Chennai Super Kings,2.0,ipl00176,,,,
Rajasthan Royals,,ipl00177,8.0,,,
Royal Challengers Bangalore,,ipl00178,6.0,,,
Mumbai Indians,,ipl00179,8.0,,,
Pune Warriors,,ipl00180,7.0,,,
Kolkata Knight Riders,9.0,ipl00181,,,,
Rajasthan Royals,,ipl00182,6.0,,,
Mumbai Indians,,ipl00183,9.0,,,
Kings XI Punjab,,ipl00184,6.0,,,
Pune Warriors,,ipl00185,4.0,,,
Deccan Chargers,33.0,ipl00186,,,,
Kochi Tuskers Kerala,,ipl00187,8.0,,,
Kolkata Knight Riders,,ipl00188,9.0,,,
Kings XI Punjab,,ipl00189,8.0,,,
Chennai Super Kings,21.0,ipl00190,,,,
Kolkata Knight Riders,,ipl00191,8.0,,,
Delhi Daredevils,,ipl00192,3.0,,,
Kochi Tuskers Kerala,,ipl00193,7.0,D/L,,
Deccan Chargers,16.0,ipl00194,,,,
Mumbai Indians,,ipl00195,7.0,,,
Kochi Tuskers Kerala,6.0,ipl00196,,,,
Kings XI Punjab,48.0,ipl00197,,,,
Mumbai Indians,8.0,ipl00198,,,,
