winner,by.runs,key,by.wickets,method,eliminator,result
Royal Challengers Bangalore,82.0,ipl00567,,D/L,,
Gujarat Lions,,ipl00568,6.0,,,
Delhi Daredevils,,ipl00569,6.0,,,
Rising Pune Supergiants,,ipl00570,4.0,,,
Gujarat Lions,,ipl00571,6.0,,,
Kolkata Knight Riders,22.0,ipl00572,,,,
Royal Challengers Bangalore,,ipl00573,6.0,,,
Royal Challengers Bangalore,,ipl00574,4.0,,,
Sunrisers Hyderabad,22.0,ipl00575,,,,
Sunrisers Hyderabad,,ipl00576,4.0,,,
Sunrisers Hyderabad,8.0,ipl00577,,,,
Sunrisers Hyderabad,35.0,ipl00578,,,,
Rising Pune Supergiant,,ipl00579,7.0,,,
Kolkata Knight Riders,,ipl00580,10.0,,,
Kings XI Punjab,,ipl00581,6.0,,,
Royal Challengers Bangalore,15.0,ipl00582,,,,
Sunrisers Hyderabad,,ipl00583,9.0,,,
Mumbai Indians,,ipl00584,4.0,,,
Kings XI Punjab,,ipl00585,8.0,,,
Delhi Daredevils,97.0,ipl00586,,,,
Mumbai Indians,,ipl00587,4.0,,,
Kolkata Knight Riders,,ipl00588,8.0,,,
Mumbai Indians,,ipl00589,4.0,,,
Gujarat Lions,,ipl00590,7.0,,,
Delhi Daredevils,51.0,ipl00591,,,,
Kolkata Knight Riders,17.0,ipl00592,,,,
Mumbai Indians,,ipl00593,6.0,,,
Rising Pune Supergiant,27.0,ipl00594,,,,
Kolkata Knight Riders,,ipl00595,4.0,,,
Sunrisers Hyderabad,5.0,ipl00596,,,,
Royal Challengers Bangalore,21.0,ipl00597,,,,
Sunrisers Hyderabad,15.0,ipl00598,,,,
Mumbai Indians,,ipl00599,8.0,,,
Gujarat Lions,,ipl00600,4.0,,,
Mumbai Indians,14.0,ipl00601,,,,
Rising Pune Supergiant,,ipl00602,6.0,,,
Kings XI Punjab,26.0,ipl00603,,,,
Kolkata Knight Riders,82.0,ipl00604,,,,
Rising Pune Supergiant,3.0,ipl00605,,,,
Kolkata Knight Riders,,ipl00606,7.0,,,
Gujarat Lions,,ipl00607,7.0,,,
Sunrisers Hyderabad,26.0,ipl00608,,,,
Kolkata Knight Riders,,ipl00609,7.0,,,
Rising Pune Supergiant,61.0,ipl00610,,,,
,,ipl00611,,,Mumbai Indians,tie
Kings XI Punjab,,ipl00612,10.0,,,
Sunrisers Hyderabad,48.0,ipl00613,,,,
Mumbai Indians,,ipl00614,5.0,,,
Rising Pune Supergiant,,ipl00615,5.0,,,
Delhi Daredevils,,ipl00616,6.0,,,
Rising Pune Supergiant,,ipl00617,4.0,,,
Delhi Daredevils,,ipl00618,7.0,,,
Kings XI Punjab,19.0,ipl00619,,,,
Rising Pune Supergiant,12.0,ipl00620,,,,
Mumbai Indians,146.0,ipl00621,,,,
Gujarat Lions,,ipl00622,6.0,,,
Kolkata Knight Riders,,ipl00623,6.0,,,
Sunrisers Hyderabad,,ipl00624,7.0,,,
Kings XI Punjab,14.0,ipl00625,,,,
Delhi Daredevils,,ipl00626,2.0,,,
Kings XI Punjab,7.0,ipl00627,,,,
Delhi Daredevils,7.0,ipl00628,,,,
Sunrisers Hyderabad,,ipl00629,8.0,,,
Mumbai Indians,9.0,ipl00630,,,,
Rising Pune Supergiant,,ipl00631,9.0,,,
Royal Challengers Bangalore,10.0,ipl00632,,,,
Rising Pune Supergiant,20.0,ipl00633,,,,
Kolkata Knight Riders,,ipl00634,7.0,D/L,,
Mumbai Indians,,ipl00635,6.0,,,
Mumbai Indians,1.0,ipl00636,,,,
Chennai Super Kings,,ipl00637,1.0,,,
Kolkata Knight Riders,,ipl00638,4.0,,,
Kings XI Punjab,,ipl00639,6.0,,,
Sunrisers Hyderabad,,ipl00640,9.0,,,
Chennai Super Kings,,ipl00641,5.0,,,
Rajasthan Royals,10.0,ipl00642,,D/L,,
Sunrisers Hyderabad,,ipl00643,1.0,,,
Royal Challengers Bangalore,,ipl00644,4.0,,,
Delhi Daredevils,,ipl00645,7.0,,,
Sunrisers Hyderabad,,ipl00646,5.0,,,
Rajasthan Royals,19.0,ipl00647,,,,
Kings XI Punjab,4.0,ipl00648,,,,
Kolkata Knight Riders,71.0,ipl00649,,,,
Mumbai Indians,46.0,ipl00650,,,,
Kolkata Knight Riders,,ipl00651,7.0,,,
Kings XI Punjab,15.0,ipl00652,,,,
Chennai Super Kings,64.0,ipl00653,,,,
Kings XI Punjab,,ipl00654,9.0,D/L,,
Royal Challengers Bangalore,,ipl00655,6.0,,,
Rajasthan Royals,,ipl00656,3.0,,,
Chennai Super Kings,4.0,ipl00657,,,,
Kings XI Punjab,4.0,ipl00658,,,,
Sunrisers Hyderabad,31.0,ipl00659,,,,
Chennai Super Kings,,ipl00660,5.0,,,
Sunrisers Hyderabad,13.0,ipl00661,,,,
Delhi Daredevils,55.0,ipl00662,,,,
Mumbai Indians,,ipl00663,8.0,,,
Kolkata Knight Riders,,ipl00664,6.0,,,
Sunrisers Hyderabad,11.0,ipl00665,,,,
Chennai Super Kings,13.0,ipl00666,,,,
Royal Challengers Bangalore,14.0,ipl00667,,,,
Delhi Daredevils,4.0,ipl00668,,D/L,,
Kolkata Knight Riders,,ipl00669,6.0,,,
Mumbai Indians,,ipl00670,6.0,,,
Sunrisers Hyderabad,,ipl00671,7.0,,,
Chennai Super Kings,,ipl00672,6.0,,,
Kings XI Punjab,,ipl00673,6.0,,,
Mumbai Indians,13.0,ipl00674,,,,
Sunrisers Hyderabad,5.0,ipl00675,,,,
Rajasthan Royals,15.0,ipl00676,,,,
Mumbai Indians,102.0,ipl00677,,,,
Sunrisers Hyderabad,,ipl00678,9.0,,,
Rajasthan Royals,,ipl00679,4.0,,,
Kolkata Knight Riders,31.0,ipl00680,,,,
Royal Challengers Bangalore,,ipl00681,5.0,,,
Chennai Super Kings,,ipl00682,8.0,,,
Rajasthan Royals,,ipl00683,7.0,,,
Royal Challengers Bangalore,,ipl00684,10.0,,,
Kolkata Knight Riders,,ipl00685,6.0,,,
Mumbai Indians,3.0,ipl00686,,,,
Royal Challengers Bangalore,14.0,ipl00687,,,,
Delhi Daredevils,34.0,ipl00688,,,,
Kolkata Knight Riders,,ipl00689,5.0,,,
Rajasthan Royals,30.0,ipl00690,,,,
Delhi Daredevils,11.0,ipl00691,,,,
Chennai Super Kings,,ipl00692,5.0,,,
Chennai Super Kings,,ipl00693,2.0,,,
Kolkata Knight Riders,25.0,ipl00694,,,,
Sunrisers Hyderabad,14.0,ipl00695,,,,
Chennai Super Kings,,ipl00696,8.0,,,
Chennai Super Kings,,ipl00697,7.0,,,
Kolkata Knight Riders,,ipl00698,6.0,,,
Delhi Capitals,37.0,ipl00699,,,,
Kings XI Punjab,14.0,ipl00700,,,,
Chennai Super Kings,,ipl00701,6.0,,,
Kolkata Knight Riders,28.0,ipl00702,,,,
Mumbai Indians,6.0,ipl00703,,,,
Sunrisers Hyderabad,,ipl00704,5.0,,,
,,ipl00705,,,Delhi Capitals,tie
Kings XI Punjab,,ipl00706,8.0,,,
Sunrisers Hyderabad,118.0,ipl00707,,,,
Chennai Super Kings,8.0,ipl00708,,,,
Kings XI Punjab,14.0,ipl00709,,,,
Rajasthan Royals,,ipl00710,7.0,,,
Mumbai Indians,37.0,ipl00711,,,,
Sunrisers Hyderabad,,ipl00712,5.0,,,
Kolkata Knight Riders,,ipl00713,5.0,,,
Chennai Super Kings,22.0,ipl00714,,,,
Mumbai Indians,40.0,ipl00715,,,,
Delhi Capitals,,ipl00716,4.0,,,
Kolkata Knight Riders,,ipl00717,8.0,,,
Kings XI Punjab,,ipl00718,6.0,,,
Chennai Super Kings,,ipl00719,7.0,,,
Mumbai Indians,,ipl00720,3.0,,,
Chennai Super Kings,,ipl00721,4.0,,,
Delhi Capitals,,ipl00722,7.0,,,
Rajasthan Royals,,ipl00723,4.0,,,
Royal Challengers Bangalore,,ipl00724,8.0,,,
Chennai Super Kings,,ipl00725,5.0,,,
Delhi Capitals,39.0,ipl00726,,,,
Mumbai Indians,,ipl00727,5.0,,,
Kings XI Punjab,12.0,ipl00728,,,,
Sunrisers Hyderabad,,ipl00729,6.0,,,
Mumbai Indians,40.0,ipl00730,,,,
Royal Challengers Bangalore,10.0,ipl00731,,,,
Rajasthan Royals,,ipl00732,5.0,,,
Delhi Capitals,,ipl00733,5.0,,,
Royal Challengers Bangalore,1.0,ipl00734,,,,
Sunrisers Hyderabad,,ipl00735,9.0,,,
Delhi Capitals,,ipl00736,6.0,,,
Chennai Super Kings,,ipl00737,6.0,,,
Royal Challengers Bangalore,17.0,ipl00738,,,,
Rajasthan Royals,,ipl00739,3.0,,,
Mumbai Indians,46.0,ipl00740,,,,
Rajasthan Royals,,ipl00741,7.0,,,
Delhi Capitals,16.0,ipl00742,,,,
Kolkata Knight Riders,34.0,ipl00743,,,,
Sunrisers Hyderabad,45.0,ipl00744,,,,
,,ipl00745,,,,no result
Chennai Super Kings,80.0,ipl00746,,,,
,,ipl00747,,,Mumbai Indians,tie
Kolkata Knight Riders,,ipl00748,7.0,,,
Royal Challengers Bangalore,,ipl00749,4.0,,,
Delhi Capitals,,ipl00750,5.0,,,
Kings XI Punjab,,ipl00751,6.0,,,
Mumbai Indians,,ipl00752,9.0,,,
Mumbai Indians,,ipl00753,6.0,,,
Delhi Capitals,,ipl00754,2.0,,,
Chennai Super Kings,,ipl00755,6.0,,,
Mumbai Indians,1.0,ipl00756,,,,
Chennai Super Kings,,ipl00757,5.0,,,
,,ipl00758,,,Delhi Capitals,tie
Royal Challengers Bangalore,10.0,ipl00759,,,,
Rajasthan Royals,16.0,ipl00760,,,,
Mumbai Indians,49.0,ipl00761,,,,
Kings XI Punjab,97.0,ipl00762,,,,
Delhi Capitals,44.0,ipl00763,,,,
Kolkata Knight Riders,,ipl00764,7.0,,,
Rajasthan Royals,,ipl00765,4.0,,,
,,ipl00766,,,Royal Challengers Bangalore,tie
Sunrisers Hyderabad,15.0,ipl00767,,,,
Kolkata Knight Riders,37.0,ipl00768,,,,
Mumbai Indians,48.0,ipl00769,,,,
Sunrisers Hyderabad,7.0,ipl00770,,,,
Delhi Capitals,18.0,ipl00771,,,,
Royal Challengers Bangalore,,ipl00772,8.0,,,
Mumbai Indians,34.0,ipl00773,,,,
Chennai Super Kings,,ipl00774,10.0,,,
Delhi Capitals,59.0,ipl00775,,,,
Mumbai Indians,57.0,ipl00776,,,,
Kolkata Knight Riders,10.0,ipl00777,,,,
Sunrisers Hyderabad,69.0,ipl00778,,,,
Delhi Capitals,46.0,ipl00779,,,,
Kolkata Knight Riders,2.0,ipl00780,,,,
Royal Challengers Bangalore,37.0,ipl00781,,,,
Rajasthan Royals,,ipl00782,5.0,,,
Mumbai Indians,,ipl00783,5.0,,,
Royal Challengers Bangalore,82.0,ipl00784,,,,
Chennai Super Kings,20.0,ipl00785,,,,
Delhi Capitals,13.0,ipl00786,,,,
Kings XI Punjab,,ipl00787,8.0,,,
Mumbai Indians,,ipl00788,8.0,,,
Delhi Capitals,,ipl00789,5.0,,,
Royal Challengers Bangalore,,ipl00790,7.0,,,
,,ipl00791,,,Kolkata Knight Riders,tie
,,ipl00792,,,Kings XI Punjab,tie
Rajasthan Royals,,ipl00793,7.0,,,
Kings XI Punjab,,ipl00794,5.0,,,
Royal Challengers Bangalore,,ipl00795,8.0,,,
Sunrisers Hyderabad,,ipl00796,8.0,,,
Mumbai Indians,,ipl00797,10.0,,,
Kolkata Knight Riders,59.0,ipl00798,,,,
Kings XI Punjab,12.0,ipl00799,,,,
Chennai Super Kings,,ipl00800,8.0,,,
Rajasthan Royals,,ipl00801,8.0,,,
Kings XI Punjab,,ipl00802,8.0,,,
Sunrisers Hyderabad,88.0,ipl00803,,,,
Mumbai Indians,,ipl00804,5.0,,,
Chennai Super Kings,,ipl00805,6.0,,,
Rajasthan Royals,,ipl00806,7.0,,,
Mumbai Indians,,ipl00807,9.0,,,
Sunrisers Hyderabad,,ipl00808,5.0,,,
Chennai Super Kings,,ipl00809,9.0,,,
Kolkata Knight Riders,60.0,ipl00810,,,,
Delhi Capitals,,ipl00811,6.0,,,
Sunrisers Hyderabad,,ipl00812,10.0,,,
Mumbai Indians,57.0,ipl00813,,,,
Sunrisers Hyderabad,,ipl00814,6.0,,,
Delhi Capitals,17.0,ipl00815,,,,
Mumbai Indians,,ipl00816,5.0,,,
Royal Challengers Bangalore,,ipl00817,2.0,,,
Delhi Capitals,,ipl00818,7.0,,,
Kolkata Knight Riders,10.0,ipl00819,,,,
Punjab Kings,4.0,ipl00820,,,,
Mumbai Indians,10.0,ipl00821,,,,
Royal Challengers Bangalore,6.0,ipl00822,,,,
Rajasthan Royals,,ipl00823,3.0,,,
Chennai Super Kings,,ipl00824,6.0,,,
Mumbai Indians,13.0,ipl00825,,,,
Royal Challengers Bangalore,38.0,ipl00826,,,,
Delhi Capitals,,ipl00827,6.0,,,
Chennai Super Kings,45.0,ipl00828,,,,
Delhi Capitals,,ipl00829,6.0,,,
Sunrisers Hyderabad,,ipl00830,9.0,,,
Chennai Super Kings,18.0,ipl00831,,,,
Royal Challengers Bangalore,,ipl00832,10.0,,,
Punjab Kings,,ipl00833,9.0,,,
Rajasthan Royals,,ipl00834,6.0,,,
Chennai Super Kings,69.0,ipl00835,,,,
,,ipl00836,,,Delhi Capitals,tie
Kolkata Knight Riders,,ipl00837,5.0,,,
Royal Challengers Bangalore,1.0,ipl00838,,,,
Chennai Super Kings,,ipl00839,7.0,,,
Mumbai Indians,,ipl00840,7.0,,,
Delhi Capitals,,ipl00841,7.0,,,
Punjab Kings,34.0,ipl00842,,,,
Mumbai Indians,,ipl00843,4.0,,,
Rajasthan Royals,55.0,ipl00844,,,,
Delhi Capitals,,ipl00845,7.0,,,
Chennai Super Kings,20.0,ipl00846,,,,
Kolkata Knight Riders,,ipl00847,9.0,,,
Rajasthan Royals,2.0,ipl00848,,,,
Delhi Capitals,,ipl00849,8.0,,,
Kolkata Knight Riders,,ipl00850,7.0,,,
Chennai Super Kings,,ipl00851,6.0,,,
Punjab Kings,5.0,ipl00852,,,,
Delhi Capitals,33.0,ipl00853,,,,
Royal Challengers Bangalore,54.0,ipl00854,,,,
Chennai Super Kings,,ipl00855,2.0,,,
Sunrisers Hyderabad,,ipl00856,7.0,,,
Mumbai Indians,,ipl00857,6.0,,,
Kolkata Knight Riders,,ipl00858,3.0,,,
Royal Challengers Bangalore,,ipl00859,7.0,,,
Chennai Super Kings,,ipl00860,6.0,,,
Punjab Kings,,ipl00861,5.0,,,
Delhi Capitals,,ipl00862,4.0,,,
Rajasthan Royals,,ipl00863,7.0,,,
Kolkata Knight Riders,,ipl00864,6.0,,,
Royal Challengers Bangalore,6.0,ipl00865,,,,
Delhi Capitals,,ipl00866,3.0,,,
Mumbai Indians,,ipl00867,8.0,,,
Sunrisers Hyderabad,4.0,ipl00868,,,,
Kolkata Knight Riders,86.0,ipl00869,,,,
Punjab Kings,,ipl00870,6.0,,,
Royal Challengers Bangalore,,ipl00871,7.0,,,
Mumbai Indians,42.0,ipl00872,,,,
Chennai Super Kings,,ipl00873,4.0,,,
Kolkata Knight Riders,,ipl00874,4.0,,,
Kolkata Knight Riders,,ipl00875,3.0,,,
Chennai Super Kings,27.0,ipl00876,,,,
Kolkata Knight Riders,,ipl00877,6.0,,,
Delhi Capitals,,ipl00878,4.0,,,
Punjab Kings,,ipl00879,5.0,,,
Gujarat Titans,,ipl00880,5.0,,,
Rajasthan Royals,61.0,ipl00881,,,,
Royal Challengers Bangalore,,ipl00882,3.0,,,
Lucknow Super Giants,,ipl00883,6.0,,,
Kolkata Knight Riders,,ipl00884,6.0,,,
Rajasthan Royals,23.0,ipl00885,,,,
Gujarat Titans,14.0,ipl00886,,,,
Punjab Kings,54.0,ipl00887,,,,
Lucknow Super Giants,12.0,ipl00888,,,,
Royal Challengers Bangalore,,ipl00889,4.0,,,
Kolkata Knight Riders,,ipl00890,5.0,,,
Lucknow Super Giants,,ipl00891,6.0,,,
Gujarat Titans,,ipl00892,6.0,,,
Sunrisers Hyderabad,,ipl00893,8.0,,,
Royal Challengers Bangalore,,ipl00894,7.0,,,
Delhi Capitals,44.0,ipl00895,,,,
Rajasthan Royals,3.0,ipl00896,,,,
Sunrisers Hyderabad,,ipl00897,8.0,,,
Chennai Super Kings,23.0,ipl00898,,,,
Punjab Kings,12.0,ipl00899,,,,
Gujarat Titans,37.0,ipl00900,,,,
Sunrisers Hyderabad,,ipl00901,7.0,,,
Lucknow Super Giants,18.0,ipl00902,,,,
Royal Challengers Bangalore,16.0,ipl00903,,,,
Sunrisers Hyderabad,,ipl00904,7.0,,,
Gujarat Titans,,ipl00905,3.0,,,
Rajasthan Royals,7.0,ipl00906,,,,
Royal Challengers Bangalore,18.0,ipl00907,,,,
Delhi Capitals,,ipl00908,9.0,,,
Chennai Super Kings,,ipl00909,3.0,,,
Rajasthan Royals,15.0,ipl00910,,,,
Gujarat Titans,8.0,ipl00911,,,,
Sunrisers Hyderabad,,ipl00912,9.0,,,
Lucknow Super Giants,36.0,ipl00913,,,,
Punjab Kings,11.0,ipl00914,,,,
Rajasthan Royals,29.0,ipl00915,,,,
Gujarat Titans,,ipl00916,5.0,,,
Delhi Capitals,,ipl00917,4.0,,,
Lucknow Super Giants,20.0,ipl00918,,,,
Gujarat Titans,,ipl00919,6.0,,,
Mumbai Indians,,ipl00920,5.0,,,
Lucknow Super Giants,6.0,ipl00921,,,,
Chennai Super Kings,13.0,ipl00922,,,,
Kolkata Knight Riders,,ipl00923,7.0,,,
Punjab Kings,,ipl00924,8.0,,,
Royal Challengers Bangalore,13.0,ipl00925,,,,
Delhi Capitals,21.0,ipl00926,,,,
Mumbai Indians,5.0,ipl00927,,,,
Rajasthan Royals,,ipl00928,6.0,,,
Lucknow Super Giants,75.0,ipl00929,,,,
Royal Challengers Bangalore,67.0,ipl00930,,,,
Chennai Super Kings,91.0,ipl00931,,,,
Kolkata Knight Riders,52.0,ipl00932,,,,
Gujarat Titans,62.0,ipl00933,,,,
Delhi Capitals,,ipl00934,8.0,,,
Mumbai Indians,,ipl00935,5.0,,,
Punjab Kings,54.0,ipl00936,,,,
Kolkata Knight Riders,54.0,ipl00937,,,,
Gujarat Titans,,ipl00938,7.0,,,
Rajasthan Royals,24.0,ipl00939,,,,
Delhi Capitals,17.0,ipl00940,,,,
Sunrisers Hyderabad,3.0,ipl00941,,,,
Lucknow Super Giants,2.0,ipl00942,,,,
Royal Challengers Bangalore,,ipl00943,8.0,,,
Rajasthan Royals,,ipl00944,5.0,,,
Mumbai Indians,,ipl00945,5.0,,,
Punjab Kings,,ipl00946,5.0,,,
Gujarat Titans,,ipl00947,7.0,,,
Royal Challengers Bangalore,14.0,ipl00948,,,,
Rajasthan Royals,,ipl00949,7.0,,,
Gujarat Titans,,ipl00950,7.0,,,
Gujarat Titans,,ipl00951,5.0,,,
Punjab Kings,7.0,ipl00952,,D/L,,
Lucknow Super Giants,50.0,ipl00953,,,,
Rajasthan Royals,72.0,ipl00954,,,,
Royal Challengers Bangalore,,ipl00955,8.0,,,
Chennai Super Kings,12.0,ipl00956,,,,
Gujarat Titans,,ipl00957,6.0,,,
Punjab Kings,5.0,ipl00958,,,,
Kolkata Knight Riders,81.0,ipl00959,,,,
Lucknow Super Giants,,ipl00960,5.0,,,
Rajasthan Royals,57.0,ipl00961,,,,
Chennai Super Kings,,ipl00962,7.0,,,
Kolkata Knight Riders,,ipl00963,3.0,,,
Sunrisers Hyderabad,,ipl00964,8.0,,,
Lucknow Super Giants,,ipl00965,1.0,,,
Mumbai Indians,,ipl00966,6.0,,,
Rajasthan Royals,3.0,ipl00967,,,,
Gujarat Titans,,ipl00968,6.0,,,
Sunrisers Hyderabad,23.0,ipl00969,,,,
Royal Challengers Bangalore,23.0,ipl00970,,,,
Punjab Kings,,ipl00971,2.0,,,
Mumbai Indians,,ipl00972,5.0,,,
Rajasthan Royals,,ipl00973,3.0,,,
Chennai Super Kings,8.0,ipl00974,,,,
Mumbai Indians,14.0,ipl00975,,,,
Lucknow Super Giants,10.0,ipl00976,,,,
Royal Challengers Bangalore,24.0,ipl00977,,,,
Delhi Capitals,,ipl00978,4.0,,,
Chennai Super Kings,,ipl00979,7.0,,,
Gujarat Titans,7.0,ipl00980,,,,
Punjab Kings,13.0,ipl00981,,,,
Chennai Super Kings,49.0,ipl00982,,,,
Royal Challengers Bangalore,7.0,ipl00983,,,,
Delhi Capitals,7.0,ipl00984,,,,
Gujarat Titans,55.0,ipl00985,,,,
Kolkata Knight Riders,21.0,ipl00986,,,,
Rajasthan Royals,32.0,ipl00987,,,,
Lucknow Super Giants,56.0,ipl00988,,,,
Gujarat Titans,,ipl00989,7.0,,,
Sunrisers Hyderabad,9.0,ipl00990,,,,
Punjab Kings,,ipl00991,4.0,,,
Mumbai Indians,,ipl00992,6.0,,,
Royal Challengers Bangalore,18.0,ipl00993,,,,
Delhi Capitals,5.0,ipl00994,,,,
,,ipl00995,,,,no result
Mumbai Indians,,ipl00996,6.0,,,
Kolkata Knight Riders,5.0,ipl00997,,,,
Gujarat Titans,,ipl00998,9.0,,,
Chennai Super Kings,,ipl00999,6.0,,,
Delhi Capitals,,ipl01000,7.0,,,
Gujarat Titans,56.0,ipl01001,,,,
Sunrisers Hyderabad,,ipl01002,4.0,,,
Kolkata Knight Riders,,ipl01003,5.0,,,
Mumbai Indians,,ipl01004,6.0,,,
Chennai Super Kings,27.0,ipl01005,,,,
Rajasthan Royals,,ipl01006,9.0,,,
Mumbai Indians,27.0,ipl01007,,,,
Lucknow Super Giants,,ipl01008,7.0,,,
Punjab Kings,31.0,ipl01009,,,,
Royal Challengers Bangalore,112.0,ipl01010,,,,
Kolkata Knight Riders,,ipl01011,6.0,,,
Gujarat Titans,34.0,ipl01012,,,,
Lucknow Super Giants,5.0,ipl01013,,,,
Delhi Capitals,15.0,ipl01014,,,,
Royal Challengers Bangalore,,ipl01015,8.0,,,
Rajasthan Royals,,ipl01016,4.0,,,
Chennai Super Kings,77.0,ipl01017,,,,
Lucknow Super Giants,1.0,ipl01018,,,,
Mumbai Indians,,ipl01019,8.0,,,
Gujarat Titans,,ipl01020,6.0,,,
Chennai Super Kings,15.0,ipl01021,,,,
Mumbai Indians,81.0,ipl01022,,,,
Gujarat Titans,62.0,ipl01023,,,,
Chennai Super Kings,,ipl01024,5.0,D/L,,
Chennai Super Kings,,ipl01025,6.0,,,
Punjab Kings,,ipl01026,4.0,,,
Kolkata Knight Riders,4.0,ipl01027,,,,
Rajasthan Royals,20.0,ipl01028,,,,
Gujarat Titans,6.0,ipl01029,,,,
Royal Challengers Bengaluru,,ipl01030,4.0,,,
Chennai Super Kings,63.0,ipl01031,,,,
Sunrisers Hyderabad,31.0,ipl01032,,,,
Rajasthan Royals,12.0,ipl01033,,,,
Kolkata Knight Riders,,ipl01034,7.0,,,
Lucknow Super Giants,21.0,ipl01035,,,,
Gujarat Titans,,ipl01036,7.0,,,
Delhi Capitals,20.0,ipl01037,,,,
Rajasthan Royals,,ipl01038,6.0,,,
Lucknow Super Giants,28.0,ipl01039,,,,
Kolkata Knight Riders,106.0,ipl01040,,,,
Punjab Kings,,ipl01041,3.0,,,
Sunrisers Hyderabad,,ipl01042,6.0,,,
Rajasthan Royals,,ipl01043,6.0,,,
Mumbai Indians,29.0,ipl01044,,,,
Lucknow Super Giants,33.0,ipl01045,,,,
Chennai Super Kings,,ipl01046,7.0,,,
Sunrisers Hyderabad,2.0,ipl01047,,,,
Gujarat Titans,,ipl01048,3.0,,,
Mumbai Indians,,ipl01049,7.0,,,
Delhi Capitals,,ipl01050,6.0,,,
Rajasthan Royals,,ipl01051,3.0,,,
Kolkata Knight Riders,,ipl01052,8.0,,,
Chennai Super Kings,20.0,ipl01053,,,,
Sunrisers Hyderabad,25.0,ipl01054,,,,
Rajasthan Royals,,ipl01055,2.0,,,
Delhi Capitals,,ipl01056,6.0,,,
Mumbai Indians,9.0,ipl01057,,,,
Lucknow Super Giants,,ipl01058,8.0,,,
Sunrisers Hyderabad,67.0,ipl01059,,,,
Kolkata Knight Riders,1.0,ipl01060,,,,
Gujarat Titans,,ipl01061,3.0,,,
Rajasthan Royals,,ipl01062,9.0,,,
Lucknow Super Giants,,ipl01063,6.0,,,
Delhi Capitals,4.0,ipl01064,,,,
Royal Challengers Bengaluru,35.0,ipl01065,,,,
Punjab Kings,,ipl01066,8.0,,,
Delhi Capitals,10.0,ipl01067,,,,
Rajasthan Royals,,ipl01068,7.0,,,
Royal Challengers Bengaluru,,ipl01069,9.0,,,
Chennai Super Kings,78.0,ipl01070,,,,
Kolkata Knight Riders,,ipl01071,7.0,,,
Lucknow Super Giants,,ipl01072,4.0,,,
Punjab Kings,,ipl01073,7.0,,,
Sunrisers Hyderabad,1.0,ipl01074,,,,
Kolkata Knight Riders,24.0,ipl01075,,,,
Royal Challengers Bengaluru,,ipl01076,4.0,,,
Chennai Super Kings,28.0,ipl01077,,,,
Kolkata Knight Riders,98.0,ipl01078,,,,
Mumbai Indians,,ipl01079,7.0,,,
Delhi Capitals,20.0,ipl01080,,,,
Sunrisers Hyderabad,,ipl01081,10.0,,,
Royal Challengers Bengaluru,60.0,ipl01082,,,,
Gujarat Titans,35.0,ipl01083,,,,
Kolkata Knight Riders,18.0,ipl01084,,,,
Chennai Super Kings,,ipl01085,5.0,,,
Royal Challengers Bengaluru,47.0,ipl01086,,,,
Delhi Capitals,19.0,ipl01087,,,,
Punjab Kings,,ipl01088,5.0,,,
Lucknow Super Giants,18.0,ipl01089,,,,
Royal Challengers Bengaluru,27.0,ipl01090,,,,
Sunrisers Hyderabad,,ipl01091,4.0,,,
Kolkata Knight Riders,,ipl01092,8.0,,,
Rajasthan Royals,,ipl01093,4.0,,,
Sunrisers Hyderabad,36.0,ipl01094,,,,
Kolkata Knight Riders,,ipl01095,8.0,,,
