decision,winner,key
field,Deccan Chargers,ipl00236
bat,Kings XI Punjab,ipl00237
bat,Chennai Super Kings,ipl00238
field,Kolkata Knight Riders,ipl00239
bat,Mumbai Indians,ipl00240
bat,Delhi Daredevils,ipl00241
field,Kings XI Punjab,ipl00242
field,Royal Challengers Bangalore,ipl00243
field,Mumbai Indians,ipl00244
field,Chennai Super Kings,ipl00245
field,Mumbai Indians,ipl00246
field,Mumbai Indians,ipl00247
bat,Chennai Super Kings,ipl00248
field,Mumbai Indians,ipl00249
field,Delhi Daredevils,ipl00250
field,Mumbai Indians,ipl00251
field,Kings XI Punjab,ipl00252
field,Delhi Daredevils,ipl00253
field,Deccan Chargers,ipl00254
field,Kolkata Knight Riders,ipl00255
bat,Pune Warriors,ipl00256
bat,Deccan Chargers,ipl00257
field,Delhi Daredevils,ipl00258
field,Royal Challengers Bangalore,ipl00259
field,Rajasthan Royals,ipl00260
bat,Royal Challengers Bangalore,ipl00261
field,Kings XI Punjab,ipl00262
bat,Rajasthan Royals,ipl00263
bat,Chennai Super Kings,ipl00264
field,Kolkata Knight Riders,ipl00265
bat,Rajasthan Royals,ipl00266
field,Delhi Daredevils,ipl00267
bat,Deccan Chargers,ipl00268
bat,Pune Warriors,ipl00269
bat,Kings XI Punjab,ipl00270
bat,Deccan Chargers,ipl00271
field,Pune Warriors,ipl00272
field,Royal Challengers Bangalore,ipl00273
field,Delhi Daredevils,ipl00274
bat,Rajasthan Royals,ipl00275
bat,Mumbai Indians,ipl00276
field,Kolkata Knight Riders,ipl00277
field,Rajasthan Royals,ipl00278
bat,Pune Warriors,ipl00279
bat,Kings XI Punjab,ipl00280
bat,Deccan Chargers,ipl00281
field,Mumbai Indians,ipl00282
bat,Kolkata Knight Riders,ipl00283
bat,Kings XI Punjab,ipl00284
bat,Delhi Daredevils,ipl00285
field,Mumbai Indians,ipl00286
bat,Chennai Super Kings,ipl00287
bat,Deccan Chargers,ipl00288
bat,Rajasthan Royals,ipl00289
field,Kings XI Punjab,ipl00290
bat,Mumbai Indians,ipl00291
bat,Chennai Super Kings,ipl00292
bat,Kolkata Knight Riders,ipl00293
bat,Rajasthan Royals,ipl00294
field,Mumbai Indians,ipl00295
field,Royal Challengers Bangalore,ipl00296
bat,Delhi Daredevils,ipl00297
field,Deccan Chargers,ipl00298
bat,Pune Warriors,ipl00299
field,Royal Challengers Bangalore,ipl00300
bat,Deccan Chargers,ipl00301
field,Chennai Super Kings,ipl00302
field,Pune Warriors,ipl00303
bat,Mumbai Indians,ipl00304
field,Chennai Super Kings,ipl00305
bat,Rajasthan Royals,ipl00306
bat,Deccan Chargers,ipl00307
field,Mumbai Indians,ipl00308
field,Chennai Super Kings,ipl00309
bat,Kings XI Punjab,ipl00310
field,Mumbai Indians,ipl00311
field,Delhi Daredevils,ipl00312
field,Kings XI Punjab,ipl00313
bat,Rajasthan Royals,ipl00314
bat,Kolkata Knight Riders,ipl00315
field,Delhi Daredevils,ipl00316
field,Royal Challengers Bangalore,ipl00317
bat,Rajasthan Royals,ipl00318
bat,Kolkata Knight Riders,ipl00319
field,Mumbai Indians,ipl00320
field,Delhi Daredevils,ipl00321
bat,Chennai Super Kings,ipl00322
field,Kolkata Knight Riders,ipl00323
field,Mumbai Indians,ipl00324
field,Pune Warriors,ipl00325
bat,Rajasthan Royals,ipl00326
bat,Mumbai Indians,ipl00327
bat,Royal Challengers Bangalore,ipl00328
bat,Pune Warriors,ipl00329
field,Kolkata Knight Riders,ipl00330
bat,Mumbai Indians,ipl00331
bat,Sunrisers Hyderabad,ipl00332
field,Chennai Super Kings,ipl00333
field,Royal Challengers Bangalore,ipl00334
bat,Rajasthan Royals,ipl00335
bat,Delhi Daredevils,ipl00336
bat,Mumbai Indians,ipl00337
field,Chennai Super Kings,ipl00338
bat,Kolkata Knight Riders,ipl00339
field,Rajasthan Royals,ipl00340
bat,Pune Warriors,ipl00341
field,Kolkata Knight Riders,ipl00342
field,Royal Challengers Bangalore,ipl00343
bat,Rajasthan Royals,ipl00344
field,Pune Warriors,ipl00345
bat,Chennai Super Kings,ipl00346
bat,Kings XI Punjab,ipl00347
bat,Kolkata Knight Riders,ipl00348
field,Royal Challengers Bangalore,ipl00349
bat,Mumbai Indians,ipl00350
field,Kings XI Punjab,ipl00351
bat,Rajasthan Royals,ipl00352
field,Pune Warriors,ipl00353
field,Kings XI Punjab,ipl00354
bat,Kolkata Knight Riders,ipl00355
bat,Sunrisers Hyderabad,ipl00356
bat,Kings XI Punjab,ipl00357
bat,Sunrisers Hyderabad,ipl00358
bat,Mumbai Indians,ipl00359
field,Kolkata Knight Riders,ipl00360
field,Pune Warriors,ipl00361
bat,Mumbai Indians,ipl00362
field,Rajasthan Royals,ipl00363
bat,Chennai Super Kings,ipl00364
bat,Mumbai Indians,ipl00365
bat,Kolkata Knight Riders,ipl00366
bat,Chennai Super Kings,ipl00367
bat,Royal Challengers Bangalore,ipl00368
bat,Rajasthan Royals,ipl00369
bat,Delhi Daredevils,ipl00370
bat,Mumbai Indians,ipl00371
bat,Pune Warriors,ipl00372
field,Kings XI Punjab,ipl00373
bat,Delhi Daredevils,ipl00374
bat,Mumbai Indians,ipl00375
field,Sunrisers Hyderabad,ipl00376
field,Rajasthan Royals,ipl00377
bat,Kolkata Knight Riders,ipl00378
field,Delhi Daredevils,ipl00379
field,Kings XI Punjab,ipl00380
bat,Pune Warriors,ipl00381
field,Rajasthan Royals,ipl00382
field,Kolkata Knight Riders,ipl00383
bat,Sunrisers Hyderabad,ipl00384
field,Kings XI Punjab,ipl00385
bat,Chennai Super Kings,ipl00386
field,Kolkata Knight Riders,ipl00387
field,Rajasthan Royals,ipl00388
field,Delhi Daredevils,ipl00389
bat,Sunrisers Hyderabad,ipl00390
field,Mumbai Indians,ipl00391
field,Chennai Super Kings,ipl00392
bat,Pune Warriors,ipl00393
bat,Kolkata Knight Riders,ipl00394
bat,Chennai Super Kings,ipl00395
bat,Sunrisers Hyderabad,ipl00396
bat,Rajasthan Royals,ipl00397
bat,Mumbai Indians,ipl00398
bat,Kolkata Knight Riders,ipl00399
field,Royal Challengers Bangalore,ipl00400
bat,Chennai Super Kings,ipl00401
field,Rajasthan Royals,ipl00402
field,Royal Challengers Bangalore,ipl00403
bat,Kolkata Knight Riders,ipl00404
field,Kings XI Punjab,ipl00405
bat,Chennai Super Kings,ipl00406
field,Sunrisers Hyderabad,ipl00407
field,Rajasthan Royals,ipl00408
field,Royal Challengers Bangalore,ipl00409
bat,Sunrisers Hyderabad,ipl00410
bat,Mumbai Indians,ipl00411
field,Kolkata Knight Riders,ipl00412
field,Rajasthan Royals,ipl00413
bat,Mumbai Indians,ipl00414
bat,Sunrisers Hyderabad,ipl00415
field,Kings XI Punjab,ipl00416
bat,Rajasthan Royals,ipl00417
field,Mumbai Indians,ipl00418
bat,Chennai Super Kings,ipl00419
bat,Kings XI Punjab,ipl00420
field,Rajasthan Royals,ipl00421
field,Royal Challengers Bangalore,ipl00422
field,Kolkata Knight Riders,ipl00423
field,Chennai Super Kings,ipl00424
field,Royal Challengers Bangalore,ipl00425
bat,Delhi Daredevils,ipl00426
field,Chennai Super Kings,ipl00427
field,Rajasthan Royals,ipl00428
field,Royal Challengers Bangalore,ipl00429
field,Sunrisers Hyderabad,ipl00430
field,Chennai Super Kings,ipl00431
bat,Royal Challengers Bangalore,ipl00432
field,Kolkata Knight Riders,ipl00433
bat,Sunrisers Hyderabad,ipl00434
bat,Rajasthan Royals,ipl00435
field,Delhi Daredevils,ipl00436
field,Kings XI Punjab,ipl00437
field,Kolkata Knight Riders,ipl00438
field,Delhi Daredevils,ipl00439
bat,Chennai Super Kings,ipl00440
bat,Sunrisers Hyderabad,ipl00441
bat,Mumbai Indians,ipl00442
field,Kings XI Punjab,ipl00443
bat,Royal Challengers Bangalore,ipl00444
field,Kolkata Knight Riders,ipl00445
field,Mumbai Indians,ipl00446
field,Sunrisers Hyderabad,ipl00447
field,Royal Challengers Bangalore,ipl00448
field,Delhi Daredevils,ipl00449
field,Rajasthan Royals,ipl00450
field,Chennai Super Kings,ipl00451
field,Kolkata Knight Riders,ipl00452
field,Kings XI Punjab,ipl00453
field,Mumbai Indians,ipl00454
field,Kings XI Punjab,ipl00455
field,Chennai Super Kings,ipl00456
field,Chennai Super Kings,ipl00457
field,Kolkata Knight Riders,ipl00458
field,Kolkata Knight Riders,ipl00459
field,Delhi Daredevils,ipl00460
field,Kings XI Punjab,ipl00461
bat,Chennai Super Kings,ipl00462
field,Royal Challengers Bangalore,ipl00463
field,Mumbai Indians,ipl00464
field,Rajasthan Royals,ipl00465
field,Sunrisers Hyderabad,ipl00466
bat,Mumbai Indians,ipl00467
bat,Kings XI Punjab,ipl00468
field,Rajasthan Royals,ipl00469
bat,Mumbai Indians,ipl00470
bat,Delhi Daredevils,ipl00471
field,Kolkata Knight Riders,ipl00472
bat,Chennai Super Kings,ipl00473
field,Royal Challengers Bangalore,ipl00474
field,Kolkata Knight Riders,ipl00475
field,Kings XI Punjab,ipl00476
field,Kolkata Knight Riders,ipl00477
field,Royal Challengers Bangalore,ipl00478
field,Mumbai Indians,ipl00479
field,Royal Challengers Bangalore,ipl00480
bat,Chennai Super Kings,ipl00481
bat,Mumbai Indians,ipl00482
field,Royal Challengers Bangalore,ipl00483
field,Kings XI Punjab,ipl00484
field,Kolkata Knight Riders,ipl00485
field,Rajasthan Royals,ipl00486
field,Kolkata Knight Riders,ipl00487
field,Delhi Daredevils,ipl00488
field,Rajasthan Royals,ipl00489
field,Royal Challengers Bangalore,ipl00490
field,Chennai Super Kings,ipl00491
bat,Mumbai Indians,ipl00492
field,Delhi Daredevils,ipl00493
bat,Chennai Super Kings,ipl00494
field,Sunrisers Hyderabad,ipl00495
bat,Delhi Daredevils,ipl00496
field,Kings XI Punjab,ipl00497
bat,Kolkata Knight Riders,ipl00498
field,Rajasthan Royals,ipl00499
bat,Chennai Super Kings,ipl00500
bat,Sunrisers Hyderabad,ipl00501
bat,Kings XI Punjab,ipl00502
bat,Royal Challengers Bangalore,ipl00503
bat,Chennai Super Kings,ipl00504
bat,Sunrisers Hyderabad,ipl00505
bat,Chennai Super Kings,ipl00506
field,Royal Challengers Bangalore,ipl00507
field,Kolkata Knight Riders,ipl00508
bat,Sunrisers Hyderabad,ipl00509
bat,Kings XI Punjab,ipl00510
bat,Rajasthan Royals,ipl00511
field,Royal Challengers Bangalore,ipl00512
bat,Sunrisers Hyderabad,ipl00513
bat,Mumbai Indians,ipl00514
bat,Royal Challengers Bangalore,ipl00515
field,Chennai Super Kings,ipl00516
field,Chennai Super Kings,ipl00517
bat,Mumbai Indians,ipl00518
field,Kolkata Knight Riders,ipl00519
field,Gujarat Lions,ipl00520
field,Sunrisers Hyderabad,ipl00521
field,Mumbai Indians,ipl00522
bat,Rising Pune Supergiants,ipl00523
field,Delhi Daredevils,ipl00524
bat,Sunrisers Hyderabad,ipl00525
field,Gujarat Lions,ipl00526
bat,Rising Pune Supergiants,ipl00527
field,Delhi Daredevils,ipl00528
field,Sunrisers Hyderabad,ipl00529
field,Kolkata Knight Riders,ipl00530
field,Mumbai Indians,ipl00531
field,Sunrisers Hyderabad,ipl00532
field,Rising Pune Supergiants,ipl00533
field,Mumbai Indians,ipl00534
field,Sunrisers Hyderabad,ipl00535
bat,Royal Challengers Bangalore,ipl00536
field,Kolkata Knight Riders,ipl00537
field,Kings XI Punjab,ipl00538
field,Rising Pune Supergiants,ipl00539
field,Delhi Daredevils,ipl00540
field,Mumbai Indians,ipl00541
field,Gujarat Lions,ipl00542
field,Kolkata Knight Riders,ipl00543
field,Royal Challengers Bangalore,ipl00544
field,Gujarat Lions,ipl00545
field,Mumbai Indians,ipl00546
field,Kolkata Knight Riders,ipl00547
field,Delhi Daredevils,ipl00548
field,Kings XI Punjab,ipl00549
field,Rising Pune Supergiants,ipl00550
field,Sunrisers Hyderabad,ipl00551
field,Royal Challengers Bangalore,ipl00552
field,Delhi Daredevils,ipl00553
field,Mumbai Indians,ipl00554
field,Gujarat Lions,ipl00555
field,Kings XI Punjab,ipl00556
bat,Sunrisers Hyderabad,ipl00557
field,Mumbai Indians,ipl00558
field,Delhi Daredevils,ipl00559
bat,Mumbai Indians,ipl00560
field,Gujarat Lions,ipl00561
bat,Rising Pune Supergiants,ipl00562
bat,Kings XI Punjab,ipl00563
field,Delhi Daredevils,ipl00564
