team_1,team_2,key
Perth Scorchers,Sydney Thunder,bbl00168
Hobart Hurricanes,Adelaide Strikers,bbl00169
Brisbane Heat,Sydney Sixers,bbl00170
Sydney Thunder,Melbourne Stars,bbl00171
Perth Scorchers,Brisbane Heat,bbl00172
Adelaide Strikers,Hobart Hurricanes,bbl00173
Melbourne Renegades,Melbourne Stars,bbl00174
Hobart Hurricanes,Sydney Thunder,bbl00175
Sydney Sixers,Melbourne Renegades,bbl00176
Melbourne Stars,Adelaide Strikers,bbl00177
Brisbane Heat,Perth Scorchers,bbl00178
Melbourne Renegades,Hobart Hurricanes,bbl00179
Sydney Sixers,Sydney Thunder,bbl00180
Perth Scorchers,Melbourne Stars,bbl00181
Adelaide Strikers,Melbourne Renegades,bbl00182
Melbourne Stars,Brisbane Heat,bbl00183
Sydney Thunder,Adelaide Strikers,bbl00184
Brisbane Heat,Melbourne Renegades,bbl00185
Hobart Hurricanes,Perth Scorchers,bbl00186
Melbourne Stars,Sydney Sixers,bbl00187
Perth Scorchers,Melbourne Stars,bbl00188
Brisbane Heat,Sydney Sixers,bbl00189
Perth Scorchers,Sydney Sixers,bbl00190
Sydney Thunder,Sydney Sixers,bbl00191
Brisbane Heat,Melbourne Stars,bbl00192
Hobart Hurricanes,Melbourne Renegades,bbl00193
Adelaide Strikers,Sydney Thunder,bbl00194
Melbourne Renegades,Brisbane Heat,bbl00195
Sydney Sixers,Perth Scorchers,bbl00196
Perth Scorchers,Melbourne Stars,bbl00197
Brisbane Heat,Sydney Thunder,bbl00198
Sydney Sixers,Adelaide Strikers,bbl00199
Melbourne Renegades,Perth Scorchers,bbl00200
Hobart Hurricanes,Sydney Thunder,bbl00201
Adelaide Strikers,Brisbane Heat,bbl00202
Sydney Thunder,Hobart Hurricanes,bbl00203
Perth Scorchers,Sydney Sixers,bbl00204
Melbourne Stars,Brisbane Heat,bbl00205
Melbourne Renegades,Sydney Sixers,bbl00206
Hobart Hurricanes,Adelaide Strikers,bbl00207
Brisbane Heat,Perth Scorchers,bbl00208
Melbourne Stars,Melbourne Renegades,bbl00209
Sydney Thunder,Adelaide Strikers,bbl00210
Perth Scorchers,Melbourne Renegades,bbl00211
Hobart Hurricanes,Sydney Sixers,bbl00212
Adelaide Strikers,Melbourne Stars,bbl00213
Brisbane Heat,Hobart Hurricanes,bbl00214
Sydney Thunder,Perth Scorchers,bbl00215
Melbourne Renegades,Melbourne Stars,bbl00216
Adelaide Strikers,Perth Scorchers,bbl00217
Sydney Sixers,Sydney Thunder,bbl00218
Hobart Hurricanes,Brisbane Heat,bbl00219
Melbourne Stars,Sydney Sixers,bbl00220
Adelaide Strikers,Hobart Hurricanes,bbl00221
Sydney Sixers,Brisbane Heat,bbl00222
Melbourne Stars,Sydney Thunder,bbl00223
Perth Scorchers,Hobart Hurricanes,bbl00224
Melbourne Renegades,Adelaide Strikers,bbl00225
Sydney Sixers,Melbourne Stars,bbl00226
Sydney Thunder,Melbourne Renegades,bbl00227
Perth Scorchers,Adelaide Strikers,bbl00228
Brisbane Heat,Melbourne Renegades,bbl00229
Melbourne Stars,Hobart Hurricanes,bbl00230
Perth Scorchers,Hobart Hurricanes,bbl00231
Adelaide Strikers,Melbourne Renegades,bbl00232
Adelaide Strikers,Hobart Hurricanes,bbl00233
Brisbane Heat,Adelaide Strikers,bbl00234
Melbourne Renegades,Perth Scorchers,bbl00235
Sydney Thunder,Melbourne Stars,bbl00236
Sydney Sixers,Perth Scorchers,bbl00237
Brisbane Heat,Hobart Hurricanes,bbl00238
Adelaide Strikers,Melbourne Renegades,bbl00239
Hobart Hurricanes,Melbourne Stars,bbl00240
Sydney Thunder,Sydney Sixers,bbl00241
Perth Scorchers,Adelaide Strikers,bbl00242
Sydney Sixers,Melbourne Stars,bbl00243
Hobart Hurricanes,Sydney Thunder,bbl00244
Melbourne Renegades,Sydney Sixers,bbl00245
Hobart Hurricanes,Perth Scorchers,bbl00246
Adelaide Strikers,Sydney Thunder,bbl00247
Melbourne Stars,Melbourne Renegades,bbl00248
Brisbane Heat,Sydney Sixers,bbl00249
Sydney Thunder,Perth Scorchers,bbl00250
Melbourne Renegades,Adelaide Strikers,bbl00251
Hobart Hurricanes,Sydney Sixers,bbl00252
Melbourne Stars,Sydney Thunder,bbl00253
Perth Scorchers,Brisbane Heat,bbl00254
Adelaide Strikers,Sydney Sixers,bbl00255
Melbourne Renegades,Hobart Hurricanes,bbl00256
Sydney Thunder,Brisbane Heat,bbl00257
Melbourne Stars,Perth Scorchers,bbl00258
Brisbane Heat,Melbourne Renegades,bbl00259
Adelaide Strikers,Melbourne Stars,bbl00260
Sydney Thunder,Adelaide Strikers,bbl00261
Melbourne Renegades,Brisbane Heat,bbl00262
Perth Scorchers,Sydney Sixers,bbl00263
Melbourne Stars,Hobart Hurricanes,bbl00264
Sydney Sixers,Melbourne Renegades,bbl00265
Brisbane Heat,Sydney Thunder,bbl00266
Perth Scorchers,Hobart Hurricanes,bbl00267
Melbourne Renegades,Melbourne Stars,bbl00268
Sydney Sixers,Brisbane Heat,bbl00269
Adelaide Strikers,Hobart Hurricanes,bbl00270
Sydney Thunder,Melbourne Renegades,bbl00271
Melbourne Stars,Adelaide Strikers,bbl00272
Sydney Sixers,Hobart Hurricanes,bbl00273
Perth Scorchers,Sydney Thunder,bbl00274
Melbourne Stars,Brisbane Heat,bbl00275
Perth Scorchers,Melbourne Renegades,bbl00276
Hobart Hurricanes,Brisbane Heat,bbl00277
Sydney Sixers,Adelaide Strikers,bbl00278
Melbourne Renegades,Sydney Thunder,bbl00279
Hobart Hurricanes,Adelaide Strikers,bbl00280
