decision,winner,key
field,Melbourne Stars,bbl00082
bat,Melbourne Renegades,bbl00083
bat,Hobart Hurricanes,bbl00084
field,Sydney Sixers,bbl00085
bat,Melbourne Stars,bbl00086
bat,Melbourne Stars,bbl00087
field,Sydney Sixers,bbl00088
bat,Perth Scorchers,bbl00089
bat,Melbourne Stars,bbl00090
field,Sydney Sixers,bbl00091
field,Melbourne Stars,bbl00092
field,Brisbane Heat,bbl00093
bat,Perth Scorchers,bbl00094
bat,Hobart Hurricanes,bbl00095
bat,Perth Scorchers,bbl00096
field,Sydney Thunder,bbl00097
field,Melbourne Stars,bbl00098
bat,Perth Scorchers,bbl00099
field,Melbourne Renegades,bbl00100
bat,Hobart Hurricanes,bbl00101
bat,Sydney Thunder,bbl00102
field,Hobart Hurricanes,bbl00103
field,Melbourne Renegades,bbl00104
field,Adelaide Strikers,bbl00105
field,Melbourne Stars,bbl00106
field,Adelaide Strikers,bbl00107
field,Hobart Hurricanes,bbl00108
bat,Brisbane Heat,bbl00109
bat,Melbourne Renegades,bbl00110
bat,Perth Scorchers,bbl00111
field,Sydney Sixers,bbl00112
field,Sydney Thunder,bbl00113
field,Melbourne Renegades,bbl00114
bat,Adelaide Strikers,bbl00115
field,Hobart Hurricanes,bbl00116
field,Melbourne Stars,bbl00117
bat,Adelaide Strikers,bbl00118
bat,Perth Scorchers,bbl00119
field,Sydney Sixers,bbl00120
bat,Sydney Sixers,bbl00121
bat,Perth Scorchers,bbl00122
bat,Sydney Sixers,bbl00123
field,Melbourne Stars,bbl00124
bat,Brisbane Heat,bbl00125
bat,Sydney Sixers,bbl00126
bat,Perth Scorchers,bbl00127
bat,Hobart Hurricanes,bbl00128
field,Sydney Sixers,bbl00129
bat,Brisbane Heat,bbl00130
bat,Sydney Sixers,bbl00131
bat,Adelaide Strikers,bbl00132
bat,Hobart Hurricanes,bbl00133
field,Perth Scorchers,bbl00134
field,Adelaide Strikers,bbl00135
field,Sydney Thunder,bbl00136
field,Melbourne Stars,bbl00137
bat,Sydney Sixers,bbl00138
field,Brisbane Heat,bbl00139
