team_1,team_2,key
Dhaka Dynamites,Rajshahi Kings,bpl00177
Sylhet Sixers,Comilla Victorians,bpl00178
Rangpur Riders,Khulna Titans,bpl00179
Dhaka Dynamites,Khulna Titans,bpl00180
Comilla Victorians,Rangpur Riders,bpl00181
Khulna Titans,Rajshahi Kings,bpl00182
Sylhet Sixers,Chittagong Vikings,bpl00183
Dhaka Dynamites,Rangpur Riders,bpl00184
Rajshahi Kings,Comilla Victorians,bpl00185
Khulna Titans,Chittagong Vikings,bpl00186
Dhaka Dynamites,Sylhet Sixers,bpl00187
Comilla Victorians,Chittagong Vikings,bpl00188
Khulna Titans,Rajshahi Kings,bpl00189
Sylhet Sixers,Comilla Victorians,bpl00190
Rajshahi Kings,Dhaka Dynamites,bpl00191
Sylhet Sixers,Rangpur Riders,bpl00192
Sylhet Sixers,Dhaka Dynamites,bpl00193
Khulna Titans,Comilla Victorians,bpl00194
Chittagong Vikings,Khulna Titans,bpl00195
Sylhet Sixers,Rangpur Riders,bpl00196
Dhaka Dynamites,Chittagong Vikings,bpl00197
Rajshahi Kings,Comilla Victorians,bpl00198
Khulna Titans,Rangpur Riders,bpl00199
Comilla Victorians,Dhaka Dynamites,bpl00200
Rajshahi Kings,Chittagong Vikings,bpl00201
Khulna Titans,Sylhet Sixers,bpl00202
Sylhet Sixers,Rajshahi Kings,bpl00203
Rangpur Riders,Chittagong Vikings,bpl00204
Sylhet Sixers,Khulna Titans,bpl00205
Rajshahi Kings,Chittagong Vikings,bpl00206
Comilla Victorians,Khulna Titans,bpl00207
Dhaka Dynamites,Rangpur Riders,bpl00208
Rajshahi Kings,Rangpur Riders,bpl00209
Chittagong Vikings,Comilla Victorians,bpl00210
Sylhet Sixers,Rajshahi Kings,bpl00211
Chittagong Vikings,Dhaka Dynamites,bpl00212
Sylhet Sixers,Chittagong Vikings,bpl00213
Comilla Victorians,Dhaka Dynamites,bpl00214
Khulna Titans,Dhaka Dynamites,bpl00215
Comilla Victorians,Rangpur Riders,bpl00216
Chittagong Vikings,Dhaka Dynamites,bpl00217
Rangpur Riders,Comilla Victorians,bpl00218
Rangpur Riders,Dhaka Dynamites,bpl00219
Comilla Victorians,Dhaka Dynamites,bpl00220
Sylhet Thunder,Chattogram Challengers,bpl00221
Cumilla Warriors,Rangpur Rangers,bpl00222
Chattogram Challengers,Khulna Tigers,bpl00223
Dhaka Platoon,Rajshahi Royals,bpl00224
Dhaka Platoon,Cumilla Warriors,bpl00225
Sylhet Thunder,Rajshahi Royals,bpl00226
Rangpur Rangers,Chattogram Challengers,bpl00227
Dhaka Platoon,Sylhet Thunder,bpl00228
Rajshahi Royals,Khulna Tigers,bpl00229
Sylhet Thunder,Chattogram Challengers,bpl00230
Rangpur Rangers,Cumilla Warriors,bpl00231
Chattogram Challengers,Dhaka Platoon,bpl00232
Rangpur Rangers,Khulna Tigers,bpl00233
Chattogram Challengers,Cumilla Warriors,bpl00234
Chattogram Challengers,Rangpur Rangers,bpl00235
Sylhet Thunder,Khulna Tigers,bpl00236
Cumilla Warriors,Dhaka Platoon,bpl00237
Khulna Tigers,Rajshahi Royals,bpl00238
Sylhet Thunder,Dhaka Platoon,bpl00239
Cumilla Warriors,Rajshahi Royals,bpl00240
Dhaka Platoon,Chattogram Challengers,bpl00241
Khulna Tigers,Rangpur Rangers,bpl00242
Rajshahi Royals,Cumilla Warriors,bpl00243
Sylhet Thunder,Khulna Tigers,bpl00244
Sylhet Thunder,Rangpur Rangers,bpl00245
Dhaka Platoon,Rajshahi Royals,bpl00246
Chattogram Challengers,Cumilla Warriors,bpl00247
Rangpur Rangers,Rajshahi Royals,bpl00248
Cumilla Warriors,Sylhet Thunder,bpl00249
Rajshahi Royals,Rangpur Rangers,bpl00250
Dhaka Platoon,Khulna Tigers,bpl00251
Rangpur Rangers,Sylhet Thunder,bpl00252
Khulna Tigers,Chattogram Challengers,bpl00253
Sylhet Thunder,Rajshahi Royals,bpl00254
Sylhet Thunder,Cumilla Warriors,bpl00255
Rajshahi Royals,Chattogram Challengers,bpl00256
Khulna Tigers,Cumilla Warriors,bpl00257
Dhaka Platoon,Rangpur Rangers,bpl00258
Rangpur Rangers,Dhaka Platoon,bpl00259
Khulna Tigers,Cumilla Warriors,bpl00260
Dhaka Platoon,Khulna Tigers,bpl00261
Chattogram Challengers,Rajshahi Royals,bpl00262
Dhaka Platoon,Chattogram Challengers,bpl00263
Khulna Tigers,Rajshahi Royals,bpl00264
Chattogram Challengers,Rajshahi Royals,bpl00265
Rajshahi Royals,Khulna Tigers,bpl00266
Chattogram Challengers,Fortune Barishal,bpl00267
Minister Group Dhaka,Khulna Tigers,bpl00268
Sylhet Sunrisers,Comilla Victorians,bpl00269
Chattogram Challengers,Minister Group Dhaka,bpl00270
Fortune Barishal,Minister Group Dhaka,bpl00271
Chattogram Challengers,Khulna Tigers,bpl00272
Minister Group Dhaka,Sylhet Sunrisers,bpl00273
Comilla Victorians,Fortune Barishal,bpl00274
Sylhet Sunrisers,Minister Group Dhaka,bpl00275
Chattogram Challengers,Khulna Tigers,bpl00276
Chattogram Challengers,Sylhet Sunrisers,bpl00277
Fortune Barishal,Khulna Tigers,bpl00278
Comilla Victorians,Chattogram Challengers,bpl00279
Fortune Barishal,Khulna Tigers,bpl00280
Minister Group Dhaka,Comilla Victorians,bpl00281
Fortune Barishal,Chattogram Challengers,bpl00282
Sylhet Sunrisers,Khulna Tigers,bpl00283
Chattogram Challengers,Comilla Victorians,bpl00284
Fortune Barishal,Comilla Victorians,bpl00285
Khulna Tigers,Sylhet Sunrisers,bpl00286
Fortune Barishal,Sylhet Sunrisers,bpl00287
Chattogram Challengers,Minister Group Dhaka,bpl00288
Khulna Tigers,Minister Group Dhaka,bpl00289
Sylhet Sunrisers,Comilla Victorians,bpl00290
Comilla Victorians,Khulna Tigers,bpl00291
Minister Group Dhaka,Fortune Barishal,bpl00292
Sylhet Sunrisers,Chattogram Challengers,bpl00293
Comilla Victorians,Khulna Tigers,bpl00294
Chattogram Challengers,Khulna Tigers,bpl00295
Fortune Barishal,Comilla Victorians,bpl00296
Chattogram Challengers,Comilla Victorians,bpl00297
Comilla Victorians,Fortune Barishal,bpl00298
Chattogram Challengers,Sylhet Strikers,bpl00299
Rangpur Riders,Comilla Victorians,bpl00300
Fortune Barishal,Sylhet Strikers,bpl00301
Khulna Tigers,Dhaka Dominators,bpl00302
Comilla Victorians,Sylhet Strikers,bpl00303
Khulna Tigers,Chattogram Challengers,bpl00304
Rangpur Riders,Fortune Barishal,bpl00305
Sylhet Strikers,Dhaka Dominators,bpl00306
Fortune Barishal,Chattogram Challengers,bpl00307
Khulna Tigers,Rangpur Riders,bpl00308
Fortune Barishal,Comilla Victorians,bpl00309
Dhaka Dominators,Chattogram Challengers,bpl00310
Dhaka Dominators,Sylhet Strikers,bpl00311
Chattogram Challengers,Comilla Victorians,bpl00312
Rangpur Riders,Khulna Tigers,bpl00313
Sylhet Strikers,Comilla Victorians,bpl00314
Comilla Victorians,Dhaka Dominators,bpl00315
Fortune Barishal,Rangpur Riders,bpl00316
Chattogram Challengers,Khulna Tigers,bpl00317
Fortune Barishal,Dhaka Dominators,bpl00318
Rangpur Riders,Chattogram Challengers,bpl00319
Comilla Victorians,Dhaka Dominators,bpl00320
Sylhet Strikers,Fortune Barishal,bpl00321
Dhaka Dominators,Khulna Tigers,bpl00322
Sylhet Strikers,Rangpur Riders,bpl00323
Chattogram Challengers,Fortune Barishal,bpl00324
Comilla Victorians,Khulna Tigers,bpl00325
Chattogram Challengers,Sylhet Strikers,bpl00326
Sylhet Strikers,Khulna Tigers,bpl00327
Dhaka Dominators,Rangpur Riders,bpl00328
Khulna Tigers,Comilla Victorians,bpl00329
Fortune Barishal,Dhaka Dominators,bpl00330
Fortune Barishal,Khulna Tigers,bpl00331
Dhaka Dominators,Rangpur Riders,bpl00332
Chattogram Challengers,Comilla Victorians,bpl00333
Sylhet Strikers,Rangpur Riders,bpl00334
Chattogram Challengers,Dhaka Dominators,bpl00335
Fortune Barishal,Comilla Victorians,bpl00336
Khulna Tigers,Sylhet Strikers,bpl00337
Chattogram Challengers,Rangpur Riders,bpl00338
Fortune Barishal,Khulna Tigers,bpl00339
Comilla Victorians,Rangpur Riders,bpl00340
Fortune Barishal,Rangpur Riders,bpl00341
Sylhet Strikers,Comilla Victorians,bpl00342
Sylhet Strikers,Rangpur Riders,bpl00343
Sylhet Strikers,Comilla Victorians,bpl00344
Comilla Victorians,Durdanto Dhaka,bpl00345
Sylhet Strikers,Chattogram Challengers,bpl00346
Rangpur Riders,Fortune Barishal,bpl00347
Chattogram Challengers,Khulna Tigers,bpl00348
Durdanto Dhaka,Chattogram Challengers,bpl00349
Fortune Barishal,Khulna Tigers,bpl00350
Fortune Barishal,Comilla Victorians,bpl00351
Comilla Victorians,Sylhet Strikers,bpl00352
Khulna Tigers,Rangpur Riders,bpl00353
Chattogram Challengers,Fortune Barishal,bpl00354
Rangpur Riders,Durdanto Dhaka,bpl00355
Sylhet Strikers,Chattogram Challengers,bpl00356
Durdanto Dhaka,Khulna Tigers,bpl00357
Rangpur Riders,Comilla Victorians,bpl00358
Fortune Barishal,Sylhet Strikers,bpl00359
Sylhet Strikers,Durdanto Dhaka,bpl00360
Chattogram Challengers,Comilla Victorians,bpl00361
Khulna Tigers,Fortune Barishal,bpl00362
Rangpur Riders,Sylhet Strikers,bpl00363
Chattogram Challengers,Fortune Barishal,bpl00364
Rangpur Riders,Durdanto Dhaka,bpl00365
Comilla Victorians,Khulna Tigers,bpl00366
Durdanto Dhaka,Sylhet Strikers,bpl00367
Khulna Tigers,Sylhet Strikers,bpl00368
Durdanto Dhaka,Comilla Victorians,bpl00369
Rangpur Riders,Chattogram Challengers,bpl00370
Fortune Barishal,Durdanto Dhaka,bpl00371
Comilla Victorians,Chattogram Challengers,bpl00372
Rangpur Riders,Khulna Tigers,bpl00373
Fortune Barishal,Durdanto Dhaka,bpl00374
Khulna Tigers,Comilla Victorians,bpl00375
Durdanto Dhaka,Khulna Tigers,bpl00376
Rangpur Riders,Chattogram Challengers,bpl00377
Chattogram Challengers,Durdanto Dhaka,bpl00378
Fortune Barishal,Sylhet Strikers,bpl00379
Sylhet Strikers,Comilla Victorians,bpl00380
Fortune Barishal,Rangpur Riders,bpl00381
Chattogram Challengers,Khulna Tigers,bpl00382
Rangpur Riders,Comilla Victorians,bpl00383
Comilla Victorians,Fortune Barishal,bpl00384
Khulna Tigers,Sylhet Strikers,bpl00385
Chattogram Challengers,Fortune Barishal,bpl00386
Rangpur Riders,Comilla Victorians,bpl00387
Rangpur Riders,Fortune Barishal,bpl00388
Comilla Victorians,Fortune Barishal,bpl00389
Rangpur Riders,Dhaka Capital,bpl00390
Durbar Rajshahi,Fortune Barishal,bpl00391
Khulna Tigers,Chittagong Kings,bpl00392
Rangpur Riders,Sylhet Strikers,bpl00393
Dhaka Capital,Durbar Rajshahi,bpl00394
Fortune Barishal,Rangpur Riders,bpl00395
Chittagong Kings,Durbar Rajshahi,bpl00396
Khulna Tigers,Dhaka Capital,bpl00397
Sylhet Strikers,Rangpur Riders,bpl00398
Durbar Rajshahi,Fortune Barishal,bpl00399
Dhaka Capital,Rangpur Riders,bpl00400
Sylhet Strikers,Fortune Barishal,bpl00401
Fortune Barishal,Rangpur Riders,bpl00402
Dhaka Capital,Chittagong Kings,bpl00403
Durbar Rajshahi,Khulna Tigers,bpl00404
Dhaka Capital,Sylhet Strikers,bpl00405
Sylhet Strikers,Khulna Tigers,bpl00406
Dhaka Capital,Durbar Rajshahi,bpl00407
Chittagong Kings,Sylhet Strikers,bpl00408
Rangpur Riders,Khulna Tigers,bpl00409
Dhaka Capital,Fortune Barishal,bpl00410
Chittagong Kings,Khulna Tigers,bpl00411
Durbar Rajshahi,Sylhet Strikers,bpl00412
Rangpur Riders,Chittagong Kings,bpl00413
Chittagong Kings,Fortune Barishal,bpl00414
Khulna Tigers,Durbar Rajshahi,bpl00415
