decision,winner,key
bat,Fortune Barishal,bpl00339
field,Rangpur Riders,bpl00340
field,Comilla Victorians,bpl00341
field,Rangpur Riders,bpl00342
field,Rangpur Riders,bpl00343
field,Comilla Victorians,bpl00344
field,Durdanto Dhaka,bpl00345
field,Chattogram Challengers,bpl00346
field,Fortune Barishal,bpl00347
field,Khulna Tigers,bpl00348
field,Chattogram Challengers,bpl00349
field,Khulna Tigers,bpl00350
field,Comilla Victorians,bpl00351
field,Rangpur Riders,bpl00352
field,Sylhet Strikers,bpl00353
field,Fortune Barishal,bpl00354
field,Durdanto Dhaka,bpl00355
bat,Sylhet Strikers,bpl00356
bat,Durdanto Dhaka,bpl00357
bat,Rangpur Riders,bpl00358
field,Sylhet Strikers,bpl00359
field,Durdanto Dhaka,bpl00360
field,Comilla Victorians,bpl00361
field,Fortune Barishal,bpl00362
field,Sylhet Strikers,bpl00363
field,Durdanto Dhaka,bpl00364
field,Fortune Barishal,bpl00365
field,Sylhet Strikers,bpl00366
bat,Comilla Victorians,bpl00367
bat,Khulna Tigers,bpl00368
bat,Durdanto Dhaka,bpl00369
bat,Rangpur Riders,bpl00370
bat,Fortune Barishal,bpl00371
field,Chattogram Challengers,bpl00372
bat,Rangpur Riders,bpl00373
bat,Fortune Barishal,bpl00374
bat,Khulna Tigers,bpl00375
bat,Durdanto Dhaka,bpl00376
bat,Rangpur Riders,bpl00377
bat,Fortune Barishal,bpl00378
bat,Chattogram Challengers,bpl00379
bat,Sylhet Strikers,bpl00380
bat,Fortune Barishal,bpl00381
bat,Chattogram Challengers,bpl00382
field,Comilla Victorians,bpl00383
field,Fortune Barishal,bpl00384
field,Sylhet Strikers,bpl00385
field,Fortune Barishal,bpl00386
field,Comilla Victorians,bpl00387
field,Fortune Barishal,bpl00388
field,Fortune Barishal,bpl00389
field,Dhaka Capital,bpl00390
field,Fortune Barishal,bpl00391
field,Chittagong Kings,bpl00392
bat,Rangpur Riders,bpl00393
bat,Dhaka Capital,bpl00394
field,Rangpur Riders,bpl00395
field,Durbar Rajshahi,bpl00396
field,Dhaka Capital,bpl00397
field,Rangpur Riders,bpl00398
field,Fortune Barishal,bpl00399
field,Rangpur Riders,bpl00400
field,Fortune Barishal,bpl00401
