name,match_number,key,stage
Bangladesh Premier League,19.0,bpl00239,nan
Bangladesh Premier League,20.0,bpl00240,nan
Bangladesh Premier League,21.0,bpl00241,nan
Bangladesh Premier League,22.0,bpl00242,nan
Bangladesh Premier League,23.0,bpl00243,nan
Bangladesh Premier League,24.0,bpl00244,nan
Bangladesh Premier League,25.0,bpl00245,nan
Bangladesh Premier League,26.0,bpl00246,nan
Bangladesh Premier League,28.0,bpl00247,nan
Bangladesh Premier League,27.0,bpl00248,nan
Bangladesh Premier League,29.0,bpl00249,nan
Bangladesh Premier League,30.0,bpl00250,nan
Bangladesh Premier League,31.0,bpl00251,nan
Bangladesh Premier League,32.0,bpl00252,nan
Bangladesh Premier League,33.0,bpl00253,nan
Bangladesh Premier League,34.0,bpl00254,nan
Bangladesh Premier League,35.0,bpl00255,nan
Bangladesh Premier League,36.0,bpl00256,nan
Bangladesh Premier League,37.0,bpl00257,nan
Bangladesh Premier League,38.0,bpl00258,nan
Bangladesh Premier League,39.0,bpl00259,nan
Bangladesh Premier League,40.0,bpl00260,nan
Bangladesh Premier League,42.0,bpl00261,nan
Bangladesh Premier League,41.0,bpl00262,nan
Bangladesh Premier League,,bpl00263,Eliminator
Bangladesh Premier League,,bpl00264,Qualifier 1
Bangladesh Premier League,,bpl00265,Qualifier 2
Bangladesh Premier League,,bpl00266,Final
Bangladesh Premier League,1.0,bpl00267,nan
Bangladesh Premier League,2.0,bpl00268,nan
Bangladesh Premier League,3.0,bpl00269,nan
Bangladesh Premier League,4.0,bpl00270,nan
Bangladesh Premier League,5.0,bpl00271,nan
Bangladesh Premier League,6.0,bpl00272,nan
Bangladesh Premier League,8.0,bpl00273,nan
Bangladesh Premier League,7.0,bpl00274,nan
Bangladesh Premier League,9.0,bpl00275,nan
Bangladesh Premier League,10.0,bpl00276,nan
Bangladesh Premier League,11.0,bpl00277,nan
Bangladesh Premier League,12.0,bpl00278,nan
Bangladesh Premier League,13.0,bpl00279,nan
Bangladesh Premier League,14.0,bpl00280,nan
Bangladesh Premier League,15.0,bpl00281,nan
Bangladesh Premier League,16.0,bpl00282,nan
Bangladesh Premier League,17.0,bpl00283,nan
Bangladesh Premier League,18.0,bpl00284,nan
Bangladesh Premier League,21.0,bpl00285,nan
Bangladesh Premier League,22.0,bpl00286,nan
Bangladesh Premier League,23.0,bpl00287,nan
Bangladesh Premier League,24.0,bpl00288,nan
Bangladesh Premier League,26.0,bpl00289,nan
Bangladesh Premier League,25.0,bpl00290,nan
Bangladesh Premier League,27.0,bpl00291,nan
Bangladesh Premier League,28.0,bpl00292,nan
Bangladesh Premier League,29.0,bpl00293,nan
Bangladesh Premier League,30.0,bpl00294,nan
Bangladesh Premier League,,bpl00295,Eliminator
Bangladesh Premier League,,bpl00296,Qualifier 1
Bangladesh Premier League,,bpl00297,Qualifier 2
Bangladesh Premier League,,bpl00298,Final
Bangladesh Premier League,1.0,bpl00299,nan
Bangladesh Premier League,2.0,bpl00300,nan
Bangladesh Premier League,4.0,bpl00301,nan
Bangladesh Premier League,3.0,bpl00302,nan
Bangladesh Premier League,5.0,bpl00303,nan
Bangladesh Premier League,6.0,bpl00304,nan
Bangladesh Premier League,7.0,bpl00305,nan
Bangladesh Premier League,8.0,bpl00306,nan
Bangladesh Premier League,9.0,bpl00307,nan
Bangladesh Premier League,10.0,bpl00308,nan
Bangladesh Premier League,11.0,bpl00309,nan
Bangladesh Premier League,12.0,bpl00310,nan
Bangladesh Premier League,13.0,bpl00311,nan
Bangladesh Premier League,14.0,bpl00312,nan
Bangladesh Premier League,15.0,bpl00313,nan
Bangladesh Premier League,16.0,bpl00314,nan
Bangladesh Premier League,18.0,bpl00315,nan
Bangladesh Premier League,17.0,bpl00316,nan
Bangladesh Premier League,19.0,bpl00317,nan
Bangladesh Premier League,20.0,bpl00318,nan
Bangladesh Premier League,21.0,bpl00319,nan
Bangladesh Premier League,22.0,bpl00320,nan
Bangladesh Premier League,23.0,bpl00321,nan
Bangladesh Premier League,24.0,bpl00322,nan
Bangladesh Premier League,25.0,bpl00323,nan
Bangladesh Premier League,26.0,bpl00324,nan
Bangladesh Premier League,27.0,bpl00325,nan
Bangladesh Premier League,28.0,bpl00326,nan
Bangladesh Premier League,30.0,bpl00327,nan
Bangladesh Premier League,29.0,bpl00328,nan
Bangladesh Premier League,31.0,bpl00329,nan
Bangladesh Premier League,32.0,bpl00330,nan
Bangladesh Premier League,33.0,bpl00331,nan
Bangladesh Premier League,34.0,bpl00332,nan
Bangladesh Premier League,35.0,bpl00333,nan
Bangladesh Premier League,36.0,bpl00334,nan
Bangladesh Premier League,37.0,bpl00335,nan
Bangladesh Premier League,38.0,bpl00336,nan
Bangladesh Premier League,39.0,bpl00337,nan
Bangladesh Premier League,40.0,bpl00338,nan
Bangladesh Premier League,41.0,bpl00339,nan
Bangladesh Premier League,42.0,bpl00340,nan
Bangladesh Premier League,,bpl00341,Qualifier 1
Bangladesh Premier League,,bpl00342,Eliminator
Bangladesh Premier League,,bpl00343,Qualifier 2
Bangladesh Premier League,,bpl00344,Final
Bangladesh Premier League,1.0,bpl00345,nan
Bangladesh Premier League,2.0,bpl00346,nan
Bangladesh Premier League,3.0,bpl00347,nan
Bangladesh Premier League,4.0,bpl00348,nan
Bangladesh Premier League,5.0,bpl00349,nan
Bangladesh Premier League,6.0,bpl00350,nan
Bangladesh Premier League,8.0,bpl00351,nan
Bangladesh Premier League,9.0,bpl00352,nan
Bangladesh Premier League,10.0,bpl00353,nan
Bangladesh Premier League,12.0,bpl00354,nan
Bangladesh Premier League,11.0,bpl00355,nan
Bangladesh Premier League,13.0,bpl00356,nan
Bangladesh Premier League,14.0,bpl00357,nan
Bangladesh Premier League,15.0,bpl00358,nan
Bangladesh Premier League,16.0,bpl00359,nan
Bangladesh Premier League,17.0,bpl00360,nan
Bangladesh Premier League,18.0,bpl00361,nan
Bangladesh Premier League,19.0,bpl00362,nan
Bangladesh Premier League,20.0,bpl00363,nan
Bangladesh Premier League,21.0,bpl00364,nan
Bangladesh Premier League,22.0,bpl00365,nan
Bangladesh Premier League,23.0,bpl00366,nan
Bangladesh Premier League,24.0,bpl00367,nan
Bangladesh Premier League,26.0,bpl00368,nan
Bangladesh Premier League,25.0,bpl00369,nan
Bangladesh Premier League,28.0,bpl00370,nan
Bangladesh Premier League,27.0,bpl00371,nan
Bangladesh Premier League,29.0,bpl00372,nan
Bangladesh Premier League,30.0,bpl00373,nan
Bangladesh Premier League,31.0,bpl00374,nan
Bangladesh Premier League,32.0,bpl00375,nan
Bangladesh Premier League,33.0,bpl00376,nan
Bangladesh Premier League,34.0,bpl00377,nan
Bangladesh Premier League,35.0,bpl00378,nan
Bangladesh Premier League,36.0,bpl00379,nan
Bangladesh Premier League,37.0,bpl00380,nan
Bangladesh Premier League,38.0,bpl00381,nan
Bangladesh Premier League,39.0,bpl00382,nan
Bangladesh Premier League,40.0,bpl00383,nan
Bangladesh Premier League,41.0,bpl00384,nan
Bangladesh Premier League,42.0,bpl00385,nan
Bangladesh Premier League,,bpl00386,Eliminator
Bangladesh Premier League,,bpl00387,Qualifier 1
Bangladesh Premier League,,bpl00388,Qualifier 2
Bangladesh Premier League,,bpl00389,Final
Bangladesh Premier League,1.0,bpl00390,nan
Bangladesh Premier League,2.0,bpl00391,nan
Bangladesh Premier League,3.0,bpl00392,nan
Bangladesh Premier League,4.0,bpl00393,nan
Bangladesh Premier League,5.0,bpl00394,nan
Bangladesh Premier League,6.0,bpl00395,nan
Bangladesh Premier League,8.0,bpl00396,nan
Bangladesh Premier League,7.0,bpl00397,nan
Bangladesh Premier League,10.0,bpl00398,nan
Bangladesh Premier League,9.0,bpl00399,nan
Bangladesh Premier League,11.0,bpl00400,nan
Bangladesh Premier League,12.0,bpl00401,nan
Bangladesh Premier League,13.0,bpl00402,nan
Bangladesh Premier League,14.0,bpl00403,nan
Bangladesh Premier League,15.0,bpl00404,nan
Bangladesh Premier League,16.0,bpl00405,nan
Bangladesh Premier League,17.0,bpl00406,nan
Bangladesh Premier League,18.0,bpl00407,nan
Bangladesh Premier League,19.0,bpl00408,nan
Bangladesh Premier League,20.0,bpl00409,nan
Bangladesh Premier League,21.0,bpl00410,nan
Bangladesh Premier League,22.0,bpl00411,nan
Bangladesh Premier League,23.0,bpl00412,nan
Bangladesh Premier League,24.0,bpl00413,nan
Bangladesh Premier League,25.0,bpl00414,nan
Bangladesh Premier League,26.0,bpl00415,nan
Bangladesh Premier League,27.0,bpl00416,nan
Bangladesh Premier League,28.0,bpl00417,nan
Bangladesh Premier League,29.0,bpl00418,nan
Bangladesh Premier League,30.0,bpl00419,nan
Bangladesh Premier League,31.0,bpl00420,nan
Bangladesh Premier League,32.0,bpl00421,nan
Bangladesh Premier League,33.0,bpl00422,nan
Bangladesh Premier League,34.0,bpl00423,nan
Bangladesh Premier League,35.0,bpl00424,nan
Bangladesh Premier League,36.0,bpl00425,nan
Bangladesh Premier League,37.0,bpl00426,nan
Bangladesh Premier League,38.0,bpl00427,nan
Bangladesh Premier League,39.0,bpl00428,nan
Bangladesh Premier League,40.0,bpl00429,nan
Bangladesh Premier League,41.0,bpl00430,nan
Bangladesh Premier League,42.0,bpl00431,nan
Bangladesh Premier League,,bpl00432,Eliminator
Bangladesh Premier League,,bpl00433,Qualifier 1
Bangladesh Premier League,,bpl00434,Qualifier 2
Bangladesh Premier League,,bpl00435,Final
