batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,extras_type
DA Miller,SM Curran,JC Buttler,0,0,0,10,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,JC Buttler,1,0,1,10,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,DA Miller,1,0,1,10,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,JC Buttler,1,0,1,10,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,DA Miller,1,0,1,10,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,OP Stone,DA Miller,0,1,1,11,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
JC Buttler,OP Stone,DA Miller,4,0,4,11,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,OP Stone,DA Miller,1,0,1,11,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,0,0,0,11,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,4,0,4,11,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,4,0,4,11,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,0,1,1,11,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
DA Miller,OP Stone,JC Buttler,4,0,4,11,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DA Miller,1,0,1,12,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,JC Buttler,0,0,0,12,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,JC Buttler,1,0,1,12,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DA Miller,1,0,1,12,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,JC Buttler,0,0,0,12,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,JC Buttler,1,0,1,12,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,JC Archer,JC Buttler,1,0,1,13,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,DA Miller,1,1,2,13,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,noballs
DA Miller,JC Archer,JC Buttler,2,0,2,13,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,JC Archer,JC Buttler,1,0,1,13,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,DA Miller,4,0,4,13,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,DA Miller,1,0,1,13,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,JC Archer,JC Buttler,1,0,1,13,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,D Jansen,JC Buttler,1,0,1,14,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DA Miller,1,0,1,14,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,D Jansen,JC Buttler,1,0,1,14,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DA Miller,1,0,1,14,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,D Jansen,JC Buttler,1,0,1,14,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DA Miller,1,0,1,14,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,OP Stone,DA Miller,0,0,0,15,1,Paarl Royals,1,bowled,JC Buttler,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,DA Miller,0,1,1,15,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
EJG Morgan,OP Stone,DA Miller,0,0,0,15,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,DA Miller,0,0,0,15,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,DA Miller,0,0,0,15,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,DA Miller,0,0,0,15,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,DA Miller,0,0,0,15,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,EJG Morgan,1,0,1,16,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,Rashid Khan,DA Miller,2,0,2,16,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,Rashid Khan,DA Miller,1,0,1,16,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,EJG Morgan,4,0,4,16,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,EJG Morgan,0,0,0,16,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,Rashid Khan,EJG Morgan,1,0,1,16,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,EJG Morgan,1,0,1,17,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,SM Curran,DA Miller,1,0,1,17,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,EJG Morgan,2,0,2,17,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,EJG Morgan,6,0,6,17,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,SM Curran,EJG Morgan,1,0,1,17,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,SM Curran,DA Miller,6,0,6,17,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,JC Archer,EJG Morgan,1,0,1,18,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,JC Archer,DA Miller,1,0,1,18,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,JC Archer,EJG Morgan,0,0,0,18,3,Paarl Royals,1,caught,DA Miller,,,,,MI Cape Town,sat00001,,,,
FD Adams,JC Archer,EJG Morgan,0,0,0,18,4,Paarl Royals,1,caught,FD Adams,,,,,MI Cape Town,sat00001,,,,
BC Fortuin,JC Archer,EJG Morgan,0,0,0,18,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
BC Fortuin,JC Archer,EJG Morgan,0,0,0,18,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,BC Fortuin,0,0,0,19,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,BC Fortuin,2,0,2,19,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,BC Fortuin,4,0,4,19,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,BC Fortuin,1,0,1,19,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
BC Fortuin,OP Stone,EJG Morgan,1,0,1,19,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
EJG Morgan,OP Stone,BC Fortuin,1,0,1,19,6,Paarl Royals,1,run out,EJG Morgan,,,,,MI Cape Town,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,0,0,0,0,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,0,0,0,0,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,1,0,1,0,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,Codi Yusuf,D Brevis,0,0,0,0,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,Codi Yusuf,D Brevis,0,1,1,0,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,byes
D Brevis,Codi Yusuf,RD Rickelton,1,0,1,0,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,1,0,1,1,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,1,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
